round,node,ul_bytes,dl_bytes,energy_mj
0,0,734352,734352,18616.666257
0,1,979136,979136,18616.666120
0,2,1223920,1223920,18616.665983
0,3,1223920,1223920,18616.665983
0,4,979136,979136,18616.666120
0,5,979136,979136,18616.666120
0,6,734352,734352,18616.666257
0,7,1468704,1468704,18616.665846
0,8,1223920,1223920,18616.665983
0,9,734352,734352,18616.666257
0,10,734352,734352,18616.666257
0,11,734352,734352,18616.666257
0,12,979136,979136,18616.666120
0,13,734352,734352,18616.666257
0,14,1223920,1223920,18616.665983
0,15,734352,734352,18616.666257
0,16,734352,734352,18616.666257
0,17,489568,489568,18616.666393
0,18,734352,734352,18616.666257
0,19,734352,734352,18616.666257
0,20,1468704,1468704,18616.665846
0,21,979136,979136,18616.666120
0,22,979136,979136,18616.666120
0,23,1223920,1223920,18616.665983
0,24,979136,979136,18616.666120
0,25,1223920,1223920,18616.665983
0,26,734352,734352,18616.666257
0,27,489568,489568,18616.666393
0,28,1958272,1958272,18616.665573
0,29,734352,734352,18616.666257
1,0,979136,979136,18699.999451
1,1,1468704,1468704,18699.999176
1,2,1223920,1223920,18699.999313
1,3,1223920,1223920,18699.999313
1,4,1223920,1223920,18699.999313
1,5,489568,489568,18699.999725
1,6,734352,734352,18699.999588
1,7,979136,979136,18699.999451
1,8,734352,734352,18699.999588
1,9,979136,979136,18699.999451
1,10,979136,979136,18699.999451
1,11,734352,734352,18699.999588
1,12,1223920,1223920,18699.999313
1,13,734352,734352,18699.999588
1,14,1468704,1468704,18699.999176
1,15,1468704,1468704,18699.999176
1,16,489568,489568,18699.999725
1,17,979136,979136,18699.999451
1,18,734352,734352,18699.999588
1,19,489568,489568,18699.999725
1,20,979136,979136,18699.999451
1,21,1468704,1468704,18699.999176
1,22,734352,734352,18699.999588
1,23,489568,489568,18699.999725
1,24,489568,489568,18699.999725
1,25,489568,489568,18699.999725
1,26,734352,734352,18699.999588
1,27,734352,734352,18699.999588
1,28,1713488,1713488,18699.999039
1,29,734352,734352,18699.999588
2,0,1468704,1468704,18633.332512
2,1,734352,734352,18633.332923
2,2,734352,734352,18633.332923
2,3,979136,979136,18633.332786
2,4,979136,979136,18633.332786
2,5,734352,734352,18633.332923
2,6,734352,734352,18633.332923
2,7,1468704,1468704,18633.332512
2,8,1223920,1223920,18633.332649
2,9,1468704,1468704,18633.332512
2,10,734352,734352,18633.332923
2,11,979136,979136,18633.332786
2,12,734352,734352,18633.332923
2,13,979136,979136,18633.332786
2,14,979136,979136,18633.332786
2,15,489568,489568,18633.333060
2,16,734352,734352,18633.332923
2,17,1468704,1468704,18633.332512
2,18,489568,489568,18633.333060
2,19,734352,734352,18633.332923
2,20,979136,979136,18633.332786
2,21,1223920,1223920,18633.332649
2,22,1223920,1223920,18633.332649
2,23,1468704,1468704,18633.332512
2,24,1223920,1223920,18633.332649
2,25,1223920,1223920,18633.332649
2,26,489568,489568,18633.333060
2,27,734352,734352,18633.332923
2,28,734352,734352,18633.332923
2,29,734352,734352,18633.332923
3,0,979136,979136,18649.999452
3,1,979136,979136,18649.999452
3,2,1468704,1468704,18649.999178
3,3,979136,979136,18649.999452
3,4,1713488,1713488,18649.999041
3,5,734352,734352,18649.999589
3,6,734352,734352,18649.999589
3,7,1468704,1468704,18649.999178
3,8,979136,979136,18649.999452
3,9,1468704,1468704,18649.999178
3,10,979136,979136,18649.999452
3,11,734352,734352,18649.999589
3,12,1223920,1223920,18649.999315
3,13,734352,734352,18649.999589
3,14,1468704,1468704,18649.999178
3,15,979136,979136,18649.999452
3,16,489568,489568,18649.999726
3,17,734352,734352,18649.999589
3,18,734352,734352,18649.999589
3,19,734352,734352,18649.999589
3,20,979136,979136,18649.999452
3,21,1223920,1223920,18649.999315
3,22,734352,734352,18649.999589
3,23,489568,489568,18649.999726
3,24,734352,734352,18649.999589
3,25,489568,489568,18649.999726
3,26,734352,734352,18649.999589
3,27,734352,734352,18649.999589
3,28,1713488,1713488,18649.999041
3,29,734352,734352,18649.999589
4,0,1223920,1223920,18616.665983
4,1,979136,979136,18616.666120
4,2,1713488,1713488,18616.665710
4,3,1223920,1223920,18616.665983
4,4,979136,979136,18616.666120
4,5,734352,734352,18616.666257
4,6,734352,734352,18616.666257
4,7,734352,734352,18616.666257
4,8,1223920,1223920,18616.665983
4,9,1223920,1223920,18616.665983
4,10,734352,734352,18616.666257
4,11,979136,979136,18616.666120
4,12,979136,979136,18616.666120
4,13,979136,979136,18616.666120
4,14,734352,734352,18616.666257
4,15,1223920,1223920,18616.665983
4,16,734352,734352,18616.666257
