round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,117,17,17,0
1,122,17,17,0
2,118,17,17,0
3,119,17,17,0
4,117,17,17,0
5,117,17,17,0
6,117,17,17,0
7,117,17,17,0
8,119,17,17,0
9,117,17,17,0
10,116,17,17,0
11,116,17,17,0
12,118,17,17,0
13,116,17,17,0
14,116,17,17,0
15,117,17,17,0
16,116,17,17,0
17,116,17,17,0
18,117,17,17,0
19,116,17,17,0
20,116,17,17,0
21,115,17,17,0
22,116,17,17,0
23,116,17,17,0
24,118,17,17,0
25,117,17,17,0
26,116,17,17,0
27,118,17,17,0
28,116,17,17,0
29,116,17,17,0
30,117,17,17,0
31,117,17,17,0
32,116,17,17,0
33,117,17,17,0
34,117,17,17,0
35,117,17,17,0
36,118,17,17,0
37,119,17,17,0
38,117,17,17,0
39,117,17,17,0
40,117,17,17,0
41,117,17,17,0
42,115,17,17,0
43,115,17,17,0
44,115,17,17,0
45,114,17,17,0
46,115,17,17,0
47,113,17,17,0
48,114,17,17,0
49,113,17,17,0
50,115,17,17,0
51,114,17,17,0
52,115,17,17,0
53,113,17,17,0
54,114,17,17,0
55,113,17,17,0
56,112,17,17,0
57,112,17,17,0
58,115,17,17,0
59,115,17,17,0
60,116,17,17,0
61,115,17,17,0
62,116,17,17,0
63,115,17,17,0
64,115,17,17,0
65,116,17,17,0
66,116,17,17,0
67,117,17,17,0
68,116,17,17,0
69,114,17,17,0
70,115,17,17,0
71,119,17,17,0
72,116,17,17,0
73,115,17,17,0
74,115,17,17,0
75,115,17,17,0
76,116,17,17,0
77,117,17,17,0
78,115,17,17,0
79,116,17,17,0
80,115,17,17,0
81,122,17,17,0
82,116,17,17,0
83,115,17,17,0
84,119,17,17,0
85,115,17,17,0
86,117,17,17,0
87,117,17,17,0
88,116,17,17,0
89,117,17,17,0
90,116,17,17,0
91,117,17,17,0
92,115,17,17,0
93,116,17,17,0
94,115,17,17,0
95,115,17,17,0
96,115,17,17,0
97,115,17,17,0
98,115,17,17,0
99,128,17,17,0
