round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,12;25,734352,734352,55,38,117,62
0,1,14;23,979136,979136,57,40,117,60
0,2,5;9,1223920,1223920,88,71,117,29
0,3,2;28,1223920,1223920,55,38,117,62
0,4,20;23,979136,979136,82,65,117,35
0,5,7;20,979136,979136,88,71,117,29
0,6,1;8,734352,734352,74,57,117,43
0,7,18;29,1468704,1468704,77,60,117,40
0,8,11;21,1223920,1223920,117,100,117,0
0,9,0;22,734352,734352,52,35,117,65
0,10,8;28,734352,734352,74,57,117,43
0,11,3;15,734352,734352,76,59,117,41
0,12,3;20,979136,979136,64,47,117,53
0,13,7;28,734352,734352,64,47,117,53
0,14,6;28,1223920,1223920,71,54,117,46
0,15,14;22,734352,734352,55,38,117,62
0,16,5;28,734352,734352,79,62,117,38
0,17,22;25,489568,489568,99,82,117,18
0,18,13;26,734352,734352,68,51,117,49
0,19,4;20,734352,734352,41,24,117,76
0,20,3;21,1468704,1468704,77,60,117,40
0,21,2;7,979136,979136,67,50,117,50
0,22,7;15,979136,979136,99,82,117,18
0,23,2;19,1223920,1223920,117,100,117,0
0,24,4;16,979136,979136,104,87,117,13
0,25,1;24,1223920,1223920,96,79,117,21
0,26,14;28,734352,734352,69,52,117,48
0,27,10;24,489568,489568,75,58,117,42
0,28,8;25,1958272,1958272,100,83,117,17
0,29,12;23,734352,734352,99,82,117,18
1,0,12;17,979136,979136,49,32,122,73
1,1,3;14,1468704,1468704,54,37,122,68
1,2,5;12,1223920,1223920,87,70,122,35
1,3,2;15,1223920,1223920,52,35,122,70
1,4,15;20,1223920,1223920,80,63,122,42
1,5,2;20,489568,489568,88,71,122,34
1,6,1;11,734352,734352,73,56,122,49
1,7,17;18,979136,979136,77,60,122,45
1,8,7;21,734352,734352,116,99,122,6
1,9,0;14,979136,979136,53,36,122,69
1,10,9;28,979136,979136,72,55,122,50
1,11,4;15,734352,734352,74,57,122,48
1,12,1;3,1223920,1223920,64,47,122,58
1,13,1;28,734352,734352,64,47,122,58
1,14,28;29,1468704,1468704,72,55,122,50
1,15,4;14,1468704,1468704,54,37,122,68
1,16,14;28,489568,489568,79,62,122,43
1,17,22;27,979136,979136,99,82,122,23
1,18,21;26,734352,734352,67,50,122,55
1,19,4;10,489568,489568,39,22,122,83
1,20,6;21,979136,979136,77,60,122,45
1,21,2;25,1468704,1468704,67,50,122,55
1,22,0;15,734352,734352,100,83,122,22
1,23,2;13,489568,489568,122,105,122,0
1,24,4;9,489568,489568,101,84,122,21
1,25,1;21,489568,489568,96,79,122,26
1,26,3;28,734352,734352,68,51,122,54
1,27,7;10,734352,734352,76,59,122,46
1,28,8;21,1713488,1713488,100,83,122,22
1,29,12;15,734352,734352,98,81,122,24
2,0,23;25,1468704,1468704,50,33,118,68
2,1,12;23,734352,734352,55,38,118,63
2,2,9;17,734352,734352,88,71,118,30
2,3,17;28,979136,979136,53,36,118,65
2,4,9;23,979136,979136,85,68,118,33
2,5,2;10,734352,734352,88,71,118,30
2,6,8;17,734352,734352,72,55,118,46
2,7,17;29,1468704,1468704,77,60,118,41
2,8,11;21,1223920,1223920,116,99,118,2
2,9,0;22,1468704,1468704,53,36,118,65
2,10,8;9,734352,734352,72,55,118,46
2,11,3;4,979136,979136,73,56,118,45
2,12,0;20,734352,734352,64,47,118,54
2,13,1;7,979136,979136,64,47,118,54
2,14,0;6,979136,979136,72,55,118,46
2,15,7;22,489568,489568,55,38,118,63
2,16,5;27,734352,734352,80,63,118,38
2,17,22;25,1468704,1468704,101,84,118,17
2,18,13;21,489568,489568,68,51,118,50
2,19,14;20,734352,734352,39,22,118,79
2,20,3;11,979136,979136,77,60,118,41
2,21,7;25,1223920,1223920,67,50,118,51
2,22,0;7,1223920,1223920,100,83,118,18
2,23,13;19,1468704,1468704,118,101,118,0
2,24,4;16,1223920,1223920,102,85,118,16
2,25,21;24,1223920,1223920,95,78,118,23
2,26,8;14,489568,489568,68,51,118,50
2,27,9;24,734352,734352,76,59,118,42
2,28,21;25,734352,734352,101,84,118,17
2,29,23;24,734352,734352,97,80,118,21
3,0,12;17,979136,979136,49,32,119,70
3,1,3;14,979136,979136,55,38,119,64
3,2,5;12,1468704,1468704,88,71,119,31
3,3,2;19,979136,979136,52,35,119,67
3,4,9;20,1713488,1713488,80,63,119,39
3,5,7;20,734352,734352,87,70,119,32
3,6,11;15,734352,734352,72,55,119,47
3,7,18;27,1468704,1468704,77,60,119,42
3,8,7;21,979136,979136,117,100,119,2
3,9,7;14,1468704,1468704,52,35,119,67
3,10,9;28,979136,979136,72,55,119,47
3,11,4;15,734352,734352,74,57,119,45
3,12,1;3,1223920,1223920,65,48,119,54
3,13,2;28,734352,734352,65,48,119,54
3,14,28;29,1468704,1468704,71,54,119,48
3,15,4;14,979136,979136,55,38,119,64
3,16,14;28,489568,489568,80,63,119,39
3,17,22;27,734352,734352,100,83,119,19
3,18,21;26,734352,734352,67,50,119,52
3,19,4;10,734352,734352,39,22,119,80
3,20,6;21,979136,979136,76,59,119,43
3,21,2;9,1223920,1223920,66,49,119,53
3,22,0;7,734352,734352,98,81,119,21
3,23,2;13,489568,489568,119,102,119,0
3,24,4;9,734352,734352,101,84,119,18
3,25,1;4,489568,489568,95,78,119,24
3,26,8;28,734352,734352,67,50,119,52
3,27,7;10,734352,734352,76,59,119,43
3,28,0;8,1713488,1713488,101,84,119,18
3,29,12;24,734352,734352,96,79,119,23
4,0,23;25,1223920,1223920,49,32,117,68
4,1,12;23,979136,979136,55,38,117,62
4,2,12;17,1713488,1713488,87,70,117,30
4,3,15;28,1223920,1223920,53,36,117,64
4,4,15;23,979136,979136,80,63,117,37
4,5,2;10,734352,734352,88,71,117,29
4,6,1;8,734352,734352,72,55,117,45
4,7,17;29,734352,734352,77,60,117,40
4,8,11;21,1223920,1223920,117,100,117,0
4,9,0;22,1223920,1223920,53,36,117,64
4,10,8;9,734352,734352,73,56,117,44
4,11,3;4,979136,979136,75,58,117,42
4,12,0;20,979136,979136,64,47,117,53
4,13,1;2,979136,979136,64,47,117,53
4,14,0;6,734352,734352,72,55,117,45
4,15,7;22,1223920,1223920,55,38,117,62
4,16,5;27,734352,734352,79,62,117,38
4,17,2;25,979136,979136,100,83,117,17
4,18,2;13,489568,489568,67,50,117,50
4,19,14;20,489568,489568,39,22,117,78
4,20,2;11,979136,979136,77,60,117,40
4,21,9;25,979136,979136,67,50,117,50
4,22,3;15,734352,734352,99,82,117,18
4,23,2;13,1468704,1468704,117,100,117,0
4,24,16;17,734352,734352,101,84,117,16
4,25,4;21,1223920,1223920,95,78,117,22
4,26,3;8,489568,489568,67,50,117,50
4,27,9;24,734352,734352,76,59,117,41
4,28,21;25,734352,734352,101,84,117,16
4,29,15;23,734352,734352,97,80,117,20
5,0,12;17,734352,734352,49,32,117,68
5,1,12;14,979136,979136,55,38,117,62
5,2,9;23,1468704,1468704,87,70,117,30
5,3,2;17,734352,734352,52,35,117,65
5,4,9;20,1713488,1713488,81,64,117,36
5,5,7;20,489568,489568,89,72,117,28
5,6,11;17,734352,734352,72,55,117,45
5,7,1;27,1958272,1958272,77,60,117,40
5,8,19;21,734352,734352,117,100,117,0
5,9,7;14,979136,979136,53,36,117,64
5,10,2;28,979136,979136,73,56,117,44
5,11,15;23,979136,979136,74,57,117,43
5,12,1;3,979136,979136,64,47,117,53
5,13,7;28,489568,489568,64,47,117,53
5,14,28;29,1468704,1468704,72,55,117,45
5,15,4;14,734352,734352,55,38,117,62
5,16,1;28,489568,489568,78,61,117,39
5,17,20;22,1223920,1223920,100,83,117,17
5,18,2;21,489568,489568,68,51,117,49
5,19,4;10,979136,979136,39,22,117,78
5,20,6;21,1223920,1223920,77,60,117,40
5,21,2;7,1223920,1223920,66,49,117,51
5,22,0;7,734352,734352,100,83,117,17
5,23,7;19,979136,979136,117,100,117,0
5,24,4;11,979136,979136,102,85,117,15
5,25,4;24,489568,489568,96,79,117,21
5,26,14;28,489568,489568,68,51,117,49
5,27,7;10,489568,489568,77,60,117,40
5,28,4;8,1713488,1713488,102,85,117,15
5,29,12;24,734352,734352,97,80,117,20
6,0,23;25,734352,734352,49,32,117,68
6,1,3;23,979136,979136,55,38,117,62
6,2,5;12,1713488,1713488,88,71,117,29
6,3,19;28,1468704,1468704,53,36,117,64
6,4,9;23,979136,979136,81,64,117,36
6,5,2;10,734352,734352,88,71,117,29
6,6,8;15,734352,734352,72,55,117,45
6,7,17;18,734352,734352,76,59,117,41
6,8,7;11,1223920,1223920,116,99,117,1
6,9,10;22,1223920,1223920,53,36,117,64
6,10,2;8,1223920,1223920,73,56,117,44
6,11,1;23,734352,734352,73,56,117,44
6,12,20;22,734352,734352,65,48,117,52
6,13,2;4,734352,734352,65,48,117,52
6,14,6;29,734352,734352,71,54,117,46
6,15,21;22,734352,734352,55,38,117,62
6,16,5;27,734352,734352,79,62,117,38
6,17,25;27,979136,979136,99,82,117,18
6,18,2;26,734352,734352,67,50,117,50
6,19,14;20,734352,734352,39,22,117,78
6,20,2;3,979136,979136,76,59,117,41
6,21,9;25,979136,979136,67,50,117,50
6,22,0;3,1223920,1223920,99,82,117,18
6,23,2;13,1713488,1713488,117,100,117,0
6,24,16;17,734352,734352,102,85,117,15
6,25,1;9,1468704,1468704,96,79,117,21
6,26,3;8,734352,734352,68,51,117,49
6,27,10;24,979136,979136,76,59,117,41
6,28,4;25,734352,734352,101,84,117,16
6,29,21;23,734352,734352,96,79,117,21
7,0,12;17,979136,979136,48,31,117,69
7,1,12;14,734352,734352,55,38,117,62
7,2,17;23,1468704,1468704,88,71,117,29
7,3,2;15,734352,734352,53,36,117,64
7,4,9;20,1713488,1713488,81,64,117,36
7,5,7;20,489568,489568,88,71,117,29
7,6,11;17,734352,734352,71,54,117,46
7,7,1;29,1223920,1223920,76,59,117,41
7,8,11;21,734352,734352,116,99,117,1
7,9,0;10,1223920,1223920,53,36,117,64
7,10,2;9,734352,734352,73,56,117,44
7,11,4;23,1713488,1713488,74,57,117,43
7,12,15;22,1223920,1223920,64,47,117,53
7,13,4;28,979136,979136,65,48,117,52
7,14,11;28,1468704,1468704,71,54,117,46
7,15,4;14,1223920,1223920,55,38,117,62
7,16,14;28,489568,489568,78,61,117,39
7,17,2;22,979136,979136,100,83,117,17
7,18,13;26,489568,489568,68,51,117,49
7,19,4;10,489568,489568,39,22,117,78
7,20,6;11,979136,979136,76,59,117,41
7,21,2;15,1223920,1223920,66,49,117,51
7,22,0;7,979136,979136,100,83,117,17
7,23,7;13,979136,979136,117,100,117,0
7,24,9;11,734352,734352,102,85,117,15
7,25,4;21,489568,489568,94,77,117,23
7,26,3;14,734352,734352,68,51,117,49
7,27,2;9,489568,489568,75,58,117,42
7,28,8;21,1223920,1223920,101,84,117,16
7,29,12;24,734352,734352,97,80,117,20
8,0,23;25,1223920,1223920,48,31,119,71
8,1,17;23,1468704,1468704,54,37,119,65
8,2,9;12,1713488,1713488,87,70,119,32
8,3,17;28,734352,734352,53,36,119,66
8,4,9;23,979136,979136,81,64,119,38
8,5,2;10,734352,734352,89,72,119,30
8,6,1;8,489568,489568,72,55,119,47
8,7,17;27,1223920,1223920,77,60,119,42
8,8,11;21,1223920,1223920,116,99,119,3
8,9,14;22,1223920,1223920,53,36,119,66
8,10,8;28,734352,734352,72,55,119,47
8,11,3;15,734352,734352,74,57,119,45
8,12,1;22,734352,734352,65,48,119,54
8,13,1;2,489568,489568,65,48,119,54
8,14,0;29,979136,979136,72,55,119,47
8,15,7;22,979136,979136,55,38,119,64
8,16,1;5,734352,734352,79,62,119,40
8,17,20;25,1223920,1223920,100,83,119,19
8,18,2;21,489568,489568,68,51,119,51
8,19,14;20,734352,734352,39,22,119,80
8,20,2;21,979136,979136,76,59,119,43
8,21,7;25,1223920,1223920,67,50,119,52
