round,node,idle_ticks,busy_ticks
0,0,62,55
0,1,60,57
0,2,29,88
0,3,62,55
0,4,35,82
0,5,29,88
0,6,43,74
0,7,40,77
0,8,0,117
0,9,65,52
0,10,43,74
0,11,41,76
0,12,53,64
0,13,53,64
0,14,46,71
0,15,62,55
0,16,38,79
0,17,18,99
0,18,49,68
0,19,76,41
0,20,40,77
0,21,50,67
0,22,18,99
0,23,0,117
0,24,13,104
0,25,21,96
0,26,48,69
0,27,42,75
0,28,17,100
0,29,18,99
1,0,73,49
1,1,68,54
1,2,35,87
1,3,70,52
1,4,42,80
1,5,34,88
1,6,49,73
1,7,45,77
1,8,6,116
1,9,69,53
1,10,50,72
1,11,48,74
1,12,58,64
1,13,58,64
1,14,50,72
1,15,68,54
1,16,43,79
1,17,23,99
1,18,55,67
1,19,83,39
1,20,45,77
1,21,55,67
1,22,22,100
1,23,0,122
1,24,21,101
1,25,26,96
1,26,54,68
1,27,46,76
1,28,22,100
1,29,24,98
2,0,68,50
2,1,63,55
2,2,30,88
2,3,65,53
2,4,33,85
2,5,30,88
2,6,46,72
2,7,41,77
2,8,2,116
2,9,65,53
2,10,46,72
2,11,45,73
2,12,54,64
2,13,54,64
2,14,46,72
2,15,63,55
2,16,38,80
2,17,17,101
2,18,50,68
2,19,79,39
2,20,41,77
2,21,51,67
2,22,18,100
2,23,0,118
2,24,16,102
2,25,23,95
2,26,50,68
2,27,42,76
2,28,17,101
2,29,21,97
3,0,70,49
3,1,64,55
3,2,31,88
3,3,67,52
3,4,39,80
3,5,32,87
3,6,47,72
3,7,42,77
3,8,2,117
3,9,67,52
3,10,47,72
3,11,45,74
3,12,54,65
3,13,54,65
3,14,48,71
3,15,64,55
3,16,39,80
3,17,19,100
3,18,52,67
3,19,80,39
3,20,43,76
3,21,53,66
3,22,21,98
3,23,0,119
3,24,18,101
3,25,24,95
3,26,52,67
3,27,43,76
3,28,18,101
3,29,23,96
4,0,68,49
4,1,62,55
4,2,30,87
4,3,64,53
4,4,37,80
4,5,29,88
4,6,45,72
4,7,40,77
4,8,0,117
4,9,64,53
4,10,44,73
4,11,42,75
4,12,53,64
4,13,53,64
4,14,45,72
4,15,62,55
4,16,38,79
4,17,17,100
4,18,50,67
4,19,78,39
4,20,40,77
4,21,50,67
4,22,18,99
4,23,0,117
4,24,16,101
4,25,22,95
4,26,50,67
4,27,41,76
4,28,16,101
4,29,20,97
5,0,68,49
5,1,62,55
5,2,30,87
5,3,65,52
5,4,36,81
5,5,28,89
5,6,45,72
5,7,40,77
5,8,0,117
5,9,64,53
5,10,44,73
5,11,43,74
5,12,53,64
5,13,53,64
5,14,45,72
5,15,62,55
5,16,39,78
5,17,17,100
5,18,49,68
5,19,78,39
5,20,40,77
5,21,51,66
5,22,17,100
5,23,0,117
5,24,15,102
5,25,21,96
5,26,49,68
5,27,40,77
5,28,15,102
5,29,20,97
6,0,68,49
6,1,62,55
6,2,29,88
6,3,64,53
6,4,36,81
6,5,29,88
6,6,45,72
6,7,41,76
6,8,1,116
6,9,64,53
6,10,44,73
6,11,44,73
6,12,52,65
6,13,52,65
6,14,46,71
6,15,62,55
6,16,38,79
6,17,18,99
6,18,50,67
6,19,78,39
6,20,41,76
6,21,50,67
6,22,18,99
6,23,0,117
6,24,15,102
6,25,21,96
6,26,49,68
6,27,41,76
6,28,16,101
6,29,21,96
7,0,69,48
7,1,62,55
7,2,29,88
7,3,64,53
7,4,36,81
7,5,29,88
7,6,46,71
7,7,41,76
7,8,1,116
7,9,64,53
7,10,44,73
7,11,43,74
7,12,53,64
7,13,52,65
7,14,46,71
7,15,62,55
7,16,39,78
7,17,17,100
7,18,49,68
7,19,78,39
7,20,41,76
7,21,51,66
7,22,17,100
7,23,0,117
7,24,15,102
7,25,23,94
7,26,49,68
7,27,42,75
7,28,16,101
7,29,20,97
8,0,71,48
8,1,65,54
8,2,32,87
8,3,66,53
8,4,38,81
8,5,30,89
8,6,47,72
8,7,42,77
8,8,3,116
8,9,66,53
8,10,47,72
8,11,45,74
8,12,54,65
8,13,54,65
8,14,47,72
8,15,64,55
8,16,40,79
8,17,19,100
8,18,51,68
8,19,80,39
8,20,43,76
8,21,52,67
8,22,18,101
8,23,0,119
8,24,18,101
8,25,24,95
8,26,51,68
8,27,43,76
8,28,19,100
8,29,23,96
9,0,69,48
9,1,63,54
9,2,30,87
9,3,65,52
9,4,37,80
9,5,30,87
9,6,46,71
9,7,42,75
9,8,3,114
