round,scope,value
0,global,10.660224398
0,inter_cluster,10.653335264
0,consensus,7.403128332
1,global,9.219666930
1,inter_cluster,9.212037545
1,consensus,6.389577507
2,global,7.888144843
2,inter_cluster,7.877086961
2,consensus,5.451065136
3,global,6.745406922
3,inter_cluster,6.731396104
3,consensus,4.650801691
4,global,5.809161141
4,inter_cluster,5.789493211
4,consensus,4.008844135
5,global,4.893889112
5,inter_cluster,4.874821237
5,consensus,3.372226183
6,global,4.219996309
6,inter_cluster,4.205934712
6,consensus,2.917443470
7,global,3.481575708
7,inter_cluster,3.465454587
7,consensus,2.395602940
8,global,3.076580715
8,inter_cluster,3.062384459
8,consensus,2.131097524
9,global,2.502312412
9,inter_cluster,2.495615214
9,consensus,1.725530975
10,global,2.162854621
10,inter_cluster,2.154310018
10,consensus,1.503697721
11,global,1.795747019
11,inter_cluster,1.789893357
11,consensus,1.249396677
12,global,1.562801531
12,inter_cluster,1.560890424
12,consensus,1.087498826
13,global,1.296419746
13,inter_cluster,1.303140722
13,consensus,0.900804120
14,global,1.145361466
14,inter_cluster,1.145698940
14,consensus,0.796677062
15,global,1.018013638
15,inter_cluster,1.019946021
15,consensus,0.708914295
16,global,0.935853768
16,inter_cluster,0.939433051
16,consensus,0.652176454
17,global,0.853810807
17,inter_cluster,0.858835201
17,consensus,0.594414516
18,global,0.819230792
18,inter_cluster,0.823570669
18,consensus,0.570732366
19,global,0.823184422
19,inter_cluster,0.825856134
19,consensus,0.574851623
20,global,0.797825877
20,inter_cluster,0.801951476
20,consensus,0.555448018
21,global,0.775347801
21,inter_cluster,0.779747697
21,consensus,0.540012615
22,global,0.776861163
22,inter_cluster,0.778914200
22,consensus,0.541741382
23,global,0.794704482
23,inter_cluster,0.795303960
23,consensus,0.554087843
24,global,0.784355544
24,inter_cluster,0.787183376
24,consensus,0.547393608
25,global,0.779888795
25,inter_cluster,0.786881939
25,consensus,0.543817805
26,global,0.770405234
26,inter_cluster,0.773085557
26,consensus,0.536616079
27,global,0.768150876
27,inter_cluster,0.772043209
27,consensus,0.535339412
28,global,0.765364329
28,inter_cluster,0.773951356
28,consensus,0.532571136
29,global,0.771510860
29,inter_cluster,0.775776140
29,consensus,0.537908631
30,global,0.769399871
30,inter_cluster,0.773907420
30,consensus,0.536940390
31,global,0.772280591
31,inter_cluster,0.779511386
31,consensus,0.538299017
32,global,0.774931602
32,inter_cluster,0.781414719
32,consensus,0.540011836
33,global,0.779178948
33,inter_cluster,0.785568301
33,consensus,0.542568004
34,global,0.785518019
34,inter_cluster,0.789064099
34,consensus,0.547213792
35,global,0.772498119
35,inter_cluster,0.777633211
35,consensus,0.537532428
36,global,0.774405307
36,inter_cluster,0.776759377
36,consensus,0.539251724
37,global,0.802004143
37,inter_cluster,0.811605161
37,consensus,0.558777969
38,global,0.788006842
38,inter_cluster,0.791115207
38,consensus,0.547968881
39,global,0.802633921
39,inter_cluster,0.806008493
39,consensus,0.557928706
40,global,0.803899466
40,inter_cluster,0.810887278
40,consensus,0.558573773
41,global,0.832753347
41,inter_cluster,0.837457162
41,consensus,0.578211062
42,global,0.858120310
42,inter_cluster,0.864299904
42,consensus,0.595130399
43,global,0.897555599
43,inter_cluster,0.905871320
43,consensus,0.621612284
44,global,0.943644255
44,inter_cluster,0.955262601
44,consensus,0.653019689
45,global,0.932614858
45,inter_cluster,0.929146327
45,consensus,0.646199732
46,global,0.921674480
46,inter_cluster,0.920776021
46,consensus,0.634899378
47,global,0.974630428
47,inter_cluster,0.971880354
47,consensus,0.675513997
48,global,0.945312722
48,inter_cluster,0.952086102
48,consensus,0.656764974
49,global,0.933301393
49,inter_cluster,0.932935066
49,consensus,0.645646349
50,global,0.929402207
50,inter_cluster,0.928654088
50,consensus,0.645795138
51,global,0.988137615
51,inter_cluster,0.985297561
51,consensus,0.685062035
52,global,0.947490984
52,inter_cluster,0.941699874
52,consensus,0.658852219
53,global,1.013285195
53,inter_cluster,1.007385143
53,consensus,0.699631306
54,global,0.961368521
54,inter_cluster,0.956945808
54,consensus,0.669494856
55,global,1.029848217
55,inter_cluster,1.026588257
55,consensus,0.708829339
56,global,0.916098769
56,inter_cluster,0.919550745
56,consensus,0.636976711
57,global,0.952881866
57,inter_cluster,0.951775173
57,consensus,0.659693826
58,global,0.926140526
58,inter_cluster,0.927734952
58,consensus,0.642595121
59,global,0.869164588
59,inter_cluster,0.868113530
59,consensus,0.604367875
60,global,0.926854461
60,inter_cluster,0.924469569
60,consensus,0.633478398
61,global,0.838452180
61,inter_cluster,0.833441992
61,consensus,0.582918765
62,global,0.871017076
62,inter_cluster,0.868140327
62,consensus,0.597599930
63,global,0.814994033
63,inter_cluster,0.810987793
63,consensus,0.561747661
64,global,0.750587024
64,inter_cluster,0.747036438
64,consensus,0.520925419
65,global,0.684534625
65,inter_cluster,0.680899158
65,consensus,0.470502093
66,global,0.656710317
66,inter_cluster,0.653901689
66,consensus,0.449562711
67,global,0.655598946
67,inter_cluster,0.653847244
67,consensus,0.450466173
68,global,0.635429544
68,inter_cluster,0.630981115
68,consensus,0.434351661
69,global,0.511554132
69,inter_cluster,0.509964160
69,consensus,0.355468971
70,global,0.497219210
70,inter_cluster,0.493429414
70,consensus,0.343170800
71,global,0.466927925
71,inter_cluster,0.466619409
71,consensus,0.322583993
72,global,0.529540831
72,inter_cluster,0.527940470
72,consensus,0.359661155
73,global,0.539125043
73,inter_cluster,0.539275155
73,consensus,0.364014021
74,global,0.520443180
74,inter_cluster,0.520208310
74,consensus,0.355115407
75,global,0.466847802
75,inter_cluster,0.463649928
75,consensus,0.320767405
76,global,0.425712733
76,inter_cluster,0.425865782
76,consensus,0.291618892
77,global,0.487908623
77,inter_cluster,0.484682270
77,consensus,0.329448731
78,global,0.570472413
78,inter_cluster,0.567630767
78,consensus,0.379645298
79,global,0.442561877
79,inter_cluster,0.441999559
79,consensus,0.303479472
80,global,0.353464107
80,inter_cluster,0.353807275
80,consensus,0.244987165
81,global,0.352543252
81,inter_cluster,0.352156845
81,consensus,0.240880509
82,global,0.321143905
82,inter_cluster,0.318190371
82,consensus,0.220787284
83,global,0.340114738
83,inter_cluster,0.340083984
83,consensus,0.232229937
84,global,0.328723761
84,inter_cluster,0.327267631
84,consensus,0.223850508
85,global,0.313410201
85,inter_cluster,0.311955648
85,consensus,0.213972019
86,global,0.315601095
86,inter_cluster,0.315065910
86,consensus,0.215576503
87,global,0.324071163
87,inter_cluster,0.326429147
87,consensus,0.218793889
88,global,0.518806009
88,inter_cluster,0.517597956
88,consensus,0.345709765
89,global,0.661182667
89,inter_cluster,0.655674505
89,consensus,0.460681339
90,global,0.459230942
90,inter_cluster,0.455712004
90,consensus,0.309230318
91,global,0.410793103
91,inter_cluster,0.409522051
91,consensus,0.273476043
92,global,0.383276463
92,inter_cluster,0.380312056
92,consensus,0.256770870
93,global,0.345854490
93,inter_cluster,0.343049872
93,consensus,0.234430262
94,global,0.369128075
94,inter_cluster,0.366912106
94,consensus,0.246840960
95,global,0.283131596
95,inter_cluster,0.281158991
95,consensus,0.194544044
96,global,0.274239322
96,inter_cluster,0.272792281
96,consensus,0.188524902
97,global,0.265234544
97,inter_cluster,0.263474462
97,consensus,0.181014491
98,global,0.266095133
98,inter_cluster,0.264009489
98,consensus,0.179904111
99,global,0.376854924
99,inter_cluster,0.375848051
99,consensus,0.243261530
