round,node,idle_ticks,busy_ticks
0,0,8244,566
0,1,8495,315
0,2,8225,585
0,3,5599,3211
0,4,6,8804
0,5,3541,5269
1,0,8244,566
1,1,8495,315
1,2,8225,585
1,3,5599,3211
1,4,6,8804
1,5,3541,5269
2,0,8244,566
2,1,8495,315
2,2,8225,585
2,3,5599,3211
2,4,6,8804
2,5,3541,5269
3,0,8244,566
3,1,8495,315
3,2,8225,585
3,3,5599,3211
3,4,6,8804
3,5,3541,5269
4,0,8244,566
4,1,8495,315
4,2,8225,585
4,3,5599,3211
4,4,6,8804
4,5,3541,5269
5,0,8244,566
5,1,8495,315
5,2,8225,585
5,3,5599,3211
5,4,6,8804
5,5,3541,5269
6,0,8244,566
6,1,8495,315
6,2,8225,585
6,3,5599,3211
6,4,6,8804
6,5,3541,5269
7,0,8244,566
7,1,8495,315
7,2,8225,585
7,3,5599,3211
7,4,6,8804
7,5,3541,5269
8,0,8244,566
8,1,8495,315
8,2,8225,585
8,3,5599,3211
8,4,6,8804
8,5,3541,5269
9,0,8244,566
9,1,8495,315
9,2,8225,585
9,3,5599,3211
9,4,6,8804
9,5,3541,5269
10,0,8244,566
10,1,8495,315
10,2,8225,585
10,3,5599,3211
10,4,6,8804
10,5,3541,5269
11,0,8244,566
11,1,8495,315
11,2,8225,585
11,3,5599,3211
11,4,6,8804
11,5,3541,5269
12,0,8244,566
12,1,8495,315
12,2,8225,585
12,3,5599,3211
12,4,6,8804
12,5,3541,5269
13,0,8244,566
13,1,8495,315
13,2,8225,585
13,3,5599,3211
13,4,6,8804
13,5,3541,5269
14,0,8244,566
14,1,8495,315
14,2,8225,585
14,3,5599,3211
14,4,6,8804
14,5,3541,5269
15,0,8244,566
15,1,8495,315
15,2,8225,585
15,3,5599,3211
15,4,6,8804
15,5,3541,5269
16,0,8244,566
16,1,8495,315
16,2,8225,585
16,3,5599,3211
16,4,6,8804
16,5,3541,5269
17,0,8244,566
17,1,8495,315
17,2,8225,585
17,3,5599,3211
17,4,6,8804
17,5,3541,5269
18,0,8244,566
18,1,8495,315
18,2,8225,585
18,3,5599,3211
18,4,6,8804
18,5,3541,5269
19,0,8244,566
19,1,8495,315
19,2,8225,585
19,3,5599,3211
19,4,6,8804
19,5,3541,5269
