round,node,ul_bytes,dl_bytes,energy_mj
0,0,740472,740472,174799.996117
0,1,740472,740472,174799.996117
0,2,493648,493648,174799.997411
0,3,740472,740472,174799.996117
0,4,740472,740472,174799.996117
0,5,493648,493648,174799.997411
1,0,740472,740472,174799.996117
1,1,740472,740472,174799.996117
1,2,493648,493648,174799.997411
1,3,740472,740472,174799.996117
1,4,740472,740472,174799.996117
1,5,493648,493648,174799.997411
2,0,740472,740472,174783.329451
2,1,740472,740472,174783.329451
2,2,493648,493648,174783.330745
2,3,493648,493648,174783.330745
2,4,493648,493648,174783.330745
2,5,493648,493648,174783.330745
3,0,740472,740472,174799.996117
3,1,740472,740472,174799.996117
3,2,493648,493648,174799.997411
3,3,740472,740472,174799.996117
3,4,740472,740472,174799.996117
3,5,493648,493648,174799.997411
4,0,740472,740472,174799.996117
4,1,740472,740472,174799.996117
4,2,493648,493648,174799.997411
4,3,740472,740472,174799.996117
4,4,740472,740472,174799.996117
4,5,493648,493648,174799.997411
5,0,740472,740472,174799.997201
5,1,740472,740472,174799.997201
5,2,493648,493648,174799.998134
5,3,740472,740472,174799.997201
5,4,740472,740472,174799.997201
5,5,493648,493648,174799.998134
6,0,740472,740472,174799.996117
6,1,740472,740472,174799.996117
6,2,493648,493648,174799.997411
6,3,740472,740472,174799.996117
6,4,740472,740472,174799.996117
6,5,493648,493648,174799.997411
7,0,740472,740472,174783.329451
7,1,740472,740472,174783.329451
7,2,493648,493648,174783.330745
7,3,493648,493648,174783.330745
7,4,493648,493648,174783.330745
7,5,493648,493648,174783.330745
8,0,740472,740472,174799.996117
8,1,740472,740472,174799.996117
8,2,493648,493648,174799.997411
8,3,740472,740472,174799.996117
8,4,740472,740472,174799.996117
8,5,493648,493648,174799.997411
9,0,740472,740472,174799.996117
9,1,740472,740472,174799.996117
9,2,493648,493648,174799.997411
9,3,740472,740472,174799.996117
9,4,740472,740472,174799.996117
9,5,493648,493648,174799.997411
10,0,740472,740472,174799.996117
10,1,740472,740472,174799.996117
10,2,493648,493648,174799.997411
10,3,740472,740472,174799.996117
10,4,740472,740472,174799.996117
10,5,493648,493648,174799.997411
11,0,740472,740472,174799.998284
11,1,740472,740472,174799.998284
11,2,493648,493648,174799.998856
11,3,740472,740472,174799.998284
11,4,740472,740472,174799.998284
11,5,493648,493648,174799.998856
12,0,740472,740472,174799.996117
12,1,740472,740472,174799.996117
12,2,493648,493648,174799.997411
12,3,740472,740472,174799.996117
12,4,740472,740472,174799.996117
12,5,493648,493648,174799.997411
13,0,740472,740472,174799.996117
13,1,740472,740472,174799.996117
13,2,493648,493648,174799.997411
13,3,740472,740472,174799.996117
13,4,740472,740472,174799.996117
13,5,493648,493648,174799.997411
14,0,740472,740472,174783.329451
14,1,740472,740472,174783.329451
14,2,493648,493648,174783.330745
14,3,493648,493648,174783.330745
14,4,493648,493648,174783.330745
14,5,493648,493648,174783.330745
15,0,740472,740472,174783.329451
15,1,740472,740472,174783.329451
15,2,493648,493648,174783.330745
15,3,493648,493648,174783.330745
15,4,493648,493648,174783.330745
15,5,493648,493648,174783.330745
16,0,740472,740472,174799.996117
16,1,740472,740472,174799.996117
16,2,493648,493648,174799.997411
16,3,740472,740472,174799.996117
16,4,740472,740472,174799.996117
16,5,493648,493648,174799.997411
17,0,740472,740472,174799.999368
17,1,740472,740472,174799.999368
17,2,493648,493648,174799.999578
17,3,740472,740472,174799.999368
17,4,740472,740472,174799.999368
17,5,493648,493648,174799.999578
18,0,740472,740472,174799.996117
18,1,740472,740472,174799.996117
18,2,493648,493648,174799.997411
18,3,740472,740472,174799.996117
18,4,740472,740472,174799.996117
18,5,493648,493648,174799.997411
19,0,740472,740472,174799.996117
19,1,740472,740472,174799.996117
19,2,493648,493648,174799.997411
19,3,740472,740472,174799.996117
19,4,740472,740472,174799.996117
19,5,493648,493648,174799.997411
