round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,1;2,740472,740472,463,423,6643,6180
0,1,0;2,740472,740472,637,607,6643,6006
0,2,0;1,493648,493648,751,740,6643,5892
0,3,0;5,493648,493648,3210,3163,6643,3433
0,4,1;5,493648,493648,4544,4505,6643,2099
0,5,3;4,493648,493648,6643,6596,6643,0
1,0,1;2,740472,740472,463,423,6646,6183
1,1,0;2,740472,740472,637,607,6646,6009
1,2,0;1,493648,493648,751,740,6646,5895
1,3,0;4,740472,740472,3213,3163,6646,3433
1,4,1;5,740472,740472,4555,4505,6646,2091
1,5,3;4,493648,493648,6643,6596,6646,3
2,0,1;2,740472,740472,463,423,6643,6180
2,1,0;2,740472,740472,637,607,6643,6006
2,2,0;1,493648,493648,751,740,6643,5892
2,3,0;5,493648,493648,3210,3163,6643,3433
2,4,1;5,493648,493648,4544,4505,6643,2099
2,5,3;4,493648,493648,6643,6596,6643,0
3,0,1;2,740472,740472,463,423,6646,6183
3,1,0;2,740472,740472,637,607,6646,6009
3,2,0;1,493648,493648,751,740,6646,5895
3,3,0;4,740472,740472,3213,3163,6646,3433
3,4,1;5,740472,740472,4555,4505,6646,2091
3,5,3;4,493648,493648,6643,6596,6646,3
4,0,1;2,740472,740472,463,423,6646,6183
4,1,0;2,740472,740472,637,607,6646,6009
4,2,0;1,493648,493648,751,740,6646,5895
4,3,0;5,740472,740472,3213,3163,6646,3433
4,4,1;3,740472,740472,4555,4505,6646,2091
4,5,3;4,493648,493648,6643,6596,6646,3
5,0,1;2,740472,740472,463,423,6643,6180
5,1,0;2,740472,740472,637,607,6643,6006
5,2,0;1,493648,493648,751,740,6643,5892
5,3,0;5,493648,493648,3210,3163,6643,3433
5,4,1;5,493648,493648,4544,4505,6643,2099
5,5,3;4,493648,493648,6643,6596,6643,0
6,0,1;2,740472,740472,463,423,6646,6183
6,1,0;2,740472,740472,637,607,6646,6009
6,2,0;1,493648,493648,751,740,6646,5895
6,3,0;4,740472,740472,3213,3163,6646,3433
6,4,1;3,740472,740472,4555,4505,6646,2091
6,5,3;4,493648,493648,6643,6596,6646,3
7,0,1;2,740472,740472,463,423,6643,6180
7,1,0;2,740472,740472,637,607,6643,6006
7,2,0;1,493648,493648,751,740,6643,5892
7,3,0;5,493648,493648,3210,3163,6643,3433
7,4,1;5,493648,493648,4544,4505,6643,2099
7,5,3;4,493648,493648,6643,6596,6643,0
8,0,1;2,740472,740472,463,423,6646,6183
8,1,0;2,740472,740472,637,607,6646,6009
8,2,0;1,493648,493648,751,740,6646,5895
8,3,0;4,740472,740472,3213,3163,6646,3433
8,4,1;3,740472,740472,4555,4505,6646,2091
8,5,3;4,493648,493648,6643,6596,6646,3
9,0,1;2,740472,740472,463,423,6643,6180
9,1,0;2,740472,740472,637,607,6643,6006
9,2,0;1,493648,493648,751,740,6643,5892
9,3,0;5,493648,493648,3210,3163,6643,3433
9,4,1;5,493648,493648,4544,4505,6643,2099
9,5,3;4,493648,493648,6643,6596,6643,0
10,0,1;2,740472,740472,463,423,6643,6180
10,1,0;2,740472,740472,637,607,6643,6006
