round,src,dst,bytes,delay_ticks,src_mj,dst_mj,failed
0,0,1,246824,13,21230.555084,21230.555084,0
0,1,0,246824,13,21230.555084,21230.555084,0
0,0,2,246824,8,21230.555084,31845.832862,0
0,2,0,246824,8,31845.832862,21230.555084,0
0,0,3,246824,40,21230.555084,31845.832862,0
0,3,0,246824,40,31845.832862,21230.555084,0
0,1,2,246824,11,21230.555084,31845.832862,0
0,2,1,246824,11,31845.832862,21230.555084,0
0,1,4,246824,30,21230.555084,31845.832862,0
0,4,1,246824,30,31845.832862,21230.555084,0
0,3,5,246824,47,31845.832862,31845.832862,0
0,5,3,246824,47,31845.832862,31845.832862,0
0,4,5,246824,39,31845.832862,31845.832862,0
0,5,4,246824,39,31845.832862,31845.832862,0
1,0,1,246824,13,21238.888417,21238.888417,0
1,1,0,246824,13,21238.888417,21238.888417,0
1,0,2,246824,8,21238.888417,31858.332862,0
1,2,0,246824,8,31858.332862,21238.888417,0
1,0,3,246824,40,21238.888417,21238.888417,0
1,3,0,246824,40,21238.888417,21238.888417,0
1,1,2,246824,11,21238.888417,31858.332862,0
1,2,1,246824,11,31858.332862,21238.888417,0
1,1,4,246824,30,21238.888417,21238.888417,0
1,4,1,246824,30,21238.888417,21238.888417,0
1,3,4,246824,50,21238.888417,21238.888417,0
1,4,3,246824,50,21238.888417,21238.888417,0
1,3,5,246824,47,21238.888417,31858.332862,0
1,5,3,246824,47,31858.332862,21238.888417,0
1,4,5,246824,39,21238.888417,31858.332862,0
1,5,4,246824,39,31858.332862,21238.888417,0
2,0,1,246824,13,21230.555084,21230.555084,0
2,1,0,246824,13,21230.555084,21230.555084,0
2,0,2,246824,8,21230.555084,31845.832862,0
2,2,0,246824,8,31845.832862,21230.555084,0
2,0,3,246824,40,21230.555084,31845.832862,0
2,3,0,246824,40,31845.832862,21230.555084,0
2,1,2,246824,11,21230.555084,31845.832862,0
2,2,1,246824,11,31845.832862,21230.555084,0
2,1,4,246824,30,21230.555084,31845.832862,0
2,4,1,246824,30,31845.832862,21230.555084,0
2,3,5,246824,47,31845.832862,31845.832862,0
2,5,3,246824,47,31845.832862,31845.832862,0
2,4,5,246824,39,31845.832862,31845.832862,0
2,5,4,246824,39,31845.832862,31845.832862,0
3,0,1,246824,13,21238.888417,21238.888417,0
3,1,0,246824,13,21238.888417,21238.888417,0
3,0,2,246824,8,21238.888417,31858.332862,0
3,2,0,246824,8,31858.332862,21238.888417,0
3,0,3,246824,40,21238.888417,21238.888417,0
3,3,0,246824,40,21238.888417,21238.888417,0
3,1,2,246824,11,21238.888417,31858.332862,0
