round,scope,value
0,global,2.504238669
0,inter_cluster,2.398898378
0,consensus,1.625746321
1,global,2.771286203
1,inter_cluster,2.786722922
1,consensus,1.791802809
2,global,2.420274075
2,inter_cluster,2.610319538
2,consensus,1.569210138
3,global,2.299134859
3,inter_cluster,2.609427912
3,consensus,1.500998971
4,global,2.190986411
4,inter_cluster,2.563689176
4,consensus,1.438286534
5,global,2.146173315
5,inter_cluster,2.629816321
5,consensus,1.432129451
6,global,2.165724659
6,inter_cluster,2.571530491
6,consensus,1.423901886
7,global,2.276248885
7,inter_cluster,2.742791599
7,consensus,1.506386296
8,global,2.110735717
8,inter_cluster,2.527373760
8,consensus,1.390936574
9,global,2.041507422
9,inter_cluster,2.541980644
9,consensus,1.367179288
10,global,2.063713841
10,inter_cluster,2.611521111
10,consensus,1.392989228
11,global,2.062346646
11,inter_cluster,2.634073898
11,consensus,1.399211845
12,global,2.066823693
12,inter_cluster,2.672191830
12,consensus,1.413992365
13,global,2.018810229
13,inter_cluster,2.613328032
13,consensus,1.380940067
14,global,2.041276827
14,inter_cluster,2.633448261
14,consensus,1.392684174
15,global,1.989441194
15,inter_cluster,2.606529012
15,consensus,1.369099784
16,global,2.003720620
16,inter_cluster,2.558370309
16,consensus,1.359504732
17,global,1.942963792
17,inter_cluster,2.520126817
17,consensus,1.330211590
18,global,1.917719757
18,inter_cluster,2.501560106
18,consensus,1.316414893
19,global,1.924977320
19,inter_cluster,2.511569155
19,consensus,1.322680362
