round,scope,value
0,global,0.510977671
0,inter_cluster,0.512445606
0,consensus,0.348641305
1,global,0.789611878
1,inter_cluster,0.796318616
1,consensus,0.543219110
2,global,0.843651708
2,inter_cluster,0.852658323
2,consensus,0.583667069
3,global,0.875386973
3,inter_cluster,0.883926578
3,consensus,0.606216933
4,global,0.972514988
4,inter_cluster,0.973310487
4,consensus,0.671640562
5,global,1.007935043
5,inter_cluster,1.013126610
5,consensus,0.691812440
6,global,1.070731129
6,inter_cluster,1.071921997
6,consensus,0.738461435
7,global,1.091349983
7,inter_cluster,1.092307053
7,consensus,0.752618511
8,global,1.066438447
8,inter_cluster,1.072743720
8,consensus,0.737352750
9,global,1.050257779
9,inter_cluster,1.055057951
9,consensus,0.726903389
10,global,1.040833635
10,inter_cluster,1.043120132
10,consensus,0.716792026
11,global,1.022871367
11,inter_cluster,1.030085660
11,consensus,0.698391763
12,global,0.978711312
12,inter_cluster,0.984028201
12,consensus,0.669288295
13,global,1.020889386
13,inter_cluster,1.026266679
13,consensus,0.696308893
14,global,0.991283685
14,inter_cluster,1.001979563
14,consensus,0.677494402
15,global,0.928819669
15,inter_cluster,0.939947255
15,consensus,0.637947382
16,global,0.848716343
16,inter_cluster,0.862743244
16,consensus,0.585456165
17,global,0.903209253
17,inter_cluster,0.907767913
17,consensus,0.614785919
18,global,0.903863540
18,inter_cluster,0.907581603
18,consensus,0.620076616
19,global,0.856690758
19,inter_cluster,0.864862680
19,consensus,0.586162501
20,global,0.816709965
20,inter_cluster,0.827826770
20,consensus,0.563061059
21,global,0.825139100
21,inter_cluster,0.833420058
21,consensus,0.567331054
22,global,0.828254249
22,inter_cluster,0.833974566
22,consensus,0.564249744
23,global,0.836845000
23,inter_cluster,0.840082442
23,consensus,0.572473587
24,global,0.805884356
24,inter_cluster,0.810421127
24,consensus,0.552409914
25,global,0.788033238
25,inter_cluster,0.796190053
25,consensus,0.543594413
26,global,0.737996792
26,inter_cluster,0.740372894
26,consensus,0.509525357
27,global,0.729120289
27,inter_cluster,0.734794674
27,consensus,0.500930369
28,global,0.740282650
28,inter_cluster,0.745775981
28,consensus,0.509555143
29,global,0.792482649
29,inter_cluster,0.797060838
29,consensus,0.537679342
30,global,0.785319195
30,inter_cluster,0.788093315
30,consensus,0.538879170
31,global,0.741930813
31,inter_cluster,0.747815502
31,consensus,0.511279830
32,global,0.817521887
32,inter_cluster,0.820776247
32,consensus,0.554020182
33,global,0.884643544
33,inter_cluster,0.887844450
33,consensus,0.599903309
34,global,0.821537174
34,inter_cluster,0.823707112
34,consensus,0.567853300
35,global,0.762986338
35,inter_cluster,0.765852228
35,consensus,0.530646983
36,global,0.744366993
36,inter_cluster,0.745430885
36,consensus,0.510384320
37,global,0.722352943
37,inter_cluster,0.730480492
37,consensus,0.494656643
38,global,0.746823149
38,inter_cluster,0.754923268
38,consensus,0.504755106
39,global,0.721587019
39,inter_cluster,0.730706743
39,consensus,0.491030287
40,global,0.753501071
40,inter_cluster,0.760264471
40,consensus,0.507549124
41,global,0.722946321
41,inter_cluster,0.731589594
41,consensus,0.494907545
42,global,0.682548487
42,inter_cluster,0.689585895
42,consensus,0.467691139
43,global,0.645232315
43,inter_cluster,0.649559259
43,consensus,0.445003222
44,global,0.645050116
44,inter_cluster,0.650266764
44,consensus,0.443873329
45,global,0.629072271
45,inter_cluster,0.632824860
45,consensus,0.432535289
46,global,0.609708247
46,inter_cluster,0.614853694
46,consensus,0.420185432
47,global,0.651006247
47,inter_cluster,0.657534168
47,consensus,0.445090664
48,global,0.693109226
48,inter_cluster,0.700446355
48,consensus,0.472508830
49,global,0.770095160
49,inter_cluster,0.779966060
49,consensus,0.515768789
50,global,0.814612623
50,inter_cluster,0.826689769
50,consensus,0.540652436
51,global,0.691512158
51,inter_cluster,0.703174497
51,consensus,0.468206132
52,global,0.724543432
52,inter_cluster,0.735524270
52,consensus,0.488114259
53,global,0.715035425
53,inter_cluster,0.723027403
53,consensus,0.483349832
54,global,0.697811050
54,inter_cluster,0.702740662
54,consensus,0.475334960
55,global,0.630731375
55,inter_cluster,0.637886979
55,consensus,0.430681042
56,global,0.785855947
56,inter_cluster,0.790315444
56,consensus,0.526637428
57,global,0.834625098
57,inter_cluster,0.835303710
57,consensus,0.565596545
58,global,0.740612966
58,inter_cluster,0.742744141
58,consensus,0.501012589
59,global,0.706829637
59,inter_cluster,0.713384298
59,consensus,0.481199538
60,global,0.644348735
60,inter_cluster,0.651747712
60,consensus,0.438208826
61,global,0.697037739
61,inter_cluster,0.703681468
61,consensus,0.469610845
62,global,0.668849013
62,inter_cluster,0.675533840
62,consensus,0.453408911
63,global,0.672627760
63,inter_cluster,0.677474770
63,consensus,0.455203454
64,global,0.636113792
64,inter_cluster,0.643795755
64,consensus,0.432665239
65,global,0.620436119
65,inter_cluster,0.630577709
65,consensus,0.421957520
66,global,0.597546670
66,inter_cluster,0.605044856
66,consensus,0.408123997
67,global,0.647537143
67,inter_cluster,0.657445024
67,consensus,0.440043078
68,global,0.657077908
68,inter_cluster,0.670059003
68,consensus,0.445126042
69,global,0.632935508
69,inter_cluster,0.642807278
69,consensus,0.431246527
