round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,929,21,38,0
1,929,21,39,0
2,929,20,38,0
3,929,21,38,0
4,930,20,39,0
5,929,21,39,0
6,929,20,38,0
7,928,20,38,0
8,930,21,38,0
9,929,23,39,0
10,928,20,38,0
11,930,21,38,0
12,929,21,39,0
13,930,21,38,0
14,928,20,39,0
15,929,21,39,0
16,930,22,40,0
17,929,22,38,0
18,930,21,39,0
19,929,20,38,0
20,929,21,39,0
21,930,21,39,0
22,930,20,38,0
23,930,20,37,0
24,929,21,39,0
25,930,21,39,0
26,929,22,40,0
27,930,21,38,0
28,929,20,38,0
29,929,21,39,0
30,930,20,38,0
31,930,21,39,0
32,928,21,39,0
33,929,21,38,0
34,930,20,39,0
35,929,22,39,0
36,930,21,39,0
37,929,21,39,0
38,930,21,39,0
39,928,20,37,0
40,930,22,39,0
41,929,20,38,0
42,930,13,38,0
43,930,21,39,0
44,929,22,38,0
45,929,21,38,0
46,929,22,39,0
47,930,21,38,0
48,930,22,40,0
49,930,21,39,0
50,928,21,38,0
51,929,20,37,0
52,929,21,37,0
53,929,21,38,0
54,930,21,38,0
55,928,21,38,0
56,929,21,38,0
57,929,21,38,0
58,928,20,38,0
59,929,20,38,0
60,929,21,38,0
61,929,21,38,0
62,928,21,38,0
63,929,21,38,0
64,928,21,38,0
65,929,21,38,0
66,929,21,38,0
67,929,20,38,0
68,928,21,38,0
69,928,21,38,0
70,929,21,38,0
71,929,21,37,0
72,931,20,37,0
73,931,21,38,0
74,931,21,38,0
75,929,21,37,0
76,929,21,37,0
77,928,21,38,0
78,929,20,38,0
79,929,21,38,0
80,928,21,37,0
81,929,21,38,0
82,931,21,38,0
83,929,20,37,0
84,929,21,38,0
85,931,21,38,0
86,931,21,38,0
87,931,21,38,0
88,929,22,38,0
89,928,20,38,0
90,929,21,38,0
91,929,21,38,0
92,929,21,38,0
93,929,21,38,0
94,931,21,37,0
95,931,21,37,0
96,928,21,37,0
97,928,21,38,0
98,931,21,38,0
99,929,21,37,0
