round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,8;13,493648,493648,56,48,929,873
0,1,8;13,493648,493648,33,24,929,896
0,2,8;13,493648,493648,45,33,929,884
0,3,12;13,493648,493648,61,53,929,868
0,4,8;13,493648,493648,86,75,929,843
0,5,8;13,493648,493648,89,78,929,840
0,6,8;13,493648,493648,102,92,929,827
0,7,12;13,493648,493648,87,78,929,842
0,8,12;13,3455536,3455536,117,91,929,812
0,9,8;13,493648,493648,38,28,929,891
0,10,8;13,493648,493648,54,43,929,875
0,11,8;13,493648,493648,40,32,929,889
0,12,8;13,4442832,4442832,119,80,929,810
0,13,8;12,6911072,6911072,61,21,929,868
0,14,8;13,493648,493648,86,77,929,843
0,15,12;13,493648,493648,704,676,929,225
0,16,12;13,493648,493648,615,580,929,314
0,17,12;13,493648,493648,912,889,929,17
0,18,12;13,493648,493648,434,413,929,495
0,19,12;13,493648,493648,521,495,929,408
0,20,12;13,493648,493648,547,507,929,382
0,21,8;13,493648,493648,466,444,929,463
0,22,12;13,493648,493648,852,817,929,77
0,23,12;13,493648,493648,888,854,929,41
0,24,12;13,493648,493648,363,326,929,566
0,25,12;13,493648,493648,451,423,929,478
0,26,12;13,493648,493648,366,340,929,563
0,27,12;13,493648,493648,477,453,929,452
0,28,12;13,493648,493648,636,598,929,293
0,29,8;12,493648,493648,742,716,929,187
1,0,1;7,1727768,1727768,87,48,929,842
1,1,0;9,6664248,6664248,64,24,929,865
1,2,1;9,493648,493648,46,33,929,883
1,3,1;9,493648,493648,63,53,929,866
1,4,1;9,493648,493648,87,75,929,842
1,5,1;9,493648,493648,90,78,929,839
1,6,1;9,493648,493648,103,92,929,826
1,7,1;9,740472,740472,89,78,929,840
1,8,1;9,493648,493648,101,91,929,828
1,9,1;7,6170600,6170600,67,28,929,862
1,10,1;9,493648,493648,55,43,929,874
1,11,0;1,493648,493648,40,32,929,889
1,12,1;9,493648,493648,89,80,929,840
1,13,1;9,493648,493648,31,21,929,898
1,14,1;9,493648,493648,87,77,929,842
1,15,1;9,493648,493648,705,676,929,224
1,16,1;9,493648,493648,616,580,929,313
1,17,1;9,493648,493648,913,889,929,16
1,18,1;9,493648,493648,435,413,929,494
1,19,0;9,493648,493648,522,495,929,407
1,20,0;1,493648,493648,547,507,929,382
1,21,0;9,493648,493648,467,444,929,462
1,22,1;9,493648,493648,853,817,929,76
1,23,0;1,493648,493648,888,854,929,41
1,24,1;9,493648,493648,364,326,929,565
1,25,1;9,493648,493648,452,423,929,477
1,26,1;9,493648,493648,367,340,929,562
