round,node,idle_ticks,busy_ticks
0,0,821,79
0,1,788,112
0,2,866,34
0,3,827,73
0,4,819,81
0,5,855,45
0,6,853,47
0,7,864,36
0,8,825,75
0,9,808,92
0,10,827,73
0,11,837,63
0,12,791,109
0,13,838,62
0,14,809,91
0,15,475,425
0,16,196,704
0,17,208,692
0,18,235,665
0,19,298,602
0,20,387,513
0,21,281,619
0,22,288,612
0,23,0,900
0,24,486,414
0,25,479,421
0,26,266,634
0,27,296,604
0,28,312,588
0,29,321,579
1,0,821,81
1,1,773,129
1,2,866,36
1,3,827,75
1,4,847,55
1,5,838,64
1,6,853,49
1,7,865,37
1,8,800,102
1,9,810,92
1,10,827,75
1,11,837,65
1,12,791,111
1,13,812,90
1,14,823,79
1,15,474,428
1,16,195,707
1,17,207,695
1,18,234,668
1,19,297,605
1,20,386,516
1,21,280,622
1,22,287,615
1,23,0,902
1,24,485,417
1,25,480,422
1,26,265,637
1,27,296,606
1,28,311,591
1,29,320,582
2,0,822,80
2,1,789,113
2,2,867,35
2,3,829,73
2,4,847,55
2,5,838,64
2,6,855,47
2,7,843,59
2,8,827,75
2,9,810,92
2,10,829,73
2,11,812,90
2,12,794,108
2,13,812,90
2,14,811,91
2,15,475,427
2,16,198,704
2,17,210,692
2,18,237,665
2,19,297,605
2,20,387,515
2,21,280,622
2,22,290,612
2,23,0,902
2,24,488,414
2,25,481,421
2,26,266,636
2,27,298,604
2,28,311,591
2,29,323,579
3,0,821,79
3,1,787,113
3,2,865,35
3,3,827,73
3,4,819,81
3,5,855,45
3,6,838,62
3,7,864,36
3,8,812,88
3,9,810,90
3,10,827,73
3,11,812,88
3,12,791,109
3,13,823,77
3,14,809,91
3,15,473,427
3,16,196,704
3,17,208,692
3,18,234,666
3,19,295,605
3,20,387,513
3,21,280,620
3,22,287,613
3,23,0,900
3,24,484,416
3,25,479,421
3,26,266,634
3,27,296,604
3,28,312,588
3,29,320,580
4,0,820,79
4,1,760,139
4,2,864,35
4,3,806,93
4,4,844,55
4,5,854,45
4,6,838,61
4,7,862,37
4,8,809,90
4,9,807,92
4,10,826,73
4,11,811,88
4,12,791,108
4,13,821,78
4,14,808,91
4,15,474,425
4,16,195,704
4,17,204,695
4,18,234,665
4,19,296,603
4,20,385,514
4,21,278,621
4,22,287,612
4,23,0,899
4,24,485,414
4,25,477,422
4,26,264,635
4,27,295,604
4,28,311,588
4,29,319,580
5,0,822,80
5,1,773,129
5,2,866,36
5,3,827,75
5,4,823,79
5,5,838,64
5,6,828,74
5,7,865,37
5,8,800,102
5,9,818,84
5,10,828,74
5,11,812,90
5,12,791,111
5,13,812,90
5,14,818,84
5,15,474,428
5,16,195,707
5,17,207,695
5,18,234,668
5,19,298,604
5,20,387,515
5,21,281,621
5,22,287,615
5,23,2,900
5,24,485,417
5,25,481,421
5,26,265,637
5,27,298,604
5,28,311,591
5,29,322,580
6,0,821,79
6,1,761,139
6,2,865,35
6,3,827,73
6,4,819,81
6,5,855,45
6,6,839,61
6,7,841,59
6,8,825,75
6,9,808,92
6,10,827,73
6,11,835,65
6,12,773,127
6,13,838,62
6,14,809,91
6,15,475,425
6,16,196,704
6,17,208,692
6,18,234,666
6,19,296,604
6,20,385,515
6,21,280,620
6,22,288,612
6,23,0,900
6,24,486,414
6,25,479,421
6,26,264,636
6,27,297,603
6,28,312,588
6,29,321,579
7,0,820,80
7,1,786,114
7,2,865,35
7,3,807,93
7,4,819,81
7,5,836,64
7,6,852,48
7,7,839,61
7,8,813,87
7,9,808,92
7,10,825,75
7,11,810,90
7,12,791,109
7,13,835,65
7,14,809,91
7,15,473,427
7,16,194,706
7,17,207,693
7,18,233,667
7,19,297,603
7,20,386,514
7,21,279,621
7,22,287,613
7,23,0,900
7,24,484,416
7,25,478,422
7,26,265,635
7,27,295,605
7,28,310,590
7,29,320,580
8,0,821,81
8,1,763,139
8,2,866,36
8,3,830,72
8,4,847,55
8,5,855,47
8,6,840,62
8,7,866,36
8,8,827,75
8,9,810,92
8,10,813,89
8,11,838,64
8,12,791,111
8,13,812,90
8,14,823,79
8,15,477,425
8,16,195,707
8,17,207,695
8,18,237,665
8,19,297,605
8,20,386,516
8,21,280,622
8,22,287,615
8,23,0,902
8,24,485,417
8,25,481,421
8,26,265,637
8,27,296,606
8,28,311,591
8,29,320,582
9,0,822,80
9,1,788,114
9,2,854,48
9,3,827,75
9,4,847,55
9,5,856,46
9,6,828,74
9,7,865,37
9,8,800,102
9,9,818,84
9,10,828,74
9,11,827,75
9,12,792,110
9,13,812,90
9,14,819,83
9,15,474,428
9,16,196,706
9,17,207,695
9,18,234,668
9,19,297,605
9,20,386,516
9,21,280,622
9,22,287,615
9,23,0,902
9,24,485,417
9,25,480,422
9,26,265,637
9,27,296,606
9,28,311,591
9,29,320,582
10,0,821,79
10,1,761,139
10,2,864,36
10,3,804,96
10,4,819,81
10,5,853,47
10,6,828,72
10,7,863,37
10,8,824,76
10,9,815,85
10,10,826,74
10,11,818,82
10,12,789,111
10,13,824,76
10,14,809,91
10,15,472,428
10,16,193,707
10,17,207,693
10,18,233,667
10,19,298,602
10,20,386,514
10,21,281,619
10,22,288,612
10,23,0,900
10,24,484,416
10,25,478,422
10,26,264,636
10,27,296,604
10,28,312,588
10,29,320,580
11,0,822,80
11,1,788,114
11,2,867,35
11,3,809,93
11,4,828,74
11,5,834,68
11,6,836,66
11,7,843,59
11,8,826,76
11,9,810,92
11,10,828,74
11,11,826,76
11,12,780,122
11,13,812,90
11,14,811,91
11,15,475,427
11,16,198,704
11,17,207,695
11,18,235,667
11,19,298,604
11,20,387,515
11,21,281,621
11,22,287,615
11,23,3,899
11,24,488,414
11,25,480,422
11,26,266,636
11,27,299,603
11,28,312,590
11,29,323,579
12,0,819,81
12,1,776,124
12,2,865,35
12,3,827,73
12,4,819,81
12,5,853,47
12,6,826,74
12,7,839,61
12,8,825,75
12,9,814,86
12,10,825,75
12,11,810,90
12,12,773,127
12,13,817,83
12,14,813,87
12,15,473,427
12,16,194,706
12,17,207,693
12,18,235,665
12,19,297,603
12,20,385,515
12,21,278,622
12,22,287,613
12,23,0,900
12,24,483,417
12,25,479,421
12,26,265,635
12,27,295,605
12,28,311,589
12,29,320,580
13,0,820,81
13,1,770,131
13,2,865,36
13,3,828,73
13,4,822,79
13,5,829,72
13,6,827,74
13,7,865,36
13,8,814,87
13,9,813,88
13,10,802,99
13,11,818,83
13,12,778,123
13,13,836,65
13,14,810,91
13,15,475,426
13,16,196,705
13,17,208,693
13,18,234,667
13,19,297,604
13,20,388,513
13,21,280,621
13,22,288,613
13,23,0,901
13,24,485,416
13,25,479,422
13,26,265,636
13,27,296,605
13,28,311,590
13,29,320,581
14,0,821,80
14,1,762,139
14,2,866,35
14,3,826,75
14,4,830,71
14,5,856,45
14,6,831,70
14,7,838,63
14,8,807,94
14,9,835,66
14,10,802,99
14,11,836,65
14,12,793,108
14,13,837,64
14,14,822,79
14,15,474,427
14,16,195,706
14,17,207,694
14,18,234,667
14,19,297,604
14,20,386,515
14,21,280,621
14,22,287,614
14,23,0,901
14,24,486,415
14,25,481,420
14,26,266,635
14,27,296,605
14,28,311,590
14,29,321,580
15,0,804,98
15,1,773,129
15,2,854,48
15,3,808,94
15,4,847,55
15,5,834,68
15,6,853,49
15,7,865,37
15,8,825,77
15,9,810,92
15,10,828,74
15,11,837,65
15,12,791,111
15,13,812,90
15,14,811,91
15,15,474,428
15,16,195,707
15,17,210,692
15,18,234,668
15,19,297,605
15,20,386,516
15,21,280,622
15,22,287,615
15,23,0,902
15,24,485,417
15,25,480,422
15,26,265,637
15,27,296,606
15,28,311,591
15,29,323,579
16,0,821,80
16,1,777,124
16,2,867,34
16,3,801,100
16,4,820,81
16,5,835,66
16,6,829,72
16,7,850,51
16,8,803,98
16,9,809,92
16,10,827,74
16,11,811,90
16,12,791,110
16,13,821,80
16,14,816,85
16,15,474,427
16,16,196,705
16,17,206,695
16,18,234,667
16,19,297,604
16,20,386,515
16,21,280,621
16,22,287,614
16,23,1,900
16,24,486,415
16,25,479,422
16,26,265,636
16,27,296,605
16,28,311,590
16,29,319,582
17,0,807,94
17,1,787,114
17,2,866,35
17,3,827,74
17,4,826,75
17,5,837,64
17,6,835,66
17,7,842,59
17,8,799,102
17,9,824,77
17,10,828,73
17,11,811,90
17,12,792,109
17,13,838,63
17,14,810,91
17,15,475,426
17,16,195,706
17,17,208,693
17,18,234,667
17,19,298,603
17,20,387,514
17,21,280,621
17,22,287,614
17,23,1,900
