round,src,dst,bytes,delay_ticks,src_mj,dst_mj,failed
0,0,9,246824,9,7916.666549,633.333216,0
0,9,0,246824,9,633.333216,7916.666549,0
0,0,14,246824,10,7916.666549,833.333216,0
0,14,0,246824,10,833.333216,7916.666549,0
0,1,4,246824,8,7916.666549,989.583216,0
0,4,1,246824,8,989.583216,7916.666549,0
0,1,14,246824,8,7916.666549,833.333216,0
0,14,1,246824,8,833.333216,7916.666549,0
0,2,4,246824,10,7916.666549,989.583216,0
0,4,2,246824,10,989.583216,7916.666549,0
0,2,9,246824,9,7916.666549,633.333216,0
0,9,2,246824,9,633.333216,7916.666549,0
0,3,4,246824,10,7916.666549,989.583216,0
0,4,3,246824,10,989.583216,7916.666549,0
0,3,9,246824,9,7916.666549,633.333216,0
0,9,3,246824,9,633.333216,7916.666549,0
0,4,5,246824,10,989.583216,7916.666549,0
0,5,4,246824,10,7916.666549,989.583216,0
0,4,6,246824,9,989.583216,7916.666549,0
0,6,4,246824,9,7916.666549,989.583216,0
0,4,7,246824,9,989.583216,7916.666549,0
0,7,4,246824,9,7916.666549,989.583216,0
0,4,8,246824,10,989.583216,7916.666549,0
0,8,4,246824,10,7916.666549,989.583216,0
0,4,9,246824,7,989.583216,633.333216,0
0,9,4,246824,7,633.333216,989.583216,0
0,4,10,246824,11,989.583216,7916.666549,0
0,10,4,246824,11,7916.666549,989.583216,0
0,4,11,246824,9,989.583216,7916.666549,0
0,11,4,246824,9,7916.666549,989.583216,0
0,4,12,246824,11,989.583216,7916.666549,0
0,12,4,246824,11,7916.666549,989.583216,0
0,4,13,246824,10,989.583216,7916.666549,0
0,13,4,246824,10,7916.666549,989.583216,0
0,4,14,246824,9,989.583216,833.333216,0
0,14,4,246824,9,833.333216,989.583216,0
0,4,23,246824,36,989.583216,7916.666549,0
0,23,4,246824,36,7916.666549,989.583216,0
0,4,25,246824,24,989.583216,7916.666549,0
0,25,4,246824,24,7916.666549,989.583216,0
0,4,27,246824,34,989.583216,7916.666549,0
0,27,4,246824,34,7916.666549,989.583216,0
0,5,9,246824,9,7916.666549,633.333216,0
0,9,5,246824,9,633.333216,7916.666549,0
0,6,9,246824,8,7916.666549,633.333216,0
0,9,6,246824,8,633.333216,7916.666549,0
0,7,14,246824,10,7916.666549,833.333216,0
0,14,7,246824,10,833.333216,7916.666549,0
0,8,9,246824,9,7916.666549,633.333216,0
0,9,8,246824,9,633.333216,7916.666549,0
0,9,10,246824,10,633.333216,7916.666549,0
0,10,9,246824,10,7916.666549,633.333216,0
0,9,11,246824,8,633.333216,7916.666549,0
0,11,9,246824,8,7916.666549,633.333216,0
0,9,12,246824,10,633.333216,7916.666549,0
0,12,9,246824,10,7916.666549,633.333216,0
0,9,13,246824,9,633.333216,7916.666549,0
0,13,9,246824,9,7916.666549,633.333216,0
0,9,14,246824,8,633.333216,833.333216,0
0,14,9,246824,8,833.333216,633.333216,0
0,9,15,246824,21,633.333216,7916.666549,0
0,15,9,246824,21,7916.666549,633.333216,0
