round,node,ul_bytes,dl_bytes,energy_mj
0,0,493648,493648,31966.666193
0,1,493648,493648,31966.666193
0,2,493648,493648,31966.666193
0,3,493648,493648,31966.666193
0,4,7157896,7157896,31966.659802
0,5,493648,493648,31966.666193
0,6,6417424,6417424,31966.660512
0,7,493648,493648,31966.666193
0,8,493648,493648,31966.666193
0,9,493648,493648,31966.666193
0,10,1234120,1234120,31966.665483
0,11,493648,493648,31966.666193
0,12,493648,493648,31966.666193
0,13,493648,493648,31966.666193
0,14,493648,493648,31966.666193
0,15,493648,493648,31966.666193
0,16,493648,493648,31966.666193
0,17,493648,493648,31966.666193
0,18,493648,493648,31966.666193
0,19,493648,493648,31966.666193
0,20,493648,493648,31966.666193
0,21,493648,493648,31966.666193
0,22,493648,493648,31966.666193
0,23,493648,493648,31966.666193
0,24,493648,493648,31966.666193
0,25,493648,493648,31966.666193
0,26,493648,493648,31966.666193
0,27,493648,493648,31966.666193
0,28,493648,493648,31966.666193
0,29,493648,493648,31966.666193
1,0,493648,493648,31983.332860
1,1,1727768,1727768,31983.331676
1,2,4196008,4196008,31983.329307
1,3,493648,493648,31983.332860
1,4,493648,493648,31983.332860
1,5,493648,493648,31983.332860
1,6,493648,493648,31983.332860
1,7,493648,493648,31983.332860
1,8,2221416,2221416,31983.331202
1,9,7157896,7157896,31983.326465
1,10,493648,493648,31983.332860
1,11,493648,493648,31983.332860
1,12,493648,493648,31983.332860
1,13,493648,493648,31983.332860
1,14,493648,493648,31983.332860
1,15,493648,493648,31983.332860
1,16,493648,493648,31983.332860
1,17,493648,493648,31983.332860
1,18,493648,493648,31983.332860
1,19,493648,493648,31983.332860
1,20,493648,493648,31983.332860
1,21,493648,493648,31983.332860
1,22,493648,493648,31983.332860
1,23,493648,493648,31983.332860
1,24,493648,493648,31983.332860
1,25,493648,493648,31983.332860
1,26,493648,493648,31983.332860
1,27,493648,493648,31983.332860
1,28,493648,493648,31983.332860
1,29,493648,493648,31983.332860
2,0,493648,493648,31949.999527
2,1,1234120,1234120,31949.998817
2,2,1727768,1727768,31949.998344
2,3,2468240,2468240,31949.997634
2,4,3208712,3208712,31949.996924
2,5,493648,493648,31949.999527
2,6,2715064,2715064,31949.997398
2,7,493648,493648,31949.999527
2,8,1480944,1480944,31949.998581
2,9,1480944,1480944,31949.998581
2,10,493648,493648,31949.999527
2,11,493648,493648,31949.999527
2,12,493648,493648,31949.999527
2,13,493648,493648,31949.999527
2,14,2961888,2961888,31949.997161
2,15,493648,493648,31949.999527
2,16,493648,493648,31949.999527
2,17,493648,493648,31949.999527
2,18,493648,493648,31949.999527
2,19,493648,493648,31949.999527
2,20,493648,493648,31949.999527
2,21,493648,493648,31949.999527
2,22,493648,493648,31949.999527
2,23,493648,493648,31949.999527
2,24,493648,493648,31949.999527
2,25,493648,493648,31949.999527
2,26,493648,493648,31949.999527
2,27,493648,493648,31949.999527
2,28,493648,493648,31949.999527
2,29,493648,493648,31949.999527
3,0,493648,493648,31983.332860
3,1,740472,740472,31983.332623
3,2,3455536,3455536,31983.330018
3,3,493648,493648,31983.332860
3,4,1974592,1974592,31983.331439
3,5,493648,493648,31983.332860
3,6,3455536,3455536,31983.330018
3,7,493648,493648,31983.332860
3,8,1727768,1727768,31983.331676
3,9,493648,493648,31983.332860
3,10,493648,493648,31983.332860
3,11,2961888,2961888,31983.330491
3,12,493648,493648,31983.332860
3,13,740472,740472,31983.332623
3,14,2221416,2221416,31983.331202
3,15,493648,493648,31983.332860
3,16,493648,493648,31983.332860
3,17,493648,493648,31983.332860
3,18,493648,493648,31983.332860
3,19,493648,493648,31983.332860
3,20,493648,493648,31983.332860
3,21,493648,493648,31983.332860
3,22,493648,493648,31983.332860
3,23,493648,493648,31983.332860
3,24,493648,493648,31983.332860
3,25,493648,493648,31983.332860
3,26,493648,493648,31983.332860
3,27,493648,493648,31983.332860
3,28,493648,493648,31983.332860
3,29,493648,493648,31983.332860
4,0,493648,493648,31949.999527
4,1,1234120,1234120,31949.998817
4,2,2715064,2715064,31949.997398
4,3,493648,493648,31949.999527
4,4,3208712,3208712,31949.996924
4,5,493648,493648,31949.999527
4,6,740472,740472,31949.999290
4,7,493648,493648,31949.999527
4,8,740472,740472,31949.999290
4,9,5430128,5430128,31949.994795
4,10,2221416,2221416,31949.997871
4,11,493648,493648,31949.999527
4,12,493648,493648,31949.999527
4,13,493648,493648,31949.999527
4,14,987296,987296,31949.999054
4,15,493648,493648,31949.999527
4,16,493648,493648,31949.999527
4,17,493648,493648,31949.999527
4,18,493648,493648,31949.999527
4,19,493648,493648,31949.999527
4,20,493648,493648,31949.999527
4,21,493648,493648,31949.999527
4,22,493648,493648,31949.999527
4,23,493648,493648,31949.999527
4,24,493648,493648,31949.999527
4,25,493648,493648,31949.999527
4,26,493648,493648,31949.999527
4,27,493648,493648,31949.999527
4,28,493648,493648,31949.999527
4,29,493648,493648,31949.999527
5,0,493648,493648,31983.332860
5,1,987296,987296,31983.332386
5,2,2715064,2715064,31983.330728
5,3,987296,987296,31983.332386
5,4,1974592,1974592,31983.331439
5,5,493648,493648,31983.332860
5,6,493648,493648,31983.332860
5,7,493648,493648,31983.332860
