round,node,idle_ticks,busy_ticks
0,0,874,55
0,1,896,33
0,2,884,45
0,3,868,61
0,4,843,86
0,5,841,88
0,6,827,102
0,7,842,87
0,8,826,103
0,9,891,38
0,10,875,54
0,11,889,40
0,12,810,119
0,13,868,61
0,14,843,86
0,15,225,704
0,16,314,615
0,17,17,912
0,18,495,434
0,19,408,521
0,20,382,547
0,21,463,466
0,22,77,852
0,23,41,888
0,24,566,363
0,25,478,451
0,26,563,366
0,27,452,477
0,28,293,636
0,29,187,742
1,0,849,81
1,1,866,64
1,2,884,46
1,3,867,63
1,4,843,87
1,5,840,90
1,6,827,103
1,7,841,89
1,8,829,101
1,9,861,69
1,10,875,55
1,11,889,41
1,12,841,89
1,13,899,31
1,14,843,87
1,15,225,705
1,16,314,616
1,17,17,913
1,18,495,435
1,19,408,522
1,20,382,548
1,21,463,467
1,22,77,853
1,23,42,888
1,24,566,364
1,25,478,452
1,26,563,367
1,27,452,478
1,28,293,637
1,29,187,743
2,0,845,85
2,1,898,32
2,2,884,46
2,3,867,63
2,4,843,87
2,5,840,90
2,6,827,103
2,7,842,88
2,8,801,129
2,9,861,69
2,10,876,54
2,11,890,40
2,12,811,119
2,13,900,30
2,14,819,111
2,15,226,704
2,16,315,615
2,17,18,912
2,18,497,433
2,19,410,520
2,20,382,548
2,21,463,467
2,22,78,852
2,23,42,888
2,24,568,362
2,25,478,452
2,26,565,365
2,27,452,478
2,28,294,636
2,29,188,742
3,0,841,87
3,1,866,62
3,2,883,45
3,3,866,62
3,4,842,86
3,5,838,90
3,6,825,103
3,7,840,88
3,8,799,129
3,9,888,40
3,10,874,54
3,11,857,71
3,12,840,88
3,13,884,44
3,14,842,86
3,15,224,704
3,16,314,614
3,17,16,912
3,18,494,434
3,19,407,521
3,20,382,546
3,21,463,465
3,22,76,852
3,23,40,888
3,24,565,363
3,25,477,451
3,26,562,366
3,27,452,476
3,28,292,636
3,29,186,742
4,0,853,75
4,1,869,59
4,2,883,45
4,3,866,62
4,4,841,87
4,5,839,89
4,6,827,101
4,7,815,113
4,8,800,128
4,9,861,67
4,10,875,53
4,11,857,71
4,12,809,119
4,13,899,29
4,14,817,111
4,15,223,705
4,16,313,615
4,17,15,913
4,18,495,433
4,19,408,520
4,20,382,546
4,21,462,466
4,22,76,852
4,23,39,889
4,24,565,363
4,25,477,451
4,26,563,365
4,27,451,477
4,28,291,637
4,29,185,743
5,0,848,82
5,1,896,34
5,2,884,46
5,3,867,63
5,4,843,87
5,5,840,90
5,6,827,103
5,7,841,89
5,8,829,101
5,9,861,69
5,10,875,55
5,11,889,41
5,12,825,105
5,13,869,61
5,14,843,87
5,15,225,705
5,16,314,616
5,17,17,913
5,18,495,435
5,19,409,521
5,20,382,548
5,21,463,467
5,22,77,853
5,23,42,888
5,24,566,364
5,25,478,452
5,26,563,367
5,27,452,478
5,28,293,637
5,29,187,743
6,0,854,75
6,1,865,64
6,2,885,44
6,3,867,62
6,4,843,86
6,5,840,89
6,6,827,102
6,7,842,87
6,8,800,129
6,9,874,55
6,10,875,54
6,11,858,71
6,12,813,116
6,13,873,56
6,14,843,86
6,15,225,704
6,16,314,615
6,17,17,912
6,18,496,433
6,19,407,522
6,20,382,547
6,21,463,466
6,22,77,852
6,23,42,887
6,24,566,363
6,25,479,450
6,26,564,365
6,27,453,476
6,28,293,636
6,29,187,742
7,0,841,87
7,1,867,61
7,2,882,46
7,3,865,63
7,4,841,87
7,5,838,90
7,6,826,102
7,7,814,114
7,8,802,126
7,9,861,67
7,10,874,54
7,11,886,42
7,12,809,119
7,13,898,30
7,14,841,87
7,15,223,705
7,16,312,616
7,17,15,913
7,18,494,434
7,19,407,521
7,20,382,546
7,21,461,467
7,22,76,852
7,23,40,888
7,24,565,363
7,25,477,451
7,26,562,366
7,27,451,477
7,28,291,637
7,29,186,742
8,0,871,57
8,1,866,62
8,2,883,45
8,3,867,61
8,4,842,86
8,5,839,89
8,6,826,102
8,7,815,113
8,8,814,114
8,9,889,39
8,10,874,54
8,11,857,71
8,12,809,119
8,13,879,49
8,14,816,112
8,15,224,704
8,16,313,615
8,17,16,912
8,18,494,434
8,19,408,520
8,20,382,546
8,21,462,466
8,22,77,851
8,23,39,889
8,24,566,362
8,25,477,451
8,26,562,366
8,27,451,477
8,28,292,636
8,29,186,742
9,0,849,81
9,1,895,35
9,2,885,45
9,3,868,62
9,4,844,86
9,5,812,118
9,6,826,104
9,7,842,88
9,8,817,113
9,9,861,69
9,10,874,56
9,11,887,43
9,12,816,114
9,13,869,61
9,14,844,86
9,15,225,705
9,16,314,616
9,17,17,913
9,18,495,435
9,19,409,521
9,20,382,548
9,21,464,466
9,22,77,853
9,23,42,888
9,24,566,364
