round,scope,value
0,global,0.512623595
0,inter_cluster,0.516737168
0,consensus,0.349524853
1,global,0.772878218
1,inter_cluster,0.776271781
1,consensus,0.533218064
2,global,0.827541356
2,inter_cluster,0.837873633
2,consensus,0.575211226
3,global,0.910976936
3,inter_cluster,0.918078834
3,consensus,0.629709869
4,global,0.988908391
4,inter_cluster,0.994419484
4,consensus,0.681594194
5,global,1.126350793
5,inter_cluster,1.132610231
5,consensus,0.776455244
6,global,1.143868147
6,inter_cluster,1.148596181
6,consensus,0.789719802
7,global,1.192056453
7,inter_cluster,1.198166973
7,consensus,0.823365739
8,global,1.112867181
8,inter_cluster,1.117538440
8,consensus,0.769277993
9,global,1.057609080
9,inter_cluster,1.065932257
9,consensus,0.730802749
10,global,1.087969624
10,inter_cluster,1.091369714
10,consensus,0.749029157
11,global,1.053517362
11,inter_cluster,1.059072796
11,consensus,0.729644013
12,global,0.901865859
12,inter_cluster,0.903664399
12,consensus,0.624430410
13,global,0.917761188
13,inter_cluster,0.917034823
13,consensus,0.631314185
14,global,0.872536498
14,inter_cluster,0.873524804
14,consensus,0.602722993
15,global,0.876231611
15,inter_cluster,0.877496794
15,consensus,0.604663710
16,global,0.795321995
16,inter_cluster,0.795997055
16,consensus,0.548277199
17,global,0.820721342
17,inter_cluster,0.820971642
17,consensus,0.563360332
18,global,0.787891268
18,inter_cluster,0.790548193
18,consensus,0.544443978
19,global,0.842325582
19,inter_cluster,0.846045713
19,consensus,0.577536138
20,global,0.788763737
20,inter_cluster,0.793319924
20,consensus,0.543752262
21,global,0.705190257
21,inter_cluster,0.706512300
21,consensus,0.486483864
22,global,0.755113401
22,inter_cluster,0.758145608
22,consensus,0.516082401
23,global,0.820791754
23,inter_cluster,0.822808833
23,consensus,0.559437278
24,global,0.804113478
24,inter_cluster,0.807570543
24,consensus,0.553667213
25,global,0.693429589
25,inter_cluster,0.697713918
25,consensus,0.478335583
26,global,0.703899392
26,inter_cluster,0.703125817
26,consensus,0.483080975
27,global,0.799063062
27,inter_cluster,0.802511151
27,consensus,0.541231855
28,global,0.789702133
28,inter_cluster,0.789908791
28,consensus,0.539439307
29,global,0.727061365
29,inter_cluster,0.732421364
29,consensus,0.498473288
30,global,0.817482475
30,inter_cluster,0.820789140
30,consensus,0.550088823
31,global,0.753099221
31,inter_cluster,0.751667902
31,consensus,0.512597488
32,global,0.698946511
32,inter_cluster,0.700535072
32,consensus,0.478963386
33,global,0.697860332
33,inter_cluster,0.697326376
33,consensus,0.479094157
34,global,0.667065996
34,inter_cluster,0.670637948
34,consensus,0.458145467
35,global,0.702212084
35,inter_cluster,0.705263195
35,consensus,0.483591713
36,global,0.670439199
36,inter_cluster,0.673248321
36,consensus,0.462097019
37,global,0.739303682
37,inter_cluster,0.740362356
37,consensus,0.504841254
38,global,0.727340281
38,inter_cluster,0.730135295
38,consensus,0.493295228
39,global,0.850951929
39,inter_cluster,0.855536091
39,consensus,0.575305716
40,global,0.795672158
40,inter_cluster,0.811337664
40,consensus,0.551265941
41,global,0.734089519
41,inter_cluster,0.746577607
41,consensus,0.511035307
42,global,0.690892213
42,inter_cluster,0.690277368
42,consensus,0.474222671
43,global,0.692938733
43,inter_cluster,0.695173391
43,consensus,0.476228634
44,global,0.627208677
44,inter_cluster,0.631282518
44,consensus,0.429868775
45,global,0.621451429
45,inter_cluster,0.627567972
45,consensus,0.425849814
46,global,0.631215216
46,inter_cluster,0.637935925
46,consensus,0.432468678
47,global,0.736914107
47,inter_cluster,0.746989697
47,consensus,0.499973607
48,global,0.648402030
48,inter_cluster,0.651705742
48,consensus,0.446011614
49,global,0.627568304
49,inter_cluster,0.631467462
49,consensus,0.431062139
50,global,0.645920753
50,inter_cluster,0.649351363
