round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,899,19,35,0
1,902,22,37,0
2,902,19,36,0
3,900,19,35,0
4,901,19,35,0
5,902,20,36,0
6,901,20,35,0
7,901,20,36,0
8,902,21,37,0
9,901,20,35,0
10,900,20,35,0
11,902,21,37,0
12,902,20,36,0
13,901,20,37,0
14,899,20,35,0
15,902,21,37,0
16,900,20,35,0
17,901,19,37,0
18,901,19,35,0
19,901,21,36,0
20,901,20,35,0
21,902,21,36,0
22,902,20,37,0
23,902,19,36,0
24,902,20,37,0
25,901,20,35,0
26,901,21,35,0
27,902,19,37,0
28,901,20,36,0
29,901,20,35,0
30,902,19,36,0
31,901,19,35,0
32,900,20,35,0
33,901,21,37,0
34,901,19,35,0
35,900,20,35,0
36,901,20,36,0
37,901,19,36,0
38,901,20,37,0
39,902,21,37,0
40,902,20,37,0
41,901,20,36,0
42,901,21,35,0
43,901,19,36,0
44,901,20,35,0
45,901,21,37,0
46,901,20,36,0
47,902,13,36,0
48,902,20,38,0
49,902,21,37,0
50,902,19,35,0
51,899,19,35,0
52,900,19,36,0
53,901,19,36,0
54,899,20,35,0
55,901,19,35,0
56,900,19,36,0
57,901,21,36,0
58,900,19,35,0
59,900,19,35,0
60,899,19,35,0
61,901,19,35,0
62,901,20,36,0
63,901,21,36,0
64,901,19,35,0
65,901,20,35,0
66,900,19,35,0
67,901,20,35,0
68,901,21,36,0
69,901,21,36,0
70,900,20,35,0
71,901,19,35,0
72,901,20,35,0
73,901,20,35,0
74,901,20,35,0
75,900,20,35,0
76,901,20,35,0
77,901,20,35,0
78,899,20,35,0
79,901,20,35,0
80,900,20,35,0
81,901,20,36,0
82,900,19,35,0
83,900,20,35,0
84,900,19,35,0
85,901,20,35,0
86,900,20,35,0
87,899,20,35,0
88,900,20,35,0
89,900,20,35,0
90,901,21,36,0
91,900,19,35,0
92,900,19,35,0
93,901,19,36,0
94,901,20,35,0
95,901,20,35,0
96,900,20,35,0
97,900,21,36,0
98,900,21,35,0
99,900,19,35,0
