round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,4;9,493648,493648,79,69,899,820
0,1,4;9,493648,493648,112,104,899,787
0,2,4;9,493648,493648,34,24,899,865
0,3,4;9,493648,493648,73,63,899,826
0,4,9;14,3455536,3455536,56,45,899,843
0,5,4;9,493648,493648,45,35,899,854
0,6,4;9,493648,493648,47,38,899,852
0,7,4;9,493648,493648,35,26,899,864
0,8,4;9,493648,493648,75,65,899,824
0,9,4;14,7157896,7157896,92,57,899,807
0,10,4;9,493648,493648,73,62,899,826
0,11,4;9,493648,493648,63,54,899,836
0,12,4;9,493648,493648,109,98,899,790
0,13,4;9,493648,493648,62,52,899,837
0,14,4;9,4196008,4196008,91,56,899,808
0,15,9;14,493648,493648,425,404,899,474
0,16,9;14,493648,493648,704,685,899,195
0,17,9;14,493648,493648,692,669,899,207
0,18,9;14,493648,493648,665,638,899,234
0,19,9;14,493648,493648,602,580,899,297
0,20,9;14,493648,493648,513,486,899,386
0,21,9;14,493648,493648,619,591,899,280
0,22,9;14,493648,493648,612,577,899,287
0,23,9;14,493648,493648,899,864,899,0
0,24,9;14,493648,493648,414,394,899,485
0,25,9;14,493648,493648,420,397,899,479
0,26,9;14,493648,493648,634,603,899,265
0,27,9;14,493648,493648,603,570,899,296
0,28,9;14,493648,493648,588,559,899,311
0,29,9;14,493648,493648,579,554,899,320
1,0,13;14,493648,493648,81,69,902,821
1,1,13;14,493648,493648,114,104,902,788
1,2,13;14,493648,493648,36,24,902,866
1,3,13;14,493648,493648,75,63,902,827
1,4,8;13,493648,493648,55,45,902,847
1,5,13;14,493648,493648,47,35,902,855
1,6,13;14,493648,493648,49,38,902,853
1,7,13;14,493648,493648,37,26,902,865
1,8,13;14,4689656,4689656,102,65,902,800
1,9,8;13,493648,493648,66,57,902,836
1,10,13;14,493648,493648,75,62,902,827
1,11,13;14,493648,493648,65,54,902,837
1,12,13;14,493648,493648,111,98,902,791
1,13,8;14,7157896,7157896,90,52,902,812
1,14,8;13,2961888,2961888,67,56,902,835
1,15,8;13,493648,493648,428,404,902,474
1,16,8;13,493648,493648,707,685,902,195
1,17,8;13,493648,493648,695,669,902,207
1,18,8;13,493648,493648,668,638,902,234
1,19,8;13,493648,493648,605,580,902,297
1,20,8;13,493648,493648,516,486,902,386
1,21,8;13,493648,493648,622,591,902,280
1,22,8;13,493648,493648,615,577,902,287
1,23,8;13,493648,493648,902,864,902,0
1,24,8;13,493648,493648,417,394,902,485
1,25,8;13,493648,493648,423,397,902,479
1,26,8;13,493648,493648,637,603,902,265
1,27,8;13,493648,493648,606,570,902,296
1,28,8;13,493648,493648,591,559,902,311
1,29,8;13,493648,493648,582,554,902,320
2,0,11;14,493648,493648,79,69,902,823
2,1,9;11,493648,493648,112,104,902,790
2,2,11;14,493648,493648,35,24,902,867
2,3,11;14,493648,493648,73,63,902,829
2,4,11;13,740472,740472,55,45,902,847
2,5,11;14,493648,493648,45,35,902,857
2,6,9;11,493648,493648,47,38,902,855
2,7,4;9,1480944,1480944,59,26,902,843
2,8,11;14,493648,493648,75,65,902,827
2,9,13;14,1974592,1974592,84,57,902,818
2,10,11;14,493648,493648,73,62,902,829
2,11,7;13,5430128,5430128,90,54,902,812
2,12,11;14,493648,493648,109,98,902,793
2,13,4;9,2961888,2961888,90,52,902,812
2,14,9;11,3702360,3702360,91,56,902,811
2,15,7;11,493648,493648,427,404,902,475
2,16,9;14,493648,493648,704,685,902,198
2,17,11;13,493648,493648,695,669,902,207
2,18,11;13,493648,493648,668,638,902,234
2,19,11;13,493648,493648,605,580,902,297
2,20,9;14,493648,493648,513,486,902,389
2,21,11;13,493648,493648,622,591,902,280
2,22,13;14,493648,493648,615,577,902,287
2,23,11;13,493648,493648,902,864,902,0
2,24,13;14,493648,493648,417,394,902,485
2,25,9;14,493648,493648,420,397,902,482
2,26,7;11,493648,493648,636,603,902,266
2,27,13;14,493648,493648,606,570,902,296
2,28,11;13,493648,493648,591,559,902,311
2,29,7;11,493648,493648,581,554,902,321
3,0,11;14,493648,493648,79,69,900,821
3,1,4;6,493648,493648,112,104,900,788
3,2,4;14,493648,493648,35,24,900,865
3,3,4;14,493648,493648,73,63,900,827
3,4,9;14,3949184,3949184,81,45,900,819
3,5,6;14,493648,493648,45,35,900,855
3,6,4;9,987296,987296,48,38,900,852
3,7,4;9,493648,493648,35,26,900,865
3,8,11;14,1234120,1234120,92,65,900,808
3,9,4;14,3455536,3455536,92,57,900,808
3,10,11;14,493648,493648,73,62,900,827
3,11,4;9,1727768,1727768,83,54,900,817
3,12,4;14,493648,493648,109,98,900,791
3,13,4;8,493648,493648,64,52,900,836
3,14,4;9,4936480,4936480,91,56,900,809
3,15,9;14,493648,493648,425,404,900,475
3,16,9;14,493648,493648,704,685,900,196
3,17,9;14,493648,493648,692,669,900,208
3,18,9;14,493648,493648,665,638,900,235
3,19,4;11,493648,493648,603,580,900,297
3,20,4;9,493648,493648,514,486,900,386
3,21,4;11,493648,493648,620,591,900,280
3,22,4;14,493648,493648,613,577,900,287
3,23,9;14,493648,493648,899,864,900,1
3,24,9;14,493648,493648,414,394,900,486
3,25,4;8,493648,493648,422,397,900,478
3,26,9;14,493648,493648,634,603,900,266
3,27,4;14,493648,493648,604,570,900,296
3,28,9;14,493648,493648,588,559,900,312
3,29,8;14,493648,493648,581,554,900,319
4,0,1;14,493648,493648,79,69,901,822
4,1,9;11,4689656,4689656,139,104,901,762
4,2,9;14,493648,493648,35,24,901,866
4,3,1;9,493648,493648,72,63,901,829
4,4,1;8,740472,740472,55,45,901,846
4,5,9;14,493648,493648,45,35,901,856
4,6,1;9,493648,493648,46,38,901,855
