round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,1;29,493648,493648,61,30,921,860
0,1,0;2,493648,493648,48,36,921,873
0,2,1;3,493648,493648,79,69,921,842
0,3,2;4,493648,493648,43,33,921,878
0,4,3;5,493648,493648,70,61,921,851
0,5,4;6,493648,493648,82,70,921,839
0,6,5;7,493648,493648,65,53,921,856
0,7,6;8,493648,493648,70,58,921,851
0,8,7;9,493648,493648,110,98,921,811
0,9,8;10,493648,493648,45,33,921,876
0,10,9;11,493648,493648,65,54,921,856
0,11,10;12,493648,493648,67,55,921,854
0,12,11;13,493648,493648,58,46,921,863
0,13,12;14,493648,493648,56,47,921,865
0,14,13;15,493648,493648,92,53,921,829
0,15,14;16,493648,493648,423,380,921,498
0,16,15;17,493648,493648,618,575,921,303
0,17,16;18,493648,493648,754,730,921,167
0,18,17;19,493648,493648,504,476,921,417
0,19,18;20,493648,493648,287,244,921,634
0,20,19;21,493648,493648,590,547,921,331
0,21,20;22,493648,493648,509,467,921,412
0,22,21;23,493648,493648,774,732,921,147
0,23,22;24,493648,493648,907,878,921,14
0,24,23;25,493648,493648,790,760,921,131
0,25,24;26,493648,493648,730,695,921,191
0,26,25;27,493648,493648,519,481,921,402
0,27,26;28,493648,493648,587,545,921,334
0,28,27;29,493648,493648,800,758,921,121
0,29,0;28,493648,493648,753,716,921,168
1,0,1;29,493648,493648,61,30,921,860
1,1,0;2,493648,493648,48,36,921,873
1,2,1;3,493648,493648,79,69,921,842
1,3,2;4,493648,493648,43,33,921,878
1,4,3;5,493648,493648,70,61,921,851
1,5,4;6,493648,493648,82,70,921,839
1,6,5;7,493648,493648,65,53,921,856
1,7,6;8,493648,493648,70,58,921,851
1,8,7;9,493648,493648,110,98,921,811
1,9,8;10,493648,493648,45,33,921,876
1,10,9;11,493648,493648,65,54,921,856
1,11,10;12,493648,493648,67,55,921,854
1,12,11;13,493648,493648,58,46,921,863
1,13,12;14,493648,493648,56,47,921,865
1,14,13;15,493648,493648,92,53,921,829
1,15,14;16,493648,493648,423,380,921,498
1,16,15;17,493648,493648,618,575,921,303
1,17,16;18,493648,493648,754,730,921,167
1,18,17;19,493648,493648,504,476,921,417
1,19,18;20,493648,493648,287,244,921,634
1,20,19;21,493648,493648,590,547,921,331
1,21,20;22,493648,493648,509,467,921,412
1,22,21;23,493648,493648,774,732,921,147
1,23,22;24,493648,493648,907,878,921,14
1,24,23;25,493648,493648,790,760,921,131
1,25,24;26,493648,493648,730,695,921,191
1,26,25;27,493648,493648,519,481,921,402
1,27,26;28,493648,493648,587,545,921,334
1,28,27;29,493648,493648,800,758,921,121
1,29,0;28,493648,493648,753,716,921,168
2,0,1;29,493648,493648,61,30,921,860
2,1,0;2,493648,493648,48,36,921,873
2,2,1;3,493648,493648,79,69,921,842
2,3,2;4,493648,493648,43,33,921,878
2,4,3;5,493648,493648,70,61,921,851
2,5,4;6,493648,493648,82,70,921,839
2,6,5;7,493648,493648,65,53,921,856
2,7,6;8,493648,493648,70,58,921,851
2,8,7;9,493648,493648,110,98,921,811
2,9,8;10,493648,493648,45,33,921,876
2,10,9;11,493648,493648,65,54,921,856
2,11,10;12,493648,493648,67,55,921,854
2,12,11;13,493648,493648,58,46,921,863
2,13,12;14,493648,493648,56,47,921,865
2,14,13;15,493648,493648,92,53,921,829
2,15,14;16,493648,493648,423,380,921,498
2,16,15;17,493648,493648,618,575,921,303
2,17,16;18,493648,493648,754,730,921,167
2,18,17;19,493648,493648,504,476,921,417
2,19,18;20,493648,493648,287,244,921,634
2,20,19;21,493648,493648,590,547,921,331
2,21,20;22,493648,493648,509,467,921,412
2,22,21;23,493648,493648,774,732,921,147
2,23,22;24,493648,493648,907,878,921,14
2,24,23;25,493648,493648,790,760,921,131
2,25,24;26,493648,493648,730,695,921,191
2,26,25;27,493648,493648,519,481,921,402
2,27,26;28,493648,493648,587,545,921,334
2,28,27;29,493648,493648,800,758,921,121
2,29,0;28,493648,493648,753,716,921,168
3,0,1;29,493648,493648,61,30,921,860
3,1,0;2,493648,493648,48,36,921,873
3,2,1;3,493648,493648,79,69,921,842
3,3,2;4,493648,493648,43,33,921,878
3,4,3;5,493648,493648,70,61,921,851
3,5,4;6,493648,493648,82,70,921,839
3,6,5;7,493648,493648,65,53,921,856
3,7,6;8,493648,493648,70,58,921,851
3,8,7;9,493648,493648,110,98,921,811
3,9,8;10,493648,493648,45,33,921,876
3,10,9;11,493648,493648,65,54,921,856
3,11,10;12,493648,493648,67,55,921,854
3,12,11;13,493648,493648,58,46,921,863
3,13,12;14,493648,493648,56,47,921,865
3,14,13;15,493648,493648,92,53,921,829
3,15,14;16,493648,493648,423,380,921,498
3,16,15;17,493648,493648,618,575,921,303
3,17,16;18,493648,493648,754,730,921,167
3,18,17;19,493648,493648,504,476,921,417
3,19,18;20,493648,493648,287,244,921,634
3,20,19;21,493648,493648,590,547,921,331
3,21,20;22,493648,493648,509,467,921,412
3,22,21;23,493648,493648,774,732,921,147
3,23,22;24,493648,493648,907,878,921,14
3,24,23;25,493648,493648,790,760,921,131
3,25,24;26,493648,493648,730,695,921,191
3,26,25;27,493648,493648,519,481,921,402
3,27,26;28,493648,493648,587,545,921,334
3,28,27;29,493648,493648,800,758,921,121
3,29,0;28,493648,493648,753,716,921,168
4,0,1;29,493648,493648,61,30,921,860
4,1,0;2,493648,493648,48,36,921,873
4,2,1;3,493648,493648,79,69,921,842
4,3,2;4,493648,493648,43,33,921,878
4,4,3;5,493648,493648,70,61,921,851
4,5,4;6,493648,493648,82,70,921,839
4,6,5;7,493648,493648,65,53,921,856
4,7,6;8,493648,493648,70,58,921,851
4,8,7;9,493648,493648,110,98,921,811
4,9,8;10,493648,493648,45,33,921,876
4,10,9;11,493648,493648,65,54,921,856
4,11,10;12,493648,493648,67,55,921,854
4,12,11;13,493648,493648,58,46,921,863
4,13,12;14,493648,493648,56,47,921,865
