round,scope,value
0,global,0.481046370
0,inter_cluster,0.486972193
0,consensus,0.327316737
1,global,0.722052729
1,inter_cluster,0.739897119
1,consensus,0.497357821
2,global,0.875077053
2,inter_cluster,0.900493164
2,consensus,0.608239081
3,global,1.032339055
3,inter_cluster,1.067990038
3,consensus,0.716123923
4,global,1.234641440
4,inter_cluster,1.281549437
4,consensus,0.856310644
5,global,1.426564585
5,inter_cluster,1.495264756
5,consensus,0.992228397
6,global,1.584713535
6,inter_cluster,1.670172520
6,consensus,1.105607263
7,global,1.712822655
7,inter_cluster,1.819582440
7,consensus,1.197380915
8,global,1.783575389
8,inter_cluster,1.902028725
8,consensus,1.249666294
9,global,1.834558913
9,inter_cluster,1.967532485
9,consensus,1.286673831
10,global,1.895965955
10,inter_cluster,2.038593923
10,consensus,1.332672254
11,global,1.959514588
11,inter_cluster,2.112536645
11,consensus,1.377786723
12,global,2.029944574
12,inter_cluster,2.201244960
12,consensus,1.429618501
13,global,2.008037721
13,inter_cluster,2.189752043
13,consensus,1.419368387
14,global,2.087982443
14,inter_cluster,2.276904574
14,consensus,1.473652761
15,global,2.059570530
15,inter_cluster,2.247616788
15,consensus,1.457076806
16,global,2.093325282
16,inter_cluster,2.287229474
16,consensus,1.481138789
17,global,2.096006358
17,inter_cluster,2.295508080
17,consensus,1.485509315
18,global,2.115770127
18,inter_cluster,2.319345421
18,consensus,1.500280780
19,global,2.117060524
19,inter_cluster,2.321776938
19,consensus,1.502730094
20,global,2.149992558
20,inter_cluster,2.362442978
20,consensus,1.525577760
21,global,2.164167714
21,inter_cluster,2.374041983
21,consensus,1.536821302
22,global,2.243107616
22,inter_cluster,2.452266182
22,consensus,1.587729898
23,global,2.173916678
23,inter_cluster,2.393448197
23,consensus,1.548105338
24,global,2.176451185
24,inter_cluster,2.396535968
24,consensus,1.550182936
25,global,2.182436714
25,inter_cluster,2.399985520
25,consensus,1.554179668
26,global,2.175745011
26,inter_cluster,2.397900090
26,consensus,1.550311201
27,global,2.178024537
27,inter_cluster,2.401918669
27,consensus,1.553702298
28,global,2.211549871
28,inter_cluster,2.439858830
28,consensus,1.573365848
29,global,2.173664088
29,inter_cluster,2.406544322
29,consensus,1.551566795
30,global,2.194629004
30,inter_cluster,2.430073000
30,consensus,1.566698652
31,global,2.186124595
31,inter_cluster,2.417603265
31,consensus,1.563459910
32,global,2.173384807
32,inter_cluster,2.414381484
32,consensus,1.555253919
33,global,2.172658051
33,inter_cluster,2.408834875
33,consensus,1.556027861
34,global,2.165486783
34,inter_cluster,2.409125881
34,consensus,1.552609451
35,global,2.203407936
35,inter_cluster,2.447334299
35,consensus,1.574860742
36,global,2.173205313
36,inter_cluster,2.421157989
36,consensus,1.557887818
37,global,2.155604928
37,inter_cluster,2.401744572
37,consensus,1.548311435
38,global,2.185246888
38,inter_cluster,2.436883500
38,consensus,1.562794615
39,global,2.168971387
39,inter_cluster,2.420025701
39,consensus,1.556102974
40,global,2.182522090
40,inter_cluster,2.439640992
40,consensus,1.561923050
41,global,2.160082091
41,inter_cluster,2.407227723
41,consensus,1.549014463
42,global,2.207174542
42,inter_cluster,2.446522321
42,consensus,1.580731403
43,global,2.158799421
43,inter_cluster,2.411545612
43,consensus,1.552693053
44,global,2.246502075
44,inter_cluster,2.493552300
