round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,938,25,47,0
1,938,25,47,0
2,938,25,47,0
3,938,25,47,0
4,938,25,47,0
5,938,25,47,0
6,938,25,47,0
7,938,25,47,0
8,938,25,47,0
9,938,25,47,0
10,938,25,47,0
11,938,25,47,0
12,938,25,47,0
13,938,25,47,0
14,938,25,47,0
15,938,25,47,0
16,938,25,47,0
17,938,25,47,0
18,938,25,47,0
19,938,25,47,0
20,938,25,47,0
21,938,25,47,0
22,938,25,47,0
23,938,25,47,0
24,938,25,47,0
25,938,25,47,0
26,938,25,47,0
27,938,25,47,0
28,938,25,47,0
29,938,25,47,0
30,938,25,47,0
31,938,25,47,0
32,938,25,47,0
33,938,25,47,0
34,938,25,47,0
35,938,25,47,0
36,938,25,47,0
37,938,25,47,0
38,938,25,47,0
39,938,25,47,0
40,938,25,47,0
41,938,25,47,0
42,938,25,47,0
43,938,25,47,0
44,938,25,47,0
45,938,25,47,0
46,938,25,47,0
47,938,25,47,0
48,938,25,47,0
49,938,25,47,0
50,938,25,47,0
51,938,25,47,0
52,938,25,47,0
53,938,25,47,0
54,938,25,47,0
55,938,25,47,0
56,938,25,47,0
57,938,25,47,0
58,938,25,47,0
59,938,25,47,0
60,938,25,47,0
61,938,25,47,0
62,938,25,47,0
63,938,25,47,0
64,938,25,47,0
65,938,25,47,0
66,938,25,47,0
67,938,25,47,0
68,938,25,47,0
69,938,25,47,0
70,938,25,47,0
71,938,25,47,0
72,938,25,47,0
73,938,25,47,0
74,938,25,47,0
75,938,25,47,0
76,938,25,47,0
77,938,25,47,0
78,938,25,47,0
79,938,25,47,0
80,938,25,47,0
81,938,25,47,0
82,938,25,47,0
83,938,25,47,0
84,938,25,47,0
85,938,25,47,0
86,938,25,47,0
87,938,25,47,0
88,938,25,47,0
89,938,25,47,0
90,938,25,47,0
91,938,25,47,0
92,938,25,47,0
93,938,25,47,0
94,938,25,47,0
95,938,25,47,0
96,938,25,47,0
97,938,25,47,0
98,938,25,47,0
99,938,25,47,0
