round,scope,value
0,global,0.510991007
0,inter_cluster,0.512459647
0,consensus,0.348649099
1,global,0.779577524
1,inter_cluster,0.781918938
1,consensus,0.537734926
2,global,0.862263562
2,inter_cluster,0.867207576
2,consensus,0.598293113
3,global,0.929753232
3,inter_cluster,0.934705418
3,consensus,0.644603769
4,global,1.043402466
4,inter_cluster,1.044582738
4,consensus,0.721250758
5,global,1.096272980
5,inter_cluster,1.101117603
5,consensus,0.758501083
6,global,1.178402018
6,inter_cluster,1.181477752
6,consensus,0.821241616
7,global,1.228783919
7,inter_cluster,1.233721012
7,consensus,0.853038360
8,global,1.229434582
8,inter_cluster,1.237869049
8,consensus,0.855553135
9,global,1.202413001
9,inter_cluster,1.213599882
9,consensus,0.836207623
10,global,1.197675298
10,inter_cluster,1.206169826
10,consensus,0.832075340
11,global,1.180780791
11,inter_cluster,1.193281956
11,consensus,0.814113872
12,global,1.148143861
12,inter_cluster,1.156582235
12,consensus,0.794488631
13,global,1.134691656
13,inter_cluster,1.147225757
13,consensus,0.786704162
14,global,1.117241655
14,inter_cluster,1.131196463
14,consensus,0.771652483
15,global,1.108766990
15,inter_cluster,1.116301076
15,consensus,0.766773054
16,global,0.999449197
16,inter_cluster,1.011484988
16,consensus,0.694312368
17,global,1.049427140
17,inter_cluster,1.058261401
17,consensus,0.720946761
18,global,1.064626485
18,inter_cluster,1.072950082
18,consensus,0.734874395
19,global,0.984434101
19,inter_cluster,0.996887091
19,consensus,0.683685915
20,global,0.940033863
20,inter_cluster,0.955577001
20,consensus,0.653709990
21,global,0.934815637
21,inter_cluster,0.946801058
21,consensus,0.649277484
22,global,0.932216149
22,inter_cluster,0.941486573
22,consensus,0.644865266
23,global,0.937254286
23,inter_cluster,0.944673232
23,consensus,0.648406461
24,global,0.923722644
24,inter_cluster,0.932162204
24,consensus,0.640365438
25,global,0.905274167
25,inter_cluster,0.915461710
25,consensus,0.627969425
26,global,0.857685675
26,inter_cluster,0.863651173
26,consensus,0.595726114
27,global,0.914764406
27,inter_cluster,0.924680116
27,consensus,0.632822812
28,global,0.876351453
28,inter_cluster,0.884573352
28,consensus,0.608331849
29,global,0.899811347
29,inter_cluster,0.908823620
29,consensus,0.620215414
30,global,0.891878204
30,inter_cluster,0.900652859
30,consensus,0.617474280
31,global,0.858173564
31,inter_cluster,0.869700319
31,consensus,0.596065912
32,global,0.963284045
32,inter_cluster,0.970215706
32,consensus,0.654609122
33,global,0.984233669
33,inter_cluster,0.993374609
33,consensus,0.670759020
34,global,0.964622376
34,inter_cluster,0.976021843
34,consensus,0.664409284
35,global,0.985106370
35,inter_cluster,1.004057557
35,consensus,0.686004421
36,global,0.984834084
36,inter_cluster,0.999012801
36,consensus,0.683417410
37,global,0.963709712
37,inter_cluster,0.984373278
37,consensus,0.671121530
38,global,0.982790745
38,inter_cluster,0.992977475
38,consensus,0.670012880
39,global,0.920330124
39,inter_cluster,0.931651956
39,consensus,0.634275122
40,global,0.893095308
40,inter_cluster,0.904041913
40,consensus,0.614874359
41,global,0.858219971
41,inter_cluster,0.866978882
41,consensus,0.594926417
42,global,0.817004766
42,inter_cluster,0.826249996
42,consensus,0.566200911
43,global,0.813558115
43,inter_cluster,0.818528481
43,consensus,0.565437984
44,global,0.799638914
44,inter_cluster,0.806231126
44,consensus,0.551385547
45,global,0.812717307
45,inter_cluster,0.819894277
45,consensus,0.558637568
46,global,0.751460857
46,inter_cluster,0.761390281
46,consensus,0.520381787
47,global,0.774286924
47,inter_cluster,0.781311409
47,consensus,0.533416631
48,global,0.974341415
48,inter_cluster,0.980880111
48,consensus,0.653401561
49,global,1.025844585
49,inter_cluster,1.034229525
49,consensus,0.682814289
50,global,0.984442363
50,inter_cluster,0.992699821
50,consensus,0.662251535
51,global,0.869847292
51,inter_cluster,0.883291278
51,consensus,0.597524839
52,global,0.853697121
52,inter_cluster,0.865978079
52,consensus,0.586067413
53,global,0.829014195
53,inter_cluster,0.837940187
53,consensus,0.571260544
54,global,0.810425975
54,inter_cluster,0.821924018
54,consensus,0.562749711
55,global,0.787570231
55,inter_cluster,0.796651346
55,consensus,0.549377148
56,global,0.955497196
56,inter_cluster,0.966201533
56,consensus,0.648515867
57,global,0.972874254
57,inter_cluster,0.978841200
57,consensus,0.670395370
58,global,0.913839168
58,inter_cluster,0.921786830
58,consensus,0.636876913
59,global,0.919673545
59,inter_cluster,0.927186624
59,consensus,0.643682531
60,global,0.861875436
60,inter_cluster,0.869041122
60,consensus,0.605555845
61,global,0.854480023
61,inter_cluster,0.860594302
61,consensus,0.602184862
62,global,0.854570025
62,inter_cluster,0.862201905
62,consensus,0.592655420
63,global,0.928225478
63,inter_cluster,0.938188057
63,consensus,0.642141697
64,global,0.831322927
64,inter_cluster,0.838877460
64,consensus,0.584861744
65,global,0.836219241
65,inter_cluster,0.846672547
65,consensus,0.585308839
66,global,0.865333407
66,inter_cluster,0.880284046
66,consensus,0.603087249
67,global,0.837213676
67,inter_cluster,0.851004790
67,consensus,0.586061624
68,global,0.821674042
68,inter_cluster,0.836563630
68,consensus,0.572660144
69,global,0.848367332
69,inter_cluster,0.857577568
69,consensus,0.591082137
70,global,0.808210940
70,inter_cluster,0.818377112
70,consensus,0.564848910
71,global,0.845639091
71,inter_cluster,0.857436831
71,consensus,0.587939335
72,global,0.842811248
