round,node,idle_ticks,busy_ticks
0,0,1210,48
0,1,1196,62
0,2,1164,94
0,3,1170,88
0,4,1184,74
0,5,1204,54
0,6,1189,69
0,7,1168,90
0,8,1208,50
0,9,1164,94
0,10,1203,55
0,11,1137,121
0,12,1161,97
0,13,1182,76
0,14,1172,86
0,15,616,642
0,16,54,1204
0,17,542,716
0,18,609,649
0,19,861,397
0,20,531,727
0,21,785,473
0,22,483,775
0,23,957,301
0,24,410,848
0,25,805,453
0,26,849,409
0,27,827,431
0,28,618,640
0,29,10,1248
1,0,1210,48
1,1,1196,62
1,2,1164,94
1,3,1170,88
1,4,1184,74
1,5,1201,57
1,6,1189,69
1,7,1168,90
1,8,1208,50
1,9,1164,94
1,10,1203,55
1,11,1137,121
1,12,1161,97
1,13,1182,76
1,14,1172,86
1,15,616,642
1,16,54,1204
1,17,542,716
1,18,609,649
1,19,861,397
1,20,531,727
1,21,785,473
1,22,483,775
1,23,957,301
1,24,410,848
1,25,805,453
1,26,849,409
1,27,827,431
1,28,618,640
1,29,10,1248
2,0,1210,48
2,1,1196,62
2,2,1164,94
2,3,1170,88
2,4,1184,74
2,5,1201,57
2,6,1189,69
2,7,1168,90
2,8,1208,50
2,9,1164,94
2,10,1203,55
2,11,1137,121
2,12,1161,97
2,13,1182,76
2,14,1172,86
2,15,616,642
2,16,54,1204
2,17,542,716
2,18,609,649
2,19,861,397
2,20,531,727
2,21,785,473
2,22,483,775
2,23,957,301
2,24,410,848
2,25,805,453
2,26,849,409
2,27,827,431
2,28,618,640
2,29,10,1248
3,0,1210,48
3,1,1196,62
3,2,1164,94
3,3,1170,88
3,4,1184,74
3,5,1204,54
3,6,1189,69
3,7,1168,90
3,8,1208,50
3,9,1164,94
3,10,1203,55
3,11,1137,121
3,12,1161,97
3,13,1182,76
3,14,1172,86
3,15,616,642
3,16,54,1204
3,17,542,716
3,18,609,649
3,19,861,397
3,20,531,727
3,21,785,473
3,22,483,775
3,23,957,301
3,24,410,848
3,25,805,453
3,26,849,409
3,27,827,431
3,28,618,640
3,29,10,1248
4,0,1210,48
4,1,1196,62
4,2,1164,94
4,3,1170,88
4,4,1184,74
4,5,1204,54
4,6,1189,69
4,7,1168,90
4,8,1208,50
4,9,1164,94
4,10,1203,55
4,11,1137,121
4,12,1161,97
4,13,1182,76
4,14,1172,86
4,15,616,642
4,16,54,1204
4,17,542,716
4,18,609,649
4,19,861,397
4,20,531,727
4,21,785,473
4,22,483,775
4,23,957,301
4,24,410,848
4,25,805,453
4,26,849,409
4,27,827,431
4,28,618,640
4,29,10,1248
5,0,1210,48
5,1,1196,62
5,2,1164,94
5,3,1170,88
5,4,1184,74
5,5,1201,57
5,6,1189,69
5,7,1168,90
5,8,1208,50
5,9,1164,94
5,10,1203,55
5,11,1137,121
5,12,1161,97
5,13,1182,76
5,14,1172,86
5,15,616,642
5,16,54,1204
5,17,542,716
5,18,609,649
5,19,861,397
5,20,531,727
5,21,785,473
5,22,483,775
5,23,957,301
5,24,410,848
5,25,805,453
5,26,849,409
5,27,827,431
5,28,618,640
5,29,10,1248
6,0,1210,48
6,1,1196,62
6,2,1164,94
6,3,1170,88
6,4,1184,74
6,5,1201,57
6,6,1189,69
6,7,1168,90
6,8,1208,50
6,9,1165,93
6,10,1203,55
6,11,1137,121
6,12,1161,97
6,13,1182,76
6,14,1172,86
6,15,616,642
6,16,54,1204
6,17,542,716
6,18,609,649
6,19,861,397
6,20,531,727
6,21,785,473
6,22,483,775
6,23,957,301
6,24,410,848
6,25,805,453
6,26,849,409
6,27,827,431
6,28,618,640
6,29,10,1248
7,0,1210,48
7,1,1196,62
7,2,1164,94
7,3,1170,88
7,4,1184,74
7,5,1204,54
7,6,1189,69
7,7,1168,90
7,8,1208,50
7,9,1164,94
7,10,1203,55
7,11,1137,121
7,12,1161,97
7,13,1182,76
7,14,1172,86
7,15,616,642
7,16,54,1204
7,17,542,716
7,18,609,649
7,19,861,397
7,20,531,727
7,21,785,473
7,22,483,775
7,23,957,301
7,24,410,848
7,25,805,453
7,26,849,409
7,27,827,431
7,28,618,640
7,29,10,1248
8,0,1210,48
8,1,1196,62
8,2,1164,94
8,3,1170,88
8,4,1184,74
8,5,1201,57
8,6,1189,69
8,7,1168,90
8,8,1208,50
8,9,1164,94
8,10,1203,55
8,11,1137,121
8,12,1161,97
8,13,1182,76
8,14,1172,86
8,15,616,642
8,16,54,1204
8,17,542,716
8,18,609,649
8,19,861,397
8,20,531,727
8,21,785,473
8,22,483,775
8,23,957,301
8,24,410,848
8,25,805,453
8,26,849,409
8,27,827,431
8,28,618,640
8,29,10,1248
9,0,1210,48
9,1,1196,62
9,2,1164,94
9,3,1170,88
9,4,1184,74
9,5,1201,57
9,6,1189,69
9,7,1168,90
9,8,1208,50
9,9,1164,94
9,10,1203,55
9,11,1137,121
9,12,1161,97
9,13,1182,76
9,14,1172,86
9,15,616,642
9,16,54,1204
9,17,542,716
9,18,609,649
9,19,861,397
9,20,531,727
9,21,785,473
9,22,483,775
9,23,957,301
9,24,410,848
9,25,805,453
9,26,849,409
9,27,827,431
9,28,618,640
9,29,10,1248
10,0,1210,48
10,1,1196,62
10,2,1164,94
10,3,1170,88
10,4,1184,74
10,5,1204,54
10,6,1189,69
10,7,1168,90
10,8,1208,50
10,9,1165,93
10,10,1203,55
10,11,1137,121
10,12,1161,97
10,13,1182,76
10,14,1172,86
10,15,616,642
10,16,54,1204
10,17,542,716
10,18,609,649
10,19,861,397
10,20,531,727
10,21,785,473
10,22,483,775
10,23,957,301
10,24,410,848
10,25,805,453
10,26,849,409
10,27,827,431
10,28,618,640
10,29,10,1248
11,0,1215,48
11,1,1201,62
11,2,1169,94
11,3,1175,88
11,4,1189,74
11,5,1206,57
11,6,1194,69
11,7,1173,90
11,8,1213,50
11,9,1169,94
11,10,1208,55
11,11,1142,121
11,12,1166,97
11,13,1187,76
11,14,1177,86
11,15,621,642
11,16,40,1223
11,17,547,716
11,18,614,649
11,19,861,402
11,20,536,727
11,21,790,473
11,22,488,775
11,23,962,301
11,24,415,848
11,25,810,453
11,26,854,409
11,27,832,431
11,28,623,640
11,29,15,1248
12,0,1210,48
12,1,1196,62
12,2,1164,94
12,3,1170,88
12,4,1184,74
