round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,4;10,740472,740472,68,30,919,851
0,1,6;7,493648,493648,48,36,919,871
0,2,4;6,740472,740472,91,69,919,828
0,3,4;10,1234120,1234120,65,33,919,854
0,4,9;10,3208712,3208712,100,61,919,819
0,5,4;6,740472,740472,108,70,919,811
0,6,7;9,2468240,2468240,82,53,919,837
0,7,4;6,1234120,1234120,96,58,919,823
0,8,6;10,493648,493648,110,98,919,809
0,9,4;6,1974592,1974592,74,33,919,845
0,10,3;4,2468240,2468240,84,54,919,835
0,11,4;6,493648,493648,66,55,919,853
0,12,4;6,740472,740472,69,46,919,850
0,13,7;9,1974592,1974592,73,47,919,846
0,14,9;13,740472,740472,75,53,919,844
0,15,4;9,493648,493648,421,380,919,498
0,16,9;10,493648,493648,596,575,919,323
0,17,10;12,493648,493648,753,730,919,166
0,18,10;13,493648,493648,498,476,919,421
0,19,4;13,493648,493648,268,244,919,651
0,20,7;9,493648,493648,585,547,919,334
0,21,0;5,493648,493648,505,467,919,414
0,22,6;13,493648,493648,755,732,919,164
0,23,2;14,493648,493648,900,878,919,19
0,24,9;10,493648,493648,783,760,919,136
0,25,10;13,493648,493648,723,695,919,196
0,26,3;13,493648,493648,509,481,919,410
0,27,3;4,493648,493648,574,545,919,345
0,28,3;4,493648,493648,790,758,919,129
0,29,6;10,493648,493648,746,716,919,173
1,0,1;7,2715064,2715064,68,30,920,852
1,1,2;8,2715064,2715064,66,36,920,854
1,2,1;9,3208712,3208712,99,69,920,821
1,3,8;9,493648,493648,44,33,920,876
1,4,0;2,740472,740472,70,61,920,850
1,5,2;9,740472,740472,82,70,920,838
1,6,1;2,493648,493648,64,53,920,856
1,7,2;9,987296,987296,100,58,920,820
1,8,2;9,2468240,2468240,136,98,920,784
1,9,2;8,1974592,1974592,70,33,920,850
1,10,0;8,493648,493648,65,54,920,855
1,11,4;13,740472,740472,79,55,920,841
1,12,1;9,493648,493648,58,46,920,862
1,13,5;14,1480944,1480944,86,47,920,834
1,14,1;2,987296,987296,73,53,920,847
1,15,7;13,493648,493648,422,380,920,498
1,16,0;8,493648,493648,597,575,920,323
1,17,0;14,493648,493648,753,730,920,167
1,18,2;8,493648,493648,499,476,920,421
1,19,1;8,493648,493648,271,244,920,649
1,20,9;13,493648,493648,584,547,920,336
1,21,0;8,493648,493648,505,467,920,415
1,22,11;13,493648,493648,756,732,920,164
1,23,0;8,493648,493648,903,878,920,17
1,24,1;2,493648,493648,783,760,920,137
1,25,0;9,493648,493648,724,695,920,196
1,26,0;1,493648,493648,510,481,920,410
1,27,1;2,493648,493648,574,545,920,346
1,28,0;2,493648,493648,791,758,920,129
1,29,1;2,493648,493648,746,716,920,174
2,0,6;7,987296,987296,68,30,919,851
2,1,2;3,1480944,1480944,66,36,919,853
2,2,1;14,2221416,2221416,99,69,919,820
2,3,1;8,1480944,1480944,74,33,919,845
2,4,3;10,1480944,1480944,88,61,919,831
2,5,2;13,740472,740472,108,70,919,811
2,6,2;11,1480944,1480944,76,53,919,843
2,7,4;6,987296,987296,96,58,919,823
2,8,2;6,740472,740472,110,98,919,809
2,9,2;4,1234120,1234120,70,33,919,849
2,10,3;4,740472,740472,75,54,919,844
2,11,6;13,987296,987296,85,55,919,834
2,12,1;13,493648,493648,58,46,919,861
2,13,11;14,2221416,2221416,86,47,919,833
2,14,9;13,1974592,1974592,83,53,919,836
2,15,3;13,493648,493648,421,380,919,498
2,16,10;14,493648,493648,596,575,919,323
2,17,11;14,493648,493648,752,730,919,167
2,18,2;13,493648,493648,496,476,919,423
2,19,4;13,493648,493648,268,244,919,651
2,20,7;9,493648,493648,585,547,919,334
2,21,0;5,493648,493648,505,467,919,414
2,22,6;13,493648,493648,755,732,919,164
2,23,2;14,493648,493648,900,878,919,19
2,24,1;14,493648,493648,783,760,919,136
2,25,9;13,493648,493648,723,695,919,196
2,26,0;1,493648,493648,510,481,919,409
2,27,3;4,493648,493648,574,545,919,345
2,28,2;14,493648,493648,788,758,919,131
2,29,1;11,493648,493648,746,716,919,173
3,0,6;7,1234120,1234120,68,30,919,851
3,1,2;6,1480944,1480944,66,36,919,853
3,2,1;6,1727768,1727768,99,69,919,820
3,3,4;8,987296,987296,74,33,919,845
3,4,10;11,1974592,1974592,91,61,919,828
3,5,2;11,493648,493648,82,70,919,837
3,6,1;11,1727768,1727768,65,53,919,854
3,7,4;6,987296,987296,96,58,919,823
3,8,2;10,987296,987296,136,98,919,783
3,9,6;13,987296,987296,61,33,919,858
3,10,3;4,1234120,1234120,82,54,919,837
3,11,5;6,1974592,1974592,96,55,919,823
3,12,4;6,493648,493648,58,46,919,861
3,13,11;14,1727768,1727768,82,47,919,837
3,14,9;13,1234120,1234120,75,53,919,844
3,15,3;11,493648,493648,421,380,919,498
3,16,10;11,493648,493648,596,575,919,323
3,17,11;14,493648,493648,752,730,919,167
3,18,2;13,493648,493648,496,476,919,423
3,19,1;4,493648,493648,270,244,919,649
3,20,7;13,493648,493648,585,547,919,334
3,21,0;8,493648,493648,505,467,919,414
3,22,11;13,493648,493648,756,732,919,163
3,23,0;14,493648,493648,903,878,919,16
3,24,1;14,493648,493648,783,760,919,136
3,25,9;10,493648,493648,723,695,919,196
3,26,0;13,493648,493648,510,481,919,409
3,27,1;4,493648,493648,574,545,919,345
3,28,2;4,493648,493648,788,758,919,131
3,29,1;2,493648,493648,746,716,919,173
4,0,1;10,1974592,1974592,68,30,919,851
4,1,5;14,1480944,1480944,66,36,919,853
4,2,4;9,1974592,1974592,99,69,919,820
4,3,8;10,740472,740472,61,33,919,858
4,4,0;9,1974592,1974592,100,61,919,819
4,5,2;4,1234120,1234120,82,70,919,837
4,6,2;9,740472,740472,64,53,919,855
4,7,2;9,740472,740472,96,58,919,823
4,8,9;14,987296,987296,136,98,919,783
4,9,2;13,2961888,2961888,74,33,919,845
4,10,0;5,1974592,1974592,84,54,919,835
4,11,6;10,987296,987296,79,55,919,840
4,12,4;9,493648,493648,58,46,919,861
4,13,5;14,987296,987296,69,47,919,850
4,14,1;9,1480944,1480944,73,53,919,846
4,15,4;9,493648,493648,421,380,919,498
4,16,0;9,493648,493648,597,575,919,322
4,17,11;14,493648,493648,752,730,919,167
4,18,10;14,493648,493648,498,476,919,421
4,19,0;1,493648,493648,271,244,919,648
4,20,7;9,493648,493648,585,547,919,334
4,21,0;8,493648,493648,505,467,919,414
4,22,11;13,493648,493648,756,732,919,163
4,23,0;2,493648,493648,903,878,919,16
4,24,2;10,493648,493648,783,760,919,136
4,25,9;10,493648,493648,723,695,919,196
4,26,0;3,493648,493648,510,481,919,409
4,27,1;4,493648,493648,574,545,919,345
4,28,2;4,493648,493648,788,758,919,131
4,29,1;10,493648,493648,746,716,919,173
5,0,4;7,2468240,2468240,68,30,919,851
5,1,0;2,987296,987296,64,36,919,855
5,2,1;14,1480944,1480944,99,69,919,820
5,3,4;9,1234120,1234120,74,33,919,845
5,4,10;11,1480944,1480944,85,61,919,834
5,5,2;9,740472,740472,108,70,919,811
5,6,9;11,987296,987296,76,53,919,843
5,7,0;4,740472,740472,96,58,919,823
5,8,6;14,493648,493648,110,98,919,809
5,9,13;14,2221416,2221416,70,33,919,849
5,10,0;3,1234120,1234120,76,54,919,843
5,11,4;13,1234120,1234120,85,55,919,834
5,12,1;2,740472,740472,69,46,919,850
5,13,9;14,1234120,1234120,86,47,919,833
5,14,2;9,1974592,1974592,75,53,919,844
5,15,3;13,493648,493648,421,380,919,498
5,16,9;10,493648,493648,596,575,919,323
5,17,12;14,493648,493648,753,730,919,166
5,18,10;14,493648,493648,498,476,919,421
5,19,4;13,493648,493648,268,244,919,651
5,20,7;9,493648,493648,585,547,919,334
5,21,0;5,493648,493648,505,467,919,414
5,22,6;11,493648,493648,756,732,919,163
5,23,0;14,493648,493648,903,878,919,16
5,24,9;14,493648,493648,783,760,919,136
5,25,0;9,493648,493648,724,695,919,195
5,26,0;1,493648,493648,510,481,919,409
5,27,0;3,493648,493648,575,545,919,344
5,28,0;2,493648,493648,791,758,919,128
5,29,2;11,493648,493648,746,716,919,173
6,0,1;7,740472,740472,68,30,920,852
6,1,7;8,1974592,1974592,66,36,920,854
6,2,4;9,987296,987296,96,69,920,824
6,3,8;10,987296,987296,74,33,920,846
6,4,2;9,1480944,1480944,91,61,920,829
6,5,9;13,493648,493648,82,70,920,838
6,6,7;9,740472,740472,82,53,920,838
6,7,4;13,1480944,1480944,100,58,920,820
6,8,2;9,1974592,1974592,136,98,920,784
6,9,4;14,2715064,2715064,70,33,920,850
6,10,4;8,1234120,1234120,76,54,920,844
6,11,4;13,740472,740472,79,55,920,841
6,12,9;13,493648,493648,58,46,920,862
6,13,7;9,2961888,2961888,82,47,920,838
6,14,9;13,1234120,1234120,75,53,920,845
6,15,3;7,493648,493648,422,380,920,498
6,16,10;14,493648,493648,596,575,920,324
6,17,10;14,493648,493648,752,730,920,168
6,18,8;13,493648,493648,499,476,920,421
6,19,1;13,493648,493648,270,244,920,650
6,20,9;13,493648,493648,584,547,920,336
6,21,0;8,493648,493648,505,467,920,415
6,22,11;13,493648,493648,756,732,920,164
6,23,8;14,493648,493648,903,878,920,17
6,24,1;9,493648,493648,783,760,920,137
6,25,9;13,493648,493648,723,695,920,197
6,26,1;13,493648,493648,509,481,920,411
6,27,1;2,493648,493648,574,545,920,346
6,28,3;4,493648,493648,790,758,920,130
6,29,1;6,493648,493648,746,716,920,174
7,0,4;10,1727768,1727768,68,30,917,849
7,1,3;14,1480944,1480944,65,36,917,852
7,2,1;4,1234120,1234120,99,69,917,818
7,3,4;9,1234120,1234120,61,33,917,856
7,4,0;3,1974592,1974592,100,61,917,817
7,5,4;6,493648,493648,82,70,917,835
7,6,1;9,987296,987296,65,53,917,852
7,7,0;9,740472,740472,96,58,917,821
7,8,10;14,1727768,1727768,136,98,917,781
7,9,8;13,1974592,1974592,70,33,917,847
7,10,3;8,1480944,1480944,84,54,917,833
