round,node,idle_ticks,busy_ticks
0,0,1199,55
0,1,1220,34
0,2,1148,106
0,3,1175,79
0,4,1206,48
0,5,1175,79
0,6,1185,69
0,7,1197,57
0,8,1184,70
0,9,1161,93
0,10,1185,69
0,11,1156,98
0,12,1177,77
0,13,1186,68
0,14,1146,108
0,15,613,641
0,16,51,1203
0,17,548,706
0,18,606,648
0,19,861,393
0,20,526,728
0,21,782,472
0,22,479,775
0,23,955,299
0,24,406,848
0,25,819,435
0,26,847,407
0,27,824,430
0,28,612,642
0,29,11,1243
1,0,1198,58
1,1,1200,56
1,2,1178,78
1,3,1193,63
1,4,1175,81
1,5,1202,54
1,6,1199,57
1,7,1178,78
1,8,1205,51
1,9,1146,110
1,10,1219,37
1,11,1143,113
1,12,1154,102
1,13,1177,79
1,14,1141,115
1,15,614,642
1,16,52,1204
1,17,549,707
1,18,607,649
1,19,861,395
1,20,528,728
1,21,782,474
1,22,481,775
1,23,955,301
1,24,407,849
1,25,821,435
1,26,848,408
1,27,825,431
1,28,613,643
1,29,12,1244
2,0,1196,58
2,1,1201,53
2,2,1156,98
2,3,1169,85
2,4,1176,78
2,5,1175,79
2,6,1211,43
2,7,1176,78
2,8,1203,51
2,9,1144,110
2,10,1185,69
2,11,1141,113
2,12,1159,95
2,13,1175,79
2,14,1139,115
2,15,613,641
2,16,50,1204
2,17,547,707
2,18,606,648
2,19,861,393
2,20,526,728
2,21,780,474
2,22,479,775
2,23,953,301
2,24,405,849
2,25,819,435
2,26,846,408
2,27,824,430
2,28,612,642
2,29,10,1244
3,0,1196,58
3,1,1202,52
3,2,1154,100
3,3,1175,79
3,4,1176,78
3,5,1200,54
3,6,1193,61
3,7,1176,78
3,8,1184,70
3,9,1161,93
3,10,1214,40
3,11,1130,124
3,12,1176,78
3,13,1175,79
3,14,1139,115
3,15,612,642
3,16,50,1204
3,17,547,707
3,18,605,649
3,19,861,393
3,20,525,729
3,21,782,472
3,22,479,775
3,23,953,301
3,24,405,849
3,25,819,435
3,26,846,408
3,27,824,430
3,28,611,643
3,29,9,1245
4,0,1206,50
4,1,1200,56
4,2,1150,106
4,3,1171,85
4,4,1175,81
4,5,1177,79
4,6,1187,69
4,7,1178,78
4,8,1218,38
4,9,1146,110
4,10,1206,50
4,11,1138,118
4,12,1154,102
4,13,1177,79
4,14,1141,115
4,15,615,641
4,16,52,1204
4,17,549,707
4,18,608,648
4,19,861,395
4,20,528,728
4,21,782,474
4,22,481,775
4,23,957,299
4,24,407,849
4,25,821,435
4,26,848,408
4,27,825,431
4,28,614,642
4,29,12,1244
5,0,1196,58
5,1,1202,52
5,2,1148,106
5,3,1175,79
5,4,1205,49
5,5,1175,79
5,6,1188,66
5,7,1176,78
5,8,1214,40
5,9,1161,93
5,10,1185,69
5,11,1136,118
5,12,1164,90
5,13,1178,76
5,14,1139,115
5,15,611,643
5,16,50,1204
5,17,547,707
5,18,606,648
5,19,861,393
5,20,526,728
5,21,782,472
5,22,478,776
5,23,954,300
5,24,405,849
5,25,820,434
5,26,846,408
5,27,824,430
5,28,611,643
5,29,10,1244
6,0,1204,50
6,1,1201,53
6,2,1176,78
6,3,1169,85
6,4,1176,78
6,5,1200,54
6,6,1197,57
6,7,1194,60
6,8,1184,70
6,9,1144,110
6,10,1185,69
6,11,1131,123
6,12,1159,95
6,13,1172,82
6,14,1151,103
6,15,612,642
6,16,50,1204
6,17,548,706
6,18,605,649
6,19,861,393
6,20,526,728
6,21,780,474
6,22,479,775
6,23,953,301
6,24,405,849
6,25,819,435
6,26,846,408
6,27,824,430
6,28,611,643
6,29,10,1244
7,0,1198,58
7,1,1222,34
7,2,1150,106
7,3,1177,79
7,4,1175,81
7,5,1202,54
7,6,1195,61
7,7,1178,78
7,8,1200,56
7,9,1143,113
7,10,1218,38
7,11,1132,124
7,12,1154,102
