round,node,ul_bytes,dl_bytes,energy_mj
0,0,740472,740472,31699.999296
0,1,1234120,1234120,31699.998826
0,2,493648,493648,31699.999531
0,3,493648,493648,31699.999531
0,4,2221416,2221416,31699.997887
0,5,987296,987296,31699.999061
0,6,493648,493648,31699.999531
0,7,493648,493648,31699.999531
0,8,1480944,1480944,31699.998592
0,9,3208712,3208712,31699.996949
0,10,493648,493648,31699.999531
0,11,493648,493648,31699.999531
0,12,2715064,2715064,31699.997418
0,13,1234120,1234120,31699.998826
0,14,3455536,3455536,31699.996714
0,15,493648,493648,31699.999531
0,16,493648,493648,31699.999531
0,17,493648,493648,31699.999531
0,18,493648,493648,31699.999531
0,19,493648,493648,31699.999531
0,20,493648,493648,31699.999531
0,21,493648,493648,31699.999531
0,22,493648,493648,31699.999531
0,23,493648,493648,31699.999531
0,24,493648,493648,31699.999531
0,25,493648,493648,31699.999531
0,26,493648,493648,31699.999531
0,27,493648,493648,31699.999531
0,28,493648,493648,31699.999531
0,29,493648,493648,31699.999531
1,0,987296,987296,31683.332395
1,1,987296,987296,31683.332395
1,2,1480944,1480944,31683.331926
1,3,493648,493648,31683.332864
1,4,493648,493648,31683.332864
1,5,2468240,2468240,31683.330987
1,6,1727768,1727768,31683.331691
1,7,2221416,2221416,31683.331222
1,8,2468240,2468240,31683.330987
1,9,493648,493648,31683.332864
1,10,1234120,1234120,31683.332160
1,11,987296,987296,31683.332395
1,12,493648,493648,31683.332864
1,13,2221416,2221416,31683.331222
1,14,987296,987296,31683.332395
1,15,493648,493648,31683.332864
1,16,493648,493648,31683.332864
1,17,493648,493648,31683.332864
1,18,493648,493648,31683.332864
1,19,493648,493648,31683.332864
1,20,493648,493648,31683.332864
1,21,493648,493648,31683.332864
1,22,493648,493648,31683.332864
1,23,493648,493648,31683.332864
1,24,493648,493648,31683.332864
1,25,493648,493648,31683.332864
1,26,493648,493648,31683.332864
1,27,493648,493648,31683.332864
1,28,493648,493648,31683.332864
1,29,493648,493648,31683.332864
2,0,1480944,1480944,31683.331926
2,1,493648,493648,31683.332864
2,2,987296,987296,31683.332395
2,3,1234120,1234120,31683.332160
2,4,740472,740472,31683.332630
2,5,1480944,1480944,31683.331926
2,6,1727768,1727768,31683.331691
