round,scope,value
0,global,0.512623173
0,inter_cluster,0.516736780
0,consensus,0.349524584
1,global,0.757216297
1,inter_cluster,0.761200292
1,consensus,0.523079629
2,global,0.862391717
2,inter_cluster,0.871999388
2,consensus,0.599758042
3,global,0.959087804
3,inter_cluster,0.965565386
3,consensus,0.666114580
4,global,1.078051640
4,inter_cluster,1.087410823
4,consensus,0.747483781
5,global,1.207566912
5,inter_cluster,1.212760196
5,consensus,0.835318408
6,global,1.283851376
6,inter_cluster,1.304861735
6,consensus,0.893932746
7,global,1.325036704
7,inter_cluster,1.345231002
7,consensus,0.922771383
8,global,1.327965891
8,inter_cluster,1.351911145
8,consensus,0.928694870
9,global,1.279361879
9,inter_cluster,1.298120104
9,consensus,0.895962730
10,global,1.306876295
10,inter_cluster,1.325972307
10,consensus,0.912981070
11,global,1.269409585
11,inter_cluster,1.285361717
11,consensus,0.889207921
12,global,1.206706773
12,inter_cluster,1.229295684
12,consensus,0.846341582
13,global,1.189584369
13,inter_cluster,1.199227618
13,consensus,0.831771489
14,global,1.140260735
14,inter_cluster,1.152183899
14,consensus,0.796117552
15,global,1.121674158
15,inter_cluster,1.131085310
15,consensus,0.785899495
16,global,1.051012799
16,inter_cluster,1.055195600
16,consensus,0.736719988
17,global,1.087175321
17,inter_cluster,1.095015652
17,consensus,0.760742541
18,global,1.076677907
18,inter_cluster,1.085761586
18,consensus,0.746516224
19,global,1.098174460
19,inter_cluster,1.108133824
19,consensus,0.762183211
20,global,1.035307194
20,inter_cluster,1.046776389
20,consensus,0.723120937
21,global,0.969308386
21,inter_cluster,0.974855615
21,consensus,0.679905365
22,global,1.000424739
22,inter_cluster,1.003967062
22,consensus,0.697865610
23,global,0.972791138
23,inter_cluster,0.984487865
23,consensus,0.678154716
24,global,0.988126241
24,inter_cluster,0.991435207
24,consensus,0.685650706
25,global,0.897492404
25,inter_cluster,0.903841996
25,consensus,0.627312362
26,global,0.898750855
26,inter_cluster,0.900633796
26,consensus,0.628052687
27,global,0.952248911
27,inter_cluster,0.963842262
27,consensus,0.655391652
28,global,0.952620317
28,inter_cluster,0.958192452
28,consensus,0.659287228
29,global,0.888893796
29,inter_cluster,0.898398916
29,consensus,0.620763360
30,global,0.984254639
30,inter_cluster,0.993159617
30,consensus,0.678597461
31,global,0.948923573
31,inter_cluster,0.954314290
31,consensus,0.653536262
32,global,0.879701065
32,inter_cluster,0.887406714
32,consensus,0.609523791
33,global,0.880746454
33,inter_cluster,0.887564861
33,consensus,0.612728851
34,global,0.826238626
34,inter_cluster,0.833234685
34,consensus,0.572764647
35,global,0.800702224
35,inter_cluster,0.808647026
35,consensus,0.559375989
36,global,0.800196543
36,inter_cluster,0.805126229
36,consensus,0.556577395
37,global,0.824161081
37,inter_cluster,0.827786344
37,consensus,0.572018307
38,global,0.832038051
38,inter_cluster,0.838162364
38,consensus,0.573531204
39,global,0.825261653
39,inter_cluster,0.831724967
39,consensus,0.569751031
40,global,0.814282428
40,inter_cluster,0.831275761
40,consensus,0.565945120
41,global,0.801695294
41,inter_cluster,0.820276049
41,consensus,0.556604224
42,global,0.800078955
42,inter_cluster,0.808807103
42,consensus,0.553914635
43,global,0.823244662
43,inter_cluster,0.834859981
43,consensus,0.568995777
44,global,0.762551450
44,inter_cluster,0.772178657
44,consensus,0.528922311
45,global,0.748371170
45,inter_cluster,0.760679673
45,consensus,0.519628622
46,global,0.765790386
46,inter_cluster,0.783998037
46,consensus,0.533123022
47,global,0.853220347
47,inter_cluster,0.868253303
47,consensus,0.583538445
48,global,0.733730061
48,inter_cluster,0.746901563
48,consensus,0.509433874
49,global,0.729858298
49,inter_cluster,0.740908926
49,consensus,0.503867345
50,global,0.811198892
50,inter_cluster,0.824094322
50,consensus,0.556356821
51,global,0.759991205
51,inter_cluster,0.771891944
51,consensus,0.526342878
52,global,0.777481908
52,inter_cluster,0.792150277
52,consensus,0.540142033
53,global,0.893449657
53,inter_cluster,0.911406403
53,consensus,0.611374351
54,global,0.772295055
54,inter_cluster,0.786786678
54,consensus,0.537350063
55,global,0.870724592
55,inter_cluster,0.883962022
55,consensus,0.599453978
56,global,0.785129884
56,inter_cluster,0.795687041
56,consensus,0.548897781
57,global,0.885572600
57,inter_cluster,0.898833987
57,consensus,0.607940310
58,global,0.854116132
58,inter_cluster,0.868271890
58,consensus,0.592555268
59,global,0.922580501
59,inter_cluster,0.932743696
59,consensus,0.630505713
