round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,906,21,40,0
1,908,22,40,0
2,908,23,40,0
3,905,22,40,0
4,906,23,40,0
5,909,22,40,0
6,909,22,41,0
7,909,23,40,0
8,905,22,40,0
9,908,22,41,0
10,909,24,40,0
11,909,22,42,0
12,908,22,41,0
13,905,22,40,0
14,909,22,41,0
15,905,21,40,0
16,909,22,41,0
17,909,21,40,0
18,908,23,40,0
19,905,21,40,0
20,909,22,42,0
21,906,21,40,0
22,909,23,40,0
23,908,22,40,0
24,908,21,41,0
25,909,23,41,0
26,906,22,40,0
27,909,22,41,0
28,905,21,40,0
29,909,22,40,0
30,908,22,41,0
31,908,23,40,0
32,909,22,40,0
33,909,21,41,0
34,908,22,40,0
35,908,21,41,0
36,909,22,40,0
37,909,22,40,0
38,905,21,40,0
39,908,22,40,0
40,906,21,40,0
41,909,23,41,0
42,909,22,40,0
43,909,21,40,0
44,908,22,40,0
45,908,22,41,0
46,905,22,40,0
47,909,22,40,0
48,906,23,40,0
49,908,23,40,0
50,906,23,40,0
51,906,21,40,0
52,905,23,40,0
53,905,23,40,0
54,905,23,40,0
55,905,22,40,0
56,905,22,40,0
57,907,22,40,0
58,905,22,40,0
59,905,22,40,0
60,905,22,40,0
61,905,22,40,0
62,905,22,40,0
63,905,22,40,0
64,905,22,40,0
65,905,21,40,0
66,905,21,40,0
67,905,21,40,0
68,905,22,40,0
69,905,22,40,0
70,905,23,40,0
71,905,22,40,0
72,905,22,40,0
73,905,23,40,0
74,905,22,40,0
75,905,22,40,0
76,905,22,40,0
77,905,22,40,0
78,905,22,40,0
79,905,23,40,0
80,905,22,40,0
81,905,23,40,0
82,905,23,40,0
83,905,22,40,0
84,905,23,40,0
85,905,22,40,0
86,905,23,40,0
87,905,23,40,0
88,905,22,40,0
89,905,23,40,0
90,905,22,40,0
91,905,22,40,0
92,905,22,40,0
93,905,22,40,0
94,905,22,40,0
95,905,22,40,0
96,905,22,40,0
97,905,23,40,0
98,905,22,40,0
99,905,22,40,0
