round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,3;4,1974592,1974592,115,73,1246,1131
0,1,9;13,1480944,1480944,118,81,1246,1128
0,2,1;3,1727768,1727768,128,100,1246,1118
0,3,4;6,1727768,1727768,42,20,1246,1204
0,4,6;7,2468240,2468240,88,60,1246,1158
0,5,0;3,987296,987296,29,6,1246,1217
0,6,4;14,987296,987296,90,54,1246,1156
0,7,4;10,1480944,1480944,102,72,1246,1144
0,8,3;10,740472,740472,181,169,1246,1065
0,9,1;4,493648,493648,25,14,1246,1221
0,10,7;8,493648,493648,98,87,1246,1148
0,11,2;8,493648,493648,187,175,1246,1059
0,12,0;4,740472,740472,69,39,1246,1177
0,13,1;7,493648,493648,40,31,1246,1206
0,14,4;6,987296,987296,65,26,1246,1181
0,15,0;14,493648,493648,202,160,1246,1044
0,16,0;5,740472,740472,235,209,1246,1011
0,17,2;3,740472,740472,523,493,1246,723
0,18,4;5,740472,740472,722,695,1246,524
0,19,4;14,493648,493648,468,444,1246,778
0,20,0;6,493648,493648,322,284,1246,924
0,21,0;1,493648,493648,475,437,1246,771
0,22,16;18,493648,493648,1231,1204,1246,15
0,23,2;7,493648,493648,281,256,1246,965
0,24,1;25,740472,740472,405,371,1246,841
0,25,2;24,493648,493648,377,347,1246,869
0,26,7;17,493648,493648,1107,1077,1246,139
0,27,7;12,493648,493648,122,92,1246,1124
0,28,1;24,493648,493648,994,960,1246,252
0,29,2;4,493648,493648,291,263,1246,955
1,0,1;2,2221416,2221416,115,73,1246,1131
1,1,0;2,1727768,1727768,118,81,1246,1128
1,2,0;8,2221416,2221416,128,100,1246,1118
1,3,2;8,1480944,1480944,42,20,1246,1204
1,4,0;9,1974592,1974592,88,60,1246,1158
1,5,0;3,987296,987296,29,6,1246,1217
1,6,3;4,987296,987296,90,54,1246,1156
1,7,3;13,1480944,1480944,102,72,1246,1144
1,8,2;3,987296,987296,181,169,1246,1065
1,9,1;4,493648,493648,25,14,1246,1221
1,10,7;8,493648,493648,98,87,1246,1148
1,11,2;8,493648,493648,187,175,1246,1059
1,12,0;4,740472,740472,69,39,1246,1177
1,13,1;7,493648,493648,40,31,1246,1206
1,14,4;6,987296,987296,65,26,1246,1181
1,15,0;14,493648,493648,202,160,1246,1044
1,16,0;5,740472,740472,235,209,1246,1011
1,17,2;3,740472,740472,523,493,1246,723
1,18,4;5,740472,740472,722,695,1246,524
1,19,4;14,493648,493648,468,444,1246,778
1,20,0;6,493648,493648,322,284,1246,924
