round,node,idle_ticks,busy_ticks
0,0,1131,115
0,1,1128,118
0,2,1118,128
0,3,1204,42
0,4,1158,88
0,5,1217,29
0,6,1156,90
0,7,1144,102
0,8,1065,181
0,9,1221,25
0,10,1148,98
0,11,1059,187
0,12,1177,69
0,13,1206,40
0,14,1181,65
0,15,1044,202
0,16,1011,235
0,17,723,523
0,18,524,722
0,19,778,468
0,20,924,322
0,21,771,475
0,22,15,1231
0,23,965,281
0,24,841,405
0,25,869,377
0,26,139,1107
0,27,1124,122
0,28,252,994
0,29,955,291
1,0,1131,115
1,1,1128,118
1,2,1118,128
1,3,1204,42
1,4,1158,88
1,5,1217,29
1,6,1156,90
1,7,1144,102
1,8,1065,181
1,9,1221,25
1,10,1148,98
1,11,1059,187
1,12,1177,69
1,13,1206,40
1,14,1181,65
1,15,1044,202
1,16,1011,235
1,17,723,523
1,18,524,722
1,19,778,468
1,20,924,322
1,21,770,476
1,22,15,1231
1,23,965,281
1,24,836,410
1,25,869,377
1,26,139,1107
1,27,1124,122
1,28,252,994
1,29,955,291
2,0,1131,115
2,1,1128,118
2,2,1118,128
2,3,1204,42
2,4,1158,88
2,5,1217,29
2,6,1156,90
2,7,1144,102
2,8,1065,181
2,9,1221,25
2,10,1148,98
2,11,1059,187
2,12,1177,69
2,13,1206,40
2,14,1181,65
2,15,1044,202
2,16,1011,235
2,17,723,523
2,18,524,722
2,19,778,468
2,20,924,322
2,21,771,475
2,22,15,1231
2,23,965,281
2,24,841,405
2,25,869,377
2,26,139,1107
2,27,1124,122
2,28,252,994
2,29,955,291
3,0,1131,115
3,1,1128,118
3,2,1118,128
3,3,1204,42
3,4,1158,88
3,5,1217,29
3,6,1156,90
3,7,1144,102
3,8,1065,181
3,9,1221,25
3,10,1148,98
3,11,1059,187
3,12,1177,69
3,13,1206,40
3,14,1181,65
3,15,1044,202
3,16,1011,235
3,17,723,523
3,18,524,722
3,19,778,468
3,20,924,322
3,21,770,476
3,22,15,1231
3,23,965,281
3,24,836,410
3,25,869,377
3,26,139,1107
3,27,1124,122
3,28,252,994
3,29,955,291
4,0,1131,115
4,1,1128,118
4,2,1118,128
4,3,1204,42
4,4,1158,88
4,5,1217,29
4,6,1156,90
4,7,1144,102
4,8,1065,181
4,9,1221,25
4,10,1148,98
4,11,1059,187
4,12,1177,69
4,13,1206,40
4,14,1181,65
4,15,1044,202
4,16,1011,235
4,17,723,523
4,18,524,722
4,19,778,468
4,20,924,322
4,21,771,475
4,22,15,1231
4,23,965,281
4,24,841,405
4,25,869,377
4,26,139,1107
4,27,1124,122
4,28,252,994
4,29,955,291
5,0,1131,115
5,1,1128,118
5,2,1118,128
5,3,1204,42
5,4,1158,88
5,5,1217,29
5,6,1156,90
5,7,1144,102
5,8,1065,181
5,9,1221,25
5,10,1148,98
5,11,1059,187
5,12,1177,69
5,13,1206,40
5,14,1181,65
5,15,1044,202
5,16,1011,235
5,17,723,523
5,18,524,722
5,19,778,468
5,20,924,322
5,21,771,475
5,22,15,1231
5,23,965,281
5,24,841,405
5,25,869,377
5,26,139,1107
5,27,1124,122
5,28,252,994
5,29,955,291
6,0,1131,115
6,1,1128,118
6,2,1118,128
6,3,1204,42
6,4,1158,88
6,5,1217,29
6,6,1156,90
6,7,1144,102
6,8,1065,181
6,9,1221,25
6,10,1148,98
6,11,1059,187
6,12,1177,69
6,13,1206,40
6,14,1181,65
6,15,1044,202
6,16,1011,235
6,17,723,523
6,18,524,722
6,19,778,468
6,20,924,322
6,21,770,476
6,22,15,1231
6,23,965,281
6,24,836,410
6,25,869,377
6,26,139,1107
6,27,1124,122
6,28,252,994
6,29,955,291
7,0,1131,115
7,1,1128,118
7,2,1118,128
7,3,1204,42
7,4,1158,88
7,5,1217,29
7,6,1156,90
7,7,1144,102
7,8,1065,181
7,9,1221,25
7,10,1148,98
7,11,1059,187
7,12,1177,69
7,13,1206,40
7,14,1181,65
7,15,1044,202
7,16,1011,235
7,17,723,523
7,18,524,722
7,19,778,468
7,20,924,322
7,21,771,475
7,22,15,1231
7,23,965,281
7,24,841,405
7,25,869,377
7,26,139,1107
7,27,1124,122
7,28,252,994
7,29,955,291
8,0,1131,115
8,1,1128,118
8,2,1118,128
8,3,1204,42
8,4,1158,88
8,5,1217,29
8,6,1156,90
8,7,1144,102
8,8,1065,181
8,9,1221,25
8,10,1148,98
8,11,1059,187
8,12,1177,69
8,13,1206,40
8,14,1181,65
8,15,1044,202
8,16,1011,235
8,17,723,523
8,18,524,722
8,19,778,468
8,20,924,322
8,21,771,475
8,22,15,1231
8,23,965,281
8,24,841,405
8,25,869,377
8,26,139,1107
8,27,1124,122
8,28,252,994
8,29,955,291
9,0,1131,115
9,1,1128,118
9,2,1118,128
9,3,1204,42
9,4,1158,88
9,5,1217,29
9,6,1156,90
9,7,1144,102
9,8,1065,181
9,9,1221,25
9,10,1148,98
9,11,1059,187
9,12,1177,69
9,13,1206,40
9,14,1181,65
9,15,1044,202
9,16,1011,235
9,17,723,523
9,18,524,722
9,19,778,468
9,20,924,322
9,21,771,475
9,22,15,1231
9,23,965,281
9,24,841,405
9,25,869,377
9,26,139,1107
9,27,1124,122
9,28,252,994
9,29,955,291
10,0,1131,115
10,1,1128,118
10,2,1118,128
10,3,1204,42
10,4,1158,88
10,5,1217,29
10,6,1156,90
10,7,1144,102
10,8,1065,181
10,9,1221,25
10,10,1148,98
10,11,1059,187
10,12,1177,69
10,13,1206,40
10,14,1181,65
10,15,1044,202
10,16,1011,235
10,17,723,523
10,18,524,722
10,19,778,468
10,20,924,322
10,21,771,475
10,22,15,1231
10,23,965,281
10,24,841,405
10,25,869,377
10,26,139,1107
10,27,1124,122
10,28,252,994
10,29,955,291
11,0,1131,115
11,1,1128,118
11,2,1118,128
11,3,1204,42
11,4,1158,88
11,5,1217,29
11,6,1156,90
11,7,1144,102
11,8,1065,181
11,9,1221,25
11,10,1148,98
11,11,1059,187
11,12,1177,69
11,13,1206,40
11,14,1181,65
11,15,1044,202
11,16,1011,235
11,17,723,523
11,18,524,722
11,19,778,468
11,20,924,322
11,21,770,476
11,22,15,1231
11,23,965,281
11,24,836,410
11,25,869,377
11,26,139,1107
11,27,1124,122
11,28,252,994
11,29,955,291
12,0,1131,115
12,1,1128,118
12,2,1118,128
12,3,1204,42
12,4,1158,88
12,5,1217,29
12,6,1156,90
12,7,1144,102
12,8,1065,181
12,9,1221,25
12,10,1148,98
12,11,1059,187
12,12,1177,69
12,13,1206,40
12,14,1181,65
12,15,1044,202
12,16,1011,235
12,17,723,523
12,18,524,722
12,19,778,468
12,20,924,322
12,21,771,475
12,22,15,1231
12,23,965,281
12,24,841,405
12,25,869,377
12,26,139,1107
12,27,1124,122
12,28,252,994
12,29,955,291
13,0,1131,115
13,1,1128,118
13,2,1118,128
13,3,1204,42
13,4,1158,88
13,5,1217,29
13,6,1156,90
13,7,1144,102
13,8,1065,181
13,9,1221,25
13,10,1148,98
13,11,1059,187
13,12,1177,69
13,13,1206,40
13,14,1181,65
13,15,1044,202
13,16,1011,235
13,17,723,523
13,18,524,722
13,19,778,468
13,20,924,322
13,21,771,475
13,22,15,1231
13,23,965,281
13,24,841,405
13,25,869,377
13,26,139,1107
13,27,1124,122
13,28,252,994
13,29,955,291
14,0,1131,115
14,1,1128,118
14,2,1118,128
14,3,1204,42
14,4,1158,88
14,5,1217,29
14,6,1156,90
14,7,1144,102
14,8,1065,181
14,9,1221,25
14,10,1148,98
14,11,1059,187
14,12,1177,69
14,13,1206,40
14,14,1181,65
14,15,1044,202
14,16,1011,235
14,17,723,523
14,18,524,722
14,19,778,468
14,20,924,322
14,21,770,476
14,22,15,1231
14,23,965,281
14,24,836,410
14,25,869,377
14,26,139,1107
14,27,1124,122
14,28,252,994
14,29,955,291
15,0,1131,115
15,1,1128,118
15,2,1118,128
15,3,1204,42
15,4,1158,88
15,5,1217,29
15,6,1156,90
15,7,1144,102
15,8,1065,181
15,9,1221,25
15,10,1148,98
15,11,1059,187
15,12,1177,69
15,13,1206,40
15,14,1181,65
15,15,1044,202
15,16,1011,235
15,17,723,523
15,18,524,722
15,19,778,468
15,20,924,322
15,21,771,475
15,22,15,1231
15,23,965,281
15,24,841,405
15,25,869,377
15,26,139,1107
15,27,1124,122
15,28,252,994
15,29,955,291
16,0,1131,115
16,1,1128,118
16,2,1118,128
16,3,1204,42
16,4,1158,88
16,5,1217,29
16,6,1156,90
16,7,1144,102
16,8,1065,181
16,9,1221,25
16,10,1148,98
16,11,1059,187
16,12,1177,69
16,13,1206,40
16,14,1181,65
16,15,1044,202
16,16,1011,235
16,17,723,523
16,18,524,722
16,19,778,468
16,20,924,322
16,21,770,476
16,22,15,1231
16,23,965,281
16,24,836,410
16,25,869,377
16,26,139,1107
16,27,1124,122
16,28,252,994
16,29,955,291
17,0,1131,115
17,1,1128,118
17,2,1118,128
17,3,1204,42
17,4,1158,88
17,5,1217,29
17,6,1156,90
17,7,1144,102
17,8,1065,181
17,9,1221,25
17,10,1148,98
17,11,1059,187
17,12,1177,69
17,13,1206,40
17,14,1181,65
17,15,1044,202
17,16,1011,235
17,17,723,523
17,18,524,722
17,19,778,468
17,20,924,322
17,21,771,475
17,22,15,1231
17,23,965,281
17,24,841,405
17,25,869,377
17,26,139,1107
17,27,1124,122
17,28,252,994
17,29,955,291
18,0,1131,115
18,1,1128,118
