round,scope,value
0,global,0.759001446
0,inter_cluster,0.761678558
0,consensus,0.515129576
1,global,1.010169470
1,inter_cluster,1.013262835
1,consensus,0.695603896
2,global,1.150887366
2,inter_cluster,1.155675863
2,consensus,0.791768631
3,global,1.256844908
3,inter_cluster,1.270055976
3,consensus,0.862436472
4,global,1.323844755
4,inter_cluster,1.331673433
4,consensus,0.908107914
5,global,1.330512089
5,inter_cluster,1.333084230
5,consensus,0.912650158
6,global,1.407861510
6,inter_cluster,1.408515075
6,consensus,0.971427791
7,global,1.401354035
7,inter_cluster,1.399462367
7,consensus,0.965432847
8,global,1.374168220
8,inter_cluster,1.370472012
8,consensus,0.945243433
9,global,1.364892060
9,inter_cluster,1.368958543
9,consensus,0.940863107
10,global,1.380797249
10,inter_cluster,1.381351793
10,consensus,0.955097058
11,global,1.312858134
11,inter_cluster,1.316032025
11,consensus,0.906093443
12,global,1.283652962
12,inter_cluster,1.283367297
12,consensus,0.887473547
13,global,1.265951110
13,inter_cluster,1.267403646
13,consensus,0.871747608
14,global,1.234175460
14,inter_cluster,1.232809118
14,consensus,0.851764076
15,global,1.227287073
15,inter_cluster,1.228490322
15,consensus,0.846279978
16,global,1.169896469
16,inter_cluster,1.168940739
16,consensus,0.808951570
17,global,1.164237432
17,inter_cluster,1.161563753
17,consensus,0.799016243
18,global,1.207337141
18,inter_cluster,1.218751407
18,consensus,0.831364908
19,global,1.113539936
19,inter_cluster,1.110422736
19,consensus,0.771566239
20,global,1.122695670
20,inter_cluster,1.123724625
20,consensus,0.770616160
21,global,1.105368823
21,inter_cluster,1.105463691
21,consensus,0.760488599
22,global,1.065967700
22,inter_cluster,1.065561052
22,consensus,0.736158359
23,global,1.057904852
23,inter_cluster,1.055434934
23,consensus,0.733858183
24,global,0.984307947
24,inter_cluster,0.982704908
24,consensus,0.682257745
25,global,1.029736436
25,inter_cluster,1.029673856
25,consensus,0.701675111
26,global,0.963159208
26,inter_cluster,0.966169795
26,consensus,0.662804366
27,global,1.083192978
27,inter_cluster,1.090385146
27,consensus,0.732174483
28,global,1.040901999
28,inter_cluster,1.045127777
28,consensus,0.706878742
29,global,0.931469647
29,inter_cluster,0.930146266
29,consensus,0.642935116
30,global,0.996306583
30,inter_cluster,0.995124987
30,consensus,0.678697794
31,global,1.066109309
31,inter_cluster,1.072800929
31,consensus,0.717466335
32,global,1.031080452
32,inter_cluster,1.039447541
32,consensus,0.698836090
33,global,0.988413889
33,inter_cluster,0.989933196
33,consensus,0.674836541
34,global,0.846819049
34,inter_cluster,0.848750317
34,consensus,0.576330013
35,global,0.954903810
35,inter_cluster,0.960301098
35,consensus,0.646698552
36,global,0.929993463
36,inter_cluster,0.936912223
36,consensus,0.632900362
37,global,0.885887425
37,inter_cluster,0.890815148
37,consensus,0.604706503
38,global,0.868038310
38,inter_cluster,0.877601859
38,consensus,0.594005057
39,global,0.785040851
39,inter_cluster,0.785265209
39,consensus,0.540947561
40,global,0.872878978
40,inter_cluster,0.874742947
40,consensus,0.594626293
41,global,0.816098895
41,inter_cluster,0.818576001
41,consensus,0.562651038
42,global,0.871473733
42,inter_cluster,0.873908901
42,consensus,0.587362211
43,global,0.901800412
43,inter_cluster,0.914023791
43,consensus,0.606181281
44,global,0.875623035
44,inter_cluster,0.877998675
44,consensus,0.594847446
45,global,0.813618701
45,inter_cluster,0.826925564
45,consensus,0.554315761
46,global,0.793440089
46,inter_cluster,0.792386049
46,consensus,0.540377735
47,global,0.852611619
47,inter_cluster,0.859231188
47,consensus,0.573930981
48,global,0.916881940
48,inter_cluster,0.918686990
48,consensus,0.618989978
49,global,0.780209080
49,inter_cluster,0.785563989
49,consensus,0.531068008
50,global,0.838520547
50,inter_cluster,0.848028058
50,consensus,0.567916134
51,global,0.697137162
51,inter_cluster,0.697224543
51,consensus,0.481103380
52,global,0.795537373
52,inter_cluster,0.795806953
52,consensus,0.544228755
53,global,0.771583897
53,inter_cluster,0.774630762
53,consensus,0.525778445
54,global,0.762586228
54,inter_cluster,0.760569932
54,consensus,0.524602216
55,global,0.908660753
55,inter_cluster,0.916984618
55,consensus,0.608628435
56,global,0.972044122
56,inter_cluster,0.984317261
56,consensus,0.657201053
57,global,0.818021388
57,inter_cluster,0.815495722
57,consensus,0.563128894
58,global,0.893876657
58,inter_cluster,0.893874574
58,consensus,0.613562371
59,global,0.882019847
59,inter_cluster,0.883038898
59,consensus,0.606672375
60,global,0.845274101
60,inter_cluster,0.842447224
60,consensus,0.583563553
61,global,0.849085207
61,inter_cluster,0.850668485
61,consensus,0.585024185
62,global,0.943789194
62,inter_cluster,0.943441478
62,consensus,0.641853919
63,global,0.910025726
63,inter_cluster,0.923051568
63,consensus,0.622990603
64,global,0.928580197
64,inter_cluster,0.926264259
64,consensus,0.637627765
65,global,0.826519638
65,inter_cluster,0.828845809
65,consensus,0.573337345
66,global,0.954769657
66,inter_cluster,0.963035612
66,consensus,0.652270487
67,global,0.906581334
67,inter_cluster,0.907468593
67,consensus,0.620860913
68,global,0.980829841
68,inter_cluster,0.977534789
68,consensus,0.671366838
69,global,1.031611127
69,inter_cluster,1.033042285
69,consensus,0.699603224
70,global,0.966360744
70,inter_cluster,0.969122512
70,consensus,0.666823666
71,global,1.079416994
71,inter_cluster,1.091725436
71,consensus,0.732165743
72,global,0.865461040
72,inter_cluster,0.870497905
72,consensus,0.602979561
73,global,1.008129798
73,inter_cluster,1.003207986
73,consensus,0.690003462
74,global,1.158030512
74,inter_cluster,1.167068320
74,consensus,0.794434208
75,global,1.058471838
75,inter_cluster,1.058176513
75,consensus,0.729119932
76,global,1.072041823
76,inter_cluster,1.071342759
76,consensus,0.730927257
77,global,1.087563027
77,inter_cluster,1.092569197
77,consensus,0.749070146
78,global,0.991826242
78,inter_cluster,1.002703905
78,consensus,0.685232470
79,global,1.004233424
79,inter_cluster,1.015532893
79,consensus,0.696881443
80,global,0.873732111
80,inter_cluster,0.876878362
80,consensus,0.615885542
81,global,1.015964002
81,inter_cluster,1.017529118
81,consensus,0.704506094
82,global,0.961212304
82,inter_cluster,0.960301602
82,consensus,0.669063826
83,global,0.916457615
83,inter_cluster,0.916008852
83,consensus,0.642703910
84,global,1.088394077
84,inter_cluster,1.095887111
84,consensus,0.746342569
85,global,0.909185405
85,inter_cluster,0.905417491
85,consensus,0.633041959
86,global,0.947981551
86,inter_cluster,0.947786410
86,consensus,0.659572470
87,global,1.088686722
87,inter_cluster,1.083971864
87,consensus,0.747051760
88,global,0.986247028
88,inter_cluster,0.997134632
88,consensus,0.678924228
89,global,1.140888207
89,inter_cluster,1.149168639
89,consensus,0.773752055
90,global,1.034403052
90,inter_cluster,1.036500857
90,consensus,0.704970305
91,global,1.134991542
91,inter_cluster,1.145680256
91,consensus,0.770534569
92,global,1.201631402
92,inter_cluster,1.201779292
92,consensus,0.819652707
93,global,1.028402213
93,inter_cluster,1.032329017
93,consensus,0.714206690
94,global,1.087264659
94,inter_cluster,1.090269919
94,consensus,0.748527678
95,global,0.973597042
95,inter_cluster,0.971544235
95,consensus,0.683511286
96,global,1.100562705
96,inter_cluster,1.099186005
96,consensus,0.756261971
97,global,1.094125559
97,inter_cluster,1.111653059
97,consensus,0.757128610
98,global,1.063391070
98,inter_cluster,1.065491529
98,consensus,0.733075192
99,global,0.878247053
99,inter_cluster,0.877680159
99,consensus,0.617423983
