round,node,ul_bytes,dl_bytes,energy_mj
0,0,2221416,2221416,31966.664536
0,1,1480944,1480944,31966.665246
0,2,1480944,1480944,31966.665246
0,3,1727768,1727768,31966.665010
0,4,1480944,1480944,31966.665246
0,5,493648,493648,31966.666193
0,6,1234120,1234120,31966.665483
0,7,1480944,1480944,31966.665246
0,8,740472,740472,31966.665957
0,9,493648,493648,31966.666193
0,10,987296,987296,31966.665720
0,11,1234120,1234120,31966.665483
0,12,740472,740472,31966.665957
0,13,1727768,1727768,31966.665010
0,14,493648,493648,31966.666193
0,15,493648,493648,31966.666193
0,16,493648,493648,31966.666193
0,17,740472,740472,31966.665957
0,18,493648,493648,31966.666193
0,19,493648,493648,31966.666193
0,20,493648,493648,31966.666193
0,21,493648,493648,31966.666193
0,22,493648,493648,31966.666193
0,23,493648,493648,31966.666193
0,24,493648,493648,31966.666193
0,25,493648,493648,31966.666193
0,26,493648,493648,31966.666193
0,27,493648,493648,31966.666193
0,28,493648,493648,31966.666193
0,29,493648,493648,31966.666193
1,0,1974592,1974592,31966.664773
1,1,1974592,1974592,31966.664773
1,2,1234120,1234120,31966.665483
1,3,1480944,1480944,31966.665246
1,4,1727768,1727768,31966.665010
1,5,493648,493648,31966.666193
1,6,1480944,1480944,31966.665246
1,7,1480944,1480944,31966.665246
1,8,740472,740472,31966.665957
1,9,740472,740472,31966.665957
1,10,987296,987296,31966.665720
1,11,1234120,1234120,31966.665483
1,12,740472,740472,31966.665957
1,13,1727768,1727768,31966.665010
1,14,493648,493648,31966.666193
1,15,493648,493648,31966.666193
1,16,493648,493648,31966.666193
1,17,740472,740472,31966.665957
1,18,493648,493648,31966.666193
1,19,493648,493648,31966.666193
1,20,493648,493648,31966.666193
1,21,493648,493648,31966.666193
1,22,493648,493648,31966.666193
1,23,493648,493648,31966.666193
1,24,493648,493648,31966.666193
1,25,493648,493648,31966.666193
1,26,493648,493648,31966.666193
1,27,493648,493648,31966.666193
1,28,493648,493648,31966.666193
1,29,493648,493648,31966.666193
2,0,1480944,1480944,31966.665246
2,1,1727768,1727768,31966.665010
2,2,1234120,1234120,31966.665483
2,3,1480944,1480944,31966.665246
2,4,1234120,1234120,31966.665483
2,5,740472,740472,31966.665957
2,6,1480944,1480944,31966.665246
2,7,1480944,1480944,31966.665246
2,8,740472,740472,31966.665957
2,9,493648,493648,31966.666193
2,10,987296,987296,31966.665720
2,11,1234120,1234120,31966.665483
2,12,740472,740472,31966.665957
2,13,1480944,1480944,31966.665246
2,14,493648,493648,31966.666193
2,15,493648,493648,31966.666193
2,16,493648,493648,31966.666193
2,17,740472,740472,31966.665957
2,18,493648,493648,31966.666193
2,19,493648,493648,31966.666193
2,20,493648,493648,31966.666193
2,21,493648,493648,31966.666193
2,22,493648,493648,31966.666193
2,23,493648,493648,31966.666193
2,24,493648,493648,31966.666193
2,25,493648,493648,31966.666193
2,26,493648,493648,31966.666193
2,27,493648,493648,31966.666193
2,28,493648,493648,31966.666193
2,29,493648,493648,31966.666193
3,0,2221416,2221416,31966.664536
3,1,1234120,1234120,31966.665483
3,2,1234120,1234120,31966.665483
3,3,1480944,1480944,31966.665246
3,4,1234120,1234120,31966.665483
3,5,493648,493648,31966.666193
3,6,1480944,1480944,31966.665246
3,7,1480944,1480944,31966.665246
3,8,740472,740472,31966.665957
3,9,740472,740472,31966.665957
3,10,987296,987296,31966.665720
3,11,1234120,1234120,31966.665483
3,12,740472,740472,31966.665957
3,13,1727768,1727768,31966.665010
3,14,493648,493648,31966.666193
3,15,493648,493648,31966.666193
3,16,493648,493648,31966.666193
3,17,740472,740472,31966.665957
3,18,493648,493648,31966.666193
3,19,493648,493648,31966.666193
3,20,493648,493648,31966.666193
3,21,493648,493648,31966.666193
3,22,493648,493648,31966.666193
3,23,493648,493648,31966.666193
3,24,493648,493648,31966.666193
3,25,493648,493648,31966.666193
3,26,493648,493648,31966.666193
3,27,493648,493648,31966.666193
3,28,493648,493648,31966.666193
3,29,493648,493648,31966.666193
4,0,1974592,1974592,31966.664773
4,1,1727768,1727768,31966.665010
4,2,1234120,1234120,31966.665483
4,3,1974592,1974592,31966.664773
4,4,1234120,1234120,31966.665483
4,5,493648,493648,31966.666193
4,6,1480944,1480944,31966.665246
4,7,1480944,1480944,31966.665246
4,8,740472,740472,31966.665957
4,9,740472,740472,31966.665957
4,10,987296,987296,31966.665720
4,11,1234120,1234120,31966.665483
4,12,740472,740472,31966.665957
4,13,1480944,1480944,31966.665246
4,14,493648,493648,31966.666193
4,15,493648,493648,31966.666193
4,16,493648,493648,31966.666193
4,17,740472,740472,31966.665957
4,18,493648,493648,31966.666193
4,19,493648,493648,31966.666193
4,20,493648,493648,31966.666193
4,21,493648,493648,31966.666193
4,22,493648,493648,31966.666193
4,23,493648,493648,31966.666193
4,24,493648,493648,31966.666193
4,25,493648,493648,31966.666193
4,26,493648,493648,31966.666193
4,27,493648,493648,31966.666193
4,28,493648,493648,31966.666193
4,29,493648,493648,31966.666193
5,0,2221416,2221416,31966.664536
5,1,1480944,1480944,31966.665246
5,2,1234120,1234120,31966.665483
5,3,1480944,1480944,31966.665246
5,4,987296,987296,31966.665720
5,5,740472,740472,31966.665957
5,6,1480944,1480944,31966.665246
5,7,1234120,1234120,31966.665483
5,8,740472,740472,31966.665957
5,9,740472,740472,31966.665957
5,10,987296,987296,31966.665720
5,11,1234120,1234120,31966.665483
5,12,740472,740472,31966.665957
5,13,1727768,1727768,31966.665010
5,14,493648,493648,31966.666193
5,15,493648,493648,31966.666193
5,16,493648,493648,31966.666193
5,17,740472,740472,31966.665957
5,18,493648,493648,31966.666193
5,19,493648,493648,31966.666193
5,20,493648,493648,31966.666193
5,21,493648,493648,31966.666193
5,22,493648,493648,31966.666193
5,23,493648,493648,31966.666193
5,24,493648,493648,31966.666193
5,25,493648,493648,31966.666193
5,26,493648,493648,31966.666193
5,27,493648,493648,31966.666193
5,28,493648,493648,31966.666193
5,29,493648,493648,31966.666193
6,0,1727768,1727768,32049.998339
6,1,1727768,1727768,32049.998339
6,2,1234120,1234120,32049.998813
6,3,1480944,1480944,32049.998576
6,4,1234120,1234120,32049.998813
6,5,493648,493648,32049.999525
6,6,1234120,1234120,32049.998813
6,7,1480944,1480944,32049.998576
6,8,740472,740472,32049.999288
6,9,493648,493648,32049.999525
6,10,987296,987296,32049.999051
6,11,1234120,1234120,32049.998813
6,12,740472,740472,32049.999288
6,13,1727768,1727768,32049.998339
6,14,493648,493648,32049.999525
6,15,493648,493648,32049.999525
6,16,740472,740472,32049.999288
6,17,740472,740472,32049.999288
6,18,493648,493648,32049.999525
6,19,740472,740472,32049.999288
6,20,493648,493648,32049.999525
6,21,493648,493648,32049.999525
6,22,493648,493648,32049.999525
6,23,493648,493648,32049.999525
6,24,493648,493648,32049.999525
6,25,493648,493648,32049.999525
6,26,493648,493648,32049.999525
6,27,493648,493648,32049.999525
6,28,493648,493648,32049.999525
6,29,493648,493648,32049.999525
7,0,1727768,1727768,31966.665010
7,1,1480944,1480944,31966.665246
7,2,1480944,1480944,31966.665246
7,3,1480944,1480944,31966.665246
7,4,1480944,1480944,31966.665246
7,5,493648,493648,31966.666193
7,6,1480944,1480944,31966.665246
7,7,1234120,1234120,31966.665483
7,8,740472,740472,31966.665957
7,9,740472,740472,31966.665957
7,10,987296,987296,31966.665720
7,11,1234120,1234120,31966.665483
7,12,740472,740472,31966.665957
7,13,1727768,1727768,31966.665010
7,14,493648,493648,31966.666193
7,15,493648,493648,31966.666193
7,16,493648,493648,31966.666193
7,17,740472,740472,31966.665957
7,18,493648,493648,31966.666193
7,19,493648,493648,31966.666193
7,20,493648,493648,31966.666193
7,21,493648,493648,31966.666193
7,22,493648,493648,31966.666193
7,23,493648,493648,31966.666193
7,24,493648,493648,31966.666193
7,25,493648,493648,31966.666193
7,26,493648,493648,31966.666193
7,27,493648,493648,31966.666193
7,28,493648,493648,31966.666193
7,29,493648,493648,31966.666193
8,0,1974592,1974592,32049.998101
8,1,1480944,1480944,32049.998576
8,2,1234120,1234120,32049.998813
8,3,1974592,1974592,32049.998101
8,4,987296,987296,32049.999051
8,5,740472,740472,32049.999288
8,6,1234120,1234120,32049.998813
8,7,1480944,1480944,32049.998576
8,8,740472,740472,32049.999288
8,9,740472,740472,32049.999288
8,10,987296,987296,32049.999051
8,11,1234120,1234120,32049.998813
8,12,740472,740472,32049.999288
8,13,1480944,1480944,32049.998576
8,14,493648,493648,32049.999525
8,15,493648,493648,32049.999525
8,16,740472,740472,32049.999288
8,17,740472,740472,32049.999288
8,18,493648,493648,32049.999525
8,19,740472,740472,32049.999288
8,20,493648,493648,32049.999525
8,21,493648,493648,32049.999525
8,22,493648,493648,32049.999525
8,23,493648,493648,32049.999525
8,24,493648,493648,32049.999525
8,25,493648,493648,32049.999525
8,26,493648,493648,32049.999525
8,27,493648,493648,32049.999525
8,28,493648,493648,32049.999525
8,29,493648,493648,32049.999525
9,0,1974592,1974592,31966.664773
9,1,1234120,1234120,31966.665483
9,2,1234120,1234120,31966.665483
9,3,1480944,1480944,31966.665246
9,4,740472,740472,31966.665957
9,5,740472,740472,31966.665957
9,6,1234120,1234120,31966.665483
9,7,1234120,1234120,31966.665483
9,8,740472,740472,31966.665957
9,9,493648,493648,31966.666193
9,10,987296,987296,31966.665720
9,11,1234120,1234120,31966.665483
9,12,740472,740472,31966.665957
9,13,1480944,1480944,31966.665246
9,14,493648,493648,31966.666193
9,15,493648,493648,31966.666193
9,16,493648,493648,31966.666193
9,17,740472,740472,31966.665957
9,18,493648,493648,31966.666193
9,19,493648,493648,31966.666193
9,20,493648,493648,31966.666193
9,21,493648,493648,31966.666193
9,22,493648,493648,31966.666193
9,23,493648,493648,31966.666193
9,24,493648,493648,31966.666193
9,25,493648,493648,31966.666193
9,26,493648,493648,31966.666193
9,27,493648,493648,31966.666193
9,28,493648,493648,31966.666193
9,29,493648,493648,31966.666193
10,0,1727768,1727768,32049.998339
10,1,1480944,1480944,32049.998576
10,2,1234120,1234120,32049.998813
10,3,1727768,1727768,32049.998339
10,4,1480944,1480944,32049.998576
10,5,493648,493648,32049.999525
10,6,1480944,1480944,32049.998576
10,7,1480944,1480944,32049.998576
10,8,740472,740472,32049.999288
10,9,493648,493648,32049.999525
10,10,987296,987296,32049.999051
10,11,1234120,1234120,32049.998813
10,12,740472,740472,32049.999288
