round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,1679,24,43,0
1,1679,23,43,0
2,1679,23,43,0
3,1679,23,43,0
4,1679,23,43,0
5,1679,23,43,0
6,1679,23,43,0
7,1679,23,43,0
8,1679,23,43,0
9,1679,23,43,0
10,1679,23,43,0
11,1679,23,43,0
12,1679,23,43,0
13,1679,23,43,0
14,1679,23,43,0
15,1679,23,43,0
16,1679,23,43,0
17,1679,23,43,0
18,1679,23,43,0
19,1679,23,43,0
20,1679,23,43,0
21,1679,23,43,0
22,1679,23,43,0
23,1679,23,43,0
24,1679,23,43,0
25,1679,23,43,0
26,1679,23,43,0
27,1679,23,43,0
28,1679,23,43,0
29,1679,23,43,0
30,1679,23,43,0
31,1679,23,43,0
32,1679,23,43,0
33,1679,23,43,0
34,1679,23,43,0
35,1679,23,43,0
36,1679,23,43,0
37,1679,23,43,0
38,1679,23,43,0
39,1679,23,43,0
40,1679,23,43,0
41,1679,23,43,0
42,1679,23,43,0
43,1679,23,43,0
44,1679,23,43,0
45,1679,23,43,0
46,1679,23,43,0
47,1679,23,43,0
48,1679,23,43,0
49,1679,23,43,0
50,1679,23,43,0
51,1679,23,43,0
52,1679,23,43,0
53,1679,23,43,0
54,1679,23,43,0
55,1679,23,43,0
56,1679,23,43,0
57,1679,23,43,0
58,1679,23,43,0
59,1679,23,43,0
60,1679,23,43,0
61,1679,23,43,0
62,1679,23,43,0
63,1679,23,43,0
64,1679,24,43,0
65,1679,23,43,0
66,1679,23,43,0
67,1679,23,43,0
68,1679,23,43,0
69,1679,23,43,0
70,1679,23,43,0
71,1679,23,43,0
72,1679,23,43,0
73,1679,23,43,0
74,1679,23,43,0
75,1679,23,43,0
76,1679,23,43,0
77,1679,23,43,0
78,1679,23,43,0
79,1679,23,43,0
80,1679,23,43,0
81,1679,23,43,0
82,1679,23,43,0
83,1679,23,43,0
84,1679,23,43,0
85,1679,23,43,0
86,1679,23,43,0
87,1679,23,43,0
88,1679,23,43,0
89,1679,23,43,0
90,1679,23,43,0
91,1679,23,43,0
92,1679,23,43,0
93,1679,23,43,0
94,1679,23,43,0
95,1679,23,43,0
96,1679,23,43,0
97,1679,23,43,0
98,1679,23,43,0
99,1679,23,43,0
