round,scope,value
0,global,0.759001284
0,inter_cluster,0.761678391
0,consensus,0.515129485
1,global,1.005871534
1,inter_cluster,1.006357639
1,consensus,0.689428911
2,global,1.124259455
2,inter_cluster,1.128465008
2,consensus,0.771020029
3,global,1.241398797
3,inter_cluster,1.248619179
3,consensus,0.851924702
4,global,1.333456064
4,inter_cluster,1.341836132
4,consensus,0.915223842
5,global,1.382431397
5,inter_cluster,1.392903335
5,consensus,0.948676852
6,global,1.440318602
6,inter_cluster,1.449339511
6,consensus,0.991634417
7,global,1.484021525
7,inter_cluster,1.493164631
7,consensus,1.023226015
8,global,1.507263916
8,inter_cluster,1.514885583
8,consensus,1.041775556
9,global,1.510986679
9,inter_cluster,1.520070203
9,consensus,1.044772439
10,global,1.518556453
10,inter_cluster,1.521711472
10,consensus,1.051221234
11,global,1.499230702
11,inter_cluster,1.501421697
11,consensus,1.039062856
12,global,1.485180069
12,inter_cluster,1.487150163
12,consensus,1.030842678
13,global,1.457358918
13,inter_cluster,1.457243058
13,consensus,1.011366977
14,global,1.475267919
14,inter_cluster,1.475336330
14,consensus,1.023938075
15,global,1.450700520
15,inter_cluster,1.448676512
15,consensus,1.007103956
16,global,1.439694934
16,inter_cluster,1.439646377
16,consensus,0.998419983
17,global,1.381382517
17,inter_cluster,1.379773711
17,consensus,0.959676383
18,global,1.394729267
18,inter_cluster,1.394212372
18,consensus,0.968056752
19,global,1.352634682
19,inter_cluster,1.351613470
19,consensus,0.940325663
20,global,1.307823203
20,inter_cluster,1.305476502
20,consensus,0.909293550
21,global,1.305405730
21,inter_cluster,1.302301426
21,consensus,0.904086563
22,global,1.341962658
22,inter_cluster,1.340601804
22,consensus,0.927620487
23,global,1.322830508
23,inter_cluster,1.319692127
23,consensus,0.918576753
24,global,1.275302517
24,inter_cluster,1.273860028
24,consensus,0.886761279
25,global,1.222194636
25,inter_cluster,1.220697025
25,consensus,0.850132682
26,global,1.175745168
26,inter_cluster,1.174114292
26,consensus,0.819380065
27,global,1.157785640
27,inter_cluster,1.154978305
27,consensus,0.804358082
28,global,1.163880851
28,inter_cluster,1.161797651
28,consensus,0.807204181
29,global,1.150622719
29,inter_cluster,1.147923152
29,consensus,0.796216569
30,global,1.125592502
30,inter_cluster,1.124484190
30,consensus,0.780740024
31,global,1.157826464
31,inter_cluster,1.157853275
31,consensus,0.796984644
32,global,1.137914842
32,inter_cluster,1.137452473
32,consensus,0.787775918
33,global,1.167950506
33,inter_cluster,1.168380362
33,consensus,0.805516411
34,global,1.118982207
34,inter_cluster,1.120291761
34,consensus,0.773804824
35,global,1.089247047
35,inter_cluster,1.092563247
35,consensus,0.756062116
36,global,1.116785794
36,inter_cluster,1.119262179
36,consensus,0.772908959
37,global,1.067859094
37,inter_cluster,1.066860603
37,consensus,0.740066035
38,global,1.071806703
38,inter_cluster,1.075839930
38,consensus,0.741250710
39,global,1.023028814
39,inter_cluster,1.024847632
39,consensus,0.707990289
40,global,0.991712781
40,inter_cluster,0.994700841
40,consensus,0.686359585
41,global,1.048020087
41,inter_cluster,1.052349461
41,consensus,0.722695001
42,global,1.057201230
42,inter_cluster,1.058087273
42,consensus,0.728999629
43,global,1.037149358
43,inter_cluster,1.040621628
43,consensus,0.716951278
44,global,1.044387358
44,inter_cluster,1.046215452
44,consensus,0.717361779
45,global,1.103031681
45,inter_cluster,1.100930703
45,consensus,0.751398358
46,global,1.026217983
46,inter_cluster,1.024802098
46,consensus,0.705078595
47,global,1.005047663
47,inter_cluster,1.004263834
47,consensus,0.694033582
48,global,0.976584427
48,inter_cluster,0.977201947
48,consensus,0.674630231
49,global,0.980893189
49,inter_cluster,0.979717341
49,consensus,0.674511201
50,global,0.935415663
50,inter_cluster,0.935606310
50,consensus,0.646447431
51,global,0.919866307
51,inter_cluster,0.919147732
51,consensus,0.635520020
52,global,0.907501403
52,inter_cluster,0.908423408
52,consensus,0.626527759
53,global,0.905535827
53,inter_cluster,0.905212094
53,consensus,0.623502292
54,global,0.889877711
54,inter_cluster,0.889967010
54,consensus,0.614553996
55,global,1.051316690
55,inter_cluster,1.057371772
55,consensus,0.711112916
56,global,1.023981976
56,inter_cluster,1.032746488
56,consensus,0.695958746
57,global,1.010830217
57,inter_cluster,1.021429837
57,consensus,0.690512165
58,global,0.994359617
58,inter_cluster,1.001454146
58,consensus,0.683507392
59,global,0.937766331
59,inter_cluster,0.941706383
59,consensus,0.647447242
60,global,0.933020514
60,inter_cluster,0.937397168
60,consensus,0.643150991
61,global,0.920657590
61,inter_cluster,0.924610737
61,consensus,0.636461905
62,global,0.955282495
62,inter_cluster,0.957805219
62,consensus,0.657732990
63,global,0.925736071
63,inter_cluster,0.928984098
63,consensus,0.637990913
64,global,0.935065997
64,inter_cluster,0.939870283
64,consensus,0.641542931
65,global,0.927106816
65,inter_cluster,0.933256694
65,consensus,0.636679872
66,global,0.916312810
66,inter_cluster,0.920835587
66,consensus,0.631802559
67,global,0.889675475
67,inter_cluster,0.893844558
67,consensus,0.615079015
68,global,0.912661027
68,inter_cluster,0.915249055
68,consensus,0.628688343
69,global,0.918669617
69,inter_cluster,0.919781659
69,consensus,0.632223427
70,global,0.919778208
70,inter_cluster,0.921568394
70,consensus,0.634791642
71,global,0.898613503
71,inter_cluster,0.905266879
71,consensus,0.622784358
72,global,0.936060329
72,inter_cluster,0.946101487
72,consensus,0.644832451
73,global,0.976950699
73,inter_cluster,0.981599640
73,consensus,0.670414145
74,global,0.958790823
74,inter_cluster,0.960263096
74,consensus,0.663041351
75,global,1.004359496
75,inter_cluster,1.006943279
75,consensus,0.688515163
76,global,0.969440198
76,inter_cluster,0.970328982
76,consensus,0.666482291
77,global,1.028418766
77,inter_cluster,1.032163335
77,consensus,0.705021406
78,global,1.041752526
78,inter_cluster,1.046438023
78,consensus,0.713172014
