round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,918,20,40,0
1,918,20,40,0
2,918,21,40,0
3,918,22,40,0
4,918,21,40,0
5,918,22,40,0
6,923,21,41,0
7,923,20,41,0
8,918,21,40,0
9,918,21,40,0
10,923,21,41,0
11,923,21,41,0
12,923,21,41,0
13,918,20,40,0
14,923,21,41,0
15,918,22,40,0
16,923,22,41,0
17,923,22,40,0
18,923,21,41,0
19,923,22,41,0
20,923,21,41,0
21,918,20,40,0
22,923,21,41,0
23,923,21,41,0
24,918,22,40,0
25,923,21,41,0
26,923,22,41,0
27,923,21,41,0
28,923,21,41,0
29,918,21,40,0
30,923,21,41,0
31,923,21,41,0
32,923,22,41,0
33,923,21,41,0
34,923,22,41,0
35,918,21,40,0
36,918,20,40,0
37,923,22,41,0
38,923,21,41,0
39,923,21,41,0
40,923,21,41,0
41,918,21,40,0
42,923,22,41,0
43,923,21,41,0
44,923,22,41,0
45,923,21,41,0
46,923,22,41,0
47,923,21,41,0
48,918,20,40,0
49,918,22,40,0
50,918,22,40,0
51,918,21,40,0
52,918,21,40,0
53,918,21,40,0
54,918,20,40,0
55,918,21,40,0
56,918,20,40,0
57,918,21,40,0
58,918,21,40,0
59,918,21,40,0
60,918,21,40,0
61,918,21,40,0
62,918,20,40,0
63,918,20,40,0
64,918,21,40,0
65,918,21,40,0
66,918,21,40,0
67,918,21,40,0
68,918,20,40,0
69,918,21,40,0
70,918,21,40,0
71,918,21,40,0
72,918,20,40,0
73,918,21,40,0
74,918,20,40,0
75,918,20,40,0
76,918,20,40,0
77,918,21,40,0
78,918,20,40,0
79,918,21,40,0
80,918,20,40,0
81,918,21,40,0
82,918,21,40,0
83,918,21,40,0
84,918,21,40,0
85,918,21,40,0
86,918,21,40,0
87,918,21,40,0
88,918,21,40,0
89,918,21,40,0
90,918,20,40,0
91,918,20,40,0
92,918,21,40,0
93,918,21,40,0
94,918,21,40,0
95,918,21,40,0
96,918,20,40,0
97,918,21,40,0
98,918,21,40,0
99,918,20,40,0
