round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,2;8,2221416,2221416,30,1,918,888
0,1,0;2,1480944,1480944,104,64,918,814
0,2,0;10,1480944,1480944,41,16,918,877
0,3,0;5,1727768,1727768,55,21,918,863
0,4,3;6,1480944,1480944,184,148,918,734
0,5,3;6,493648,493648,109,99,918,809
0,6,4;5,1234120,1234120,58,20,918,860
0,7,2;4,1480944,1480944,81,40,918,837
0,8,0;1,740472,740472,70,50,918,848
0,9,0;10,493648,493648,153,141,918,765
0,10,2;9,987296,987296,148,121,918,770
0,11,0;7,1234120,1234120,102,68,918,816
0,12,0;4,740472,740472,104,75,918,814
0,13,0;4,1727768,1727768,94,61,918,824
0,14,1;13,493648,493648,96,84,918,822
0,15,3;13,493648,493648,407,385,918,511
0,16,11;12,493648,493648,721,690,918,197
0,17,3;7,740472,740472,526,491,918,392
0,18,4;7,493648,493648,909,873,918,9
0,19,7;25,493648,493648,608,563,918,310
0,20,3;6,493648,493648,626,591,918,292
0,21,2;13,493648,493648,672,645,918,246
0,22,3;10,493648,493648,205,183,918,713
0,23,1;6,493648,493648,617,577,918,301
0,24,0;6,493648,493648,435,406,918,483
0,25,13;19,493648,493648,737,692,918,181
0,26,10;11,493648,493648,132,103,918,786
0,27,11;13,493648,493648,358,324,918,560
0,28,2;8,493648,493648,389,369,918,529
0,29,1;17,493648,493648,432,397,918,486
1,0,1;13,1974592,1974592,30,1,918,888
1,1,4;14,1974592,1974592,104,64,918,814
1,2,0;7,1234120,1234120,41,16,918,877
1,3,1;4,1480944,1480944,55,21,918,863
1,4,7;13,1727768,1727768,184,148,918,734
1,5,1;6,493648,493648,112,99,918,806
1,6,4;9,1480944,1480944,58,20,918,860
1,7,4;11,1480944,1480944,81,40,918,837
1,8,0;1,740472,740472,70,50,918,848
1,9,0;6,740472,740472,153,141,918,765
1,10,2;9,987296,987296,148,121,918,770
1,11,0;7,1234120,1234120,102,68,918,816
1,12,0;4,740472,740472,104,75,918,814
1,13,0;14,1727768,1727768,94,61,918,824
1,14,1;13,493648,493648,96,84,918,822
1,15,3;13,493648,493648,407,385,918,511
1,16,11;12,493648,493648,721,690,918,197
1,17,3;7,740472,740472,526,491,918,392
1,18,4;7,493648,493648,909,873,918,9
1,19,7;25,493648,493648,608,563,918,310
1,20,3;6,493648,493648,626,591,918,292
1,21,2;13,493648,493648,672,645,918,246
1,22,3;10,493648,493648,205,183,918,713
1,23,1;6,493648,493648,617,577,918,301
1,24,0;6,493648,493648,435,406,918,483
1,25,13;19,493648,493648,737,692,918,181
1,26,10;11,493648,493648,132,103,918,786
1,27,11;13,493648,493648,358,324,918,560
1,28,2;8,493648,493648,389,369,918,529
1,29,1;17,493648,493648,432,397,918,486
2,0,1;12,1480944,1480944,30,1,918,888
2,1,2;14,1974592,1974592,104,64,918,814
2,2,7;10,1234120,1234120,41,16,918,877
2,3,1;4,1480944,1480944,55,21,918,863
2,4,7;12,1234120,1234120,184,148,918,734
2,5,1;6,493648,493648,112,99,918,806
2,6,4;5,1480944,1480944,58,20,918,860
2,7,2;4,1480944,1480944,81,40,918,837
2,8,0;1,740472,740472,70,50,918,848
2,9,6;10,493648,493648,152,141,918,766
2,10,2;9,987296,987296,148,121,918,770
2,11,0;7,1234120,1234120,102,68,918,816
2,12,0;4,740472,740472,104,75,918,814
2,13,0;14,1480944,1480944,94,61,918,824
2,14,1;13,493648,493648,96,84,918,822
2,15,3;13,493648,493648,407,385,918,511
2,16,11;12,493648,493648,721,690,918,197
2,17,3;7,740472,740472,526,491,918,392
2,18,4;7,493648,493648,909,873,918,9
2,19,7;25,493648,493648,608,563,918,310
2,20,3;6,493648,493648,626,591,918,292
2,21,2;13,493648,493648,672,645,918,246
2,22,3;10,493648,493648,205,183,918,713
2,23,1;6,493648,493648,617,577,918,301
2,24,0;6,493648,493648,435,406,918,483
2,25,13;19,493648,493648,737,692,918,181
2,26,10;11,493648,493648,132,103,918,786
2,27,11;13,493648,493648,358,324,918,560
2,28,2;8,493648,493648,389,369,918,529
2,29,1;17,493648,493648,432,397,918,486
3,0,11;12,1727768,1727768,30,1,918,888
3,1,0;14,1480944,1480944,104,64,918,814
3,2,7;10,987296,987296,41,16,918,877
3,3,0;4,1480944,1480944,55,21,918,863
3,4,7;12,1480944,1480944,184,148,918,734
3,5,1;6,493648,493648,112,99,918,806
3,6,4;5,1234120,1234120,58,20,918,860
3,7,4;11,1480944,1480944,81,40,918,837
3,8,0;1,740472,740472,70,50,918,848
3,9,0;10,493648,493648,153,141,918,765
3,10,2;9,987296,987296,148,121,918,770
3,11,0;7,1234120,1234120,102,68,918,816
3,12,0;4,740472,740472,104,75,918,814
3,13,4;14,1480944,1480944,94,61,918,824
3,14,1;13,493648,493648,96,84,918,822
3,15,3;13,493648,493648,407,385,918,511
3,16,11;12,493648,493648,721,690,918,197
3,17,3;7,740472,740472,526,491,918,392
3,18,4;7,493648,493648,909,873,918,9
3,19,7;25,493648,493648,608,563,918,310
3,20,3;6,493648,493648,626,591,918,292
3,21,2;13,493648,493648,672,645,918,246
3,22,3;10,493648,493648,205,183,918,713
3,23,1;6,493648,493648,617,577,918,301
3,24,0;6,493648,493648,435,406,918,483
3,25,13;19,493648,493648,737,692,918,181
3,26,10;11,493648,493648,132,103,918,786
3,27,11;13,493648,493648,358,324,918,560
3,28,2;8,493648,493648,389,369,918,529
3,29,1;17,493648,493648,432,397,918,486
4,0,3;12,1727768,1727768,30,1,918,888
4,1,0;14,1234120,1234120,104,64,918,814
4,2,7;10,987296,987296,41,16,918,877
4,3,0;4,1727768,1727768,55,21,918,863
4,4,6;7,1480944,1480944,184,148,918,734
4,5,3;6,493648,493648,109,99,918,809
4,6,4;9,1480944,1480944,58,20,918,860
4,7,4;11,1480944,1480944,81,40,918,837
4,8,0;1,740472,740472,70,50,918,848
4,9,0;6,740472,740472,153,141,918,765
4,10,2;9,987296,987296,148,121,918,770
4,11,0;7,1234120,1234120,102,68,918,816
4,12,0;4,740472,740472,104,75,918,814
4,13,4;14,1480944,1480944,94,61,918,824
4,14,1;13,493648,493648,96,84,918,822
4,15,3;13,493648,493648,407,385,918,511
4,16,11;12,493648,493648,721,690,918,197
4,17,3;7,740472,740472,526,491,918,392
4,18,4;7,493648,493648,909,873,918,9
4,19,7;25,493648,493648,608,563,918,310
4,20,3;6,493648,493648,626,591,918,292
4,21,2;13,493648,493648,672,645,918,246
4,22,3;10,493648,493648,205,183,918,713
4,23,1;6,493648,493648,617,577,918,301
4,24,0;6,493648,493648,435,406,918,483
4,25,13;19,493648,493648,737,692,918,181
4,26,10;11,493648,493648,132,103,918,786
4,27,11;13,493648,493648,358,324,918,560
4,28,2;8,493648,493648,389,369,918,529
4,29,1;17,493648,493648,432,397,918,486
5,0,11;12,1480944,1480944,30,1,918,888
5,1,5;14,1234120,1234120,104,64,918,814
5,2,7;10,987296,987296,41,16,918,877
5,3,4;5,1480944,1480944,55,21,918,863
5,4,3;7,1480944,1480944,184,148,918,734
5,5,1;3,493648,493648,112,99,918,806
5,6,4;9,1234120,1234120,58,20,918,860
5,7,2;4,1480944,1480944,81,40,918,837
5,8,0;1,740472,740472,70,50,918,848
5,9,0;10,740472,740472,153,141,918,765
5,10,2;9,987296,987296,148,121,918,770
5,11,0;7,1234120,1234120,102,68,918,816
