round,scope,value
0,global,0.759001446
0,inter_cluster,0.761678558
0,consensus,0.515129576
1,global,1.001269086
1,inter_cluster,1.005478803
1,consensus,0.691875278
2,global,1.119384477
2,inter_cluster,1.125026866
2,consensus,0.773435131
3,global,1.185541952
3,inter_cluster,1.198989249
3,consensus,0.817473479
4,global,1.234886962
4,inter_cluster,1.242327413
4,consensus,0.849158719
5,global,1.240774336
5,inter_cluster,1.245169765
5,consensus,0.853285759
6,global,1.319323777
6,inter_cluster,1.318145385
6,consensus,0.914580797
7,global,1.282568052
7,inter_cluster,1.279207502
7,consensus,0.886886667
8,global,1.276267661
8,inter_cluster,1.280974266
8,consensus,0.882015255
9,global,1.252289127
9,inter_cluster,1.253970761
9,consensus,0.869073702
10,global,1.253160495
10,inter_cluster,1.252362417
10,consensus,0.867983821
11,global,1.204934912
11,inter_cluster,1.209300371
11,consensus,0.832022025
12,global,1.150639911
12,inter_cluster,1.148660238
12,consensus,0.796368876
13,global,1.123872861
13,inter_cluster,1.124065780
13,consensus,0.777661238
14,global,1.121624324
14,inter_cluster,1.122146609
14,consensus,0.777112126
15,global,1.085249121
15,inter_cluster,1.081638372
15,consensus,0.748694535
16,global,1.037113260
16,inter_cluster,1.035550132
16,consensus,0.719713920
17,global,1.091691839
17,inter_cluster,1.089975078
17,consensus,0.753668268
18,global,1.092186382
18,inter_cluster,1.095823553
18,consensus,0.752655405
19,global,0.983874684
19,inter_cluster,0.985106804
19,consensus,0.682562242
20,global,1.048526181
20,inter_cluster,1.050215771
20,consensus,0.721291114
21,global,1.028577352
21,inter_cluster,1.026823103
21,consensus,0.709525770
22,global,0.970713342
22,inter_cluster,0.972116944
22,consensus,0.672996314
23,global,0.977090882
23,inter_cluster,0.975412509
23,consensus,0.679043558
24,global,0.922074282
24,inter_cluster,0.923865002
24,consensus,0.637645086
25,global,0.943267886
25,inter_cluster,0.943220442
25,consensus,0.649425133
26,global,0.948711514
26,inter_cluster,0.951751787
26,consensus,0.650017823
27,global,0.962261423
27,inter_cluster,0.963801025
27,consensus,0.656295908
28,global,0.982807983
28,inter_cluster,0.985590529
28,consensus,0.665881565
29,global,0.974131029
29,inter_cluster,0.983174715
29,consensus,0.665887322
30,global,0.966550957
30,inter_cluster,0.973690061
30,consensus,0.660840002
31,global,1.043689154
31,inter_cluster,1.049958214
31,consensus,0.707441506
32,global,0.954532553
32,inter_cluster,0.959889748
32,consensus,0.650881851
33,global,0.872285475
33,inter_cluster,0.878193850
33,consensus,0.600599339
34,global,0.778978852
34,inter_cluster,0.780617228
34,consensus,0.534803535
35,global,0.847451725
35,inter_cluster,0.852242576
35,consensus,0.577663288
36,global,0.935246675
36,inter_cluster,0.938431141
36,consensus,0.633528087
37,global,0.864722621
37,inter_cluster,0.871218043
37,consensus,0.590325703
38,global,0.824933902
38,inter_cluster,0.829833108
38,consensus,0.564980088
39,global,0.748301828
39,inter_cluster,0.746614028
39,consensus,0.519285191
40,global,0.891596796
40,inter_cluster,0.894670002
40,consensus,0.600475668
41,global,0.840336988
41,inter_cluster,0.840926952
41,consensus,0.576567781
42,global,0.768311963
42,inter_cluster,0.771000062
42,consensus,0.526758057
43,global,0.811616681
43,inter_cluster,0.815684430
43,consensus,0.551892049
44,global,0.862036292
44,inter_cluster,0.864337111
44,consensus,0.585043227
45,global,0.791236269
45,inter_cluster,0.803665971
45,consensus,0.540353469
46,global,0.780545722
46,inter_cluster,0.784446129
46,consensus,0.532177364
47,global,0.844850298
47,inter_cluster,0.850499346
47,consensus,0.569197829
48,global,0.814074389
48,inter_cluster,0.814817826
48,consensus,0.551593160
49,global,0.951157772
49,inter_cluster,0.958542739
49,consensus,0.629233009
50,global,0.791430868
50,inter_cluster,0.799041151
50,consensus,0.537787287
51,global,0.703812161
51,inter_cluster,0.702348587
51,consensus,0.483703721
52,global,0.712947710
52,inter_cluster,0.714229890
52,consensus,0.489330522
53,global,0.746048496
53,inter_cluster,0.745689287
53,consensus,0.505494905
54,global,0.714380497
54,inter_cluster,0.716237293
54,consensus,0.490089666
55,global,0.891240622
55,inter_cluster,0.893834027
55,consensus,0.593498887
56,global,0.822548965
56,inter_cluster,0.828525281
56,consensus,0.559534333
57,global,0.720201844
57,inter_cluster,0.716452404
57,consensus,0.491725975
58,global,0.760617394
58,inter_cluster,0.763745057
58,consensus,0.518098726
59,global,0.796821681
59,inter_cluster,0.801549752
59,consensus,0.540972216
60,global,0.790211995
60,inter_cluster,0.790461532
60,consensus,0.530055411
61,global,0.749332615
61,inter_cluster,0.751831964
61,consensus,0.509139574
62,global,0.721702108
62,inter_cluster,0.722835443
62,consensus,0.490602703
63,global,0.649995787
63,inter_cluster,0.655206934
63,consensus,0.446571165
64,global,0.780968077
64,inter_cluster,0.781273626
64,consensus,0.527935675
65,global,0.689684339
65,inter_cluster,0.690668104
65,consensus,0.469708676
66,global,0.811706897
66,inter_cluster,0.818522229
66,consensus,0.542743831
67,global,0.897956075
67,inter_cluster,0.906993179
67,consensus,0.595692507
68,global,0.746584350
68,inter_cluster,0.744137082
68,consensus,0.504160257
69,global,0.684873520
69,inter_cluster,0.684762163
69,consensus,0.467559315
70,global,0.878559259
70,inter_cluster,0.878350712
70,consensus,0.591228581
71,global,0.866309426
71,inter_cluster,0.883177164
71,consensus,0.580809534
72,global,0.716155657
72,inter_cluster,0.717520460
72,consensus,0.485477717
73,global,0.825283754
73,inter_cluster,0.826220903
73,consensus,0.559981110
74,global,0.965543524
74,inter_cluster,0.968608571
74,consensus,0.649360631
75,global,0.725998185
75,inter_cluster,0.727330562
75,consensus,0.495351718
76,global,0.984809790
76,inter_cluster,0.990516402
76,consensus,0.656652355
77,global,0.718234735
77,inter_cluster,0.721476669
77,consensus,0.488740608
78,global,0.801620258
78,inter_cluster,0.812107825
78,consensus,0.533239465
79,global,0.668039705
79,inter_cluster,0.674974206
79,consensus,0.457363166
80,global,0.820292047
80,inter_cluster,0.823107548
80,consensus,0.550050760
81,global,0.816593142
81,inter_cluster,0.829756776
81,consensus,0.549917548
82,global,0.776387778
82,inter_cluster,0.781303822
82,consensus,0.524541317
83,global,0.819890570
83,inter_cluster,0.828467291
83,consensus,0.553562215
84,global,1.029324368
84,inter_cluster,1.032785238
84,consensus,0.679456708
85,global,0.798031893
85,inter_cluster,0.801832071
85,consensus,0.540104995
86,global,0.886030215
86,inter_cluster,0.896664108
86,consensus,0.595405093
87,global,0.728089292
87,inter_cluster,0.725356593
87,consensus,0.492901236
88,global,0.894806904
88,inter_cluster,0.903355905
88,consensus,0.590080803
89,global,0.775812167
89,inter_cluster,0.790009900
89,consensus,0.523849405
90,global,0.938514401
90,inter_cluster,0.939714678
90,consensus,0.609705780
91,global,0.919548498
91,inter_cluster,0.923320775
91,consensus,0.619749164
92,global,0.909012910
92,inter_cluster,0.921719708
92,consensus,0.605431413
93,global,0.746986658
93,inter_cluster,0.752577652
93,consensus,0.502774007
94,global,0.741599164
94,inter_cluster,0.750472122
94,consensus,0.502527892
95,global,0.694455894
95,inter_cluster,0.700864474
95,consensus,0.467615824
96,global,0.928689155
96,inter_cluster,0.931901285
96,consensus,0.615247534
97,global,0.684706384
97,inter_cluster,0.686667791
97,consensus,0.468486526
98,global,0.795479543
98,inter_cluster,0.800070812
98,consensus,0.533059641
99,global,0.726631594
99,inter_cluster,0.731380627
99,consensus,0.487542585
