round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,1042,25,42,0
1,1042,25,42,0
2,1042,25,42,0
3,1042,25,42,0
4,1042,24,42,0
5,1042,24,42,0
6,1042,25,42,0
7,1042,25,42,0
8,1042,25,42,0
9,1042,25,42,0
10,1042,24,42,0
11,1042,25,42,0
12,1042,25,42,0
13,1042,24,42,0
14,1042,25,42,0
15,1042,25,42,0
16,1042,24,42,0
17,1042,25,42,0
18,1042,25,42,0
19,1042,25,42,0
20,1042,25,42,0
21,1042,25,42,0
22,1042,24,42,0
23,1042,25,42,0
24,1042,24,42,0
25,1042,27,42,0
26,1042,25,42,0
27,1042,25,42,0
28,1042,25,42,0
29,1042,25,42,0
30,1042,25,42,0
31,1042,24,42,0
32,1042,25,42,0
33,1042,24,42,0
34,1042,25,42,0
35,1042,25,42,0
36,1042,25,42,0
37,1042,25,42,0
38,1042,24,42,0
39,1042,25,42,0
40,1042,25,42,0
41,1042,25,42,0
42,1042,25,40,0
43,1042,25,42,0
44,1042,25,42,0
45,1042,25,42,0
46,1042,25,42,0
47,1042,25,42,0
48,1042,25,42,0
49,1042,24,42,0
50,1042,25,42,0
51,1042,24,42,0
52,1042,24,42,0
53,1042,25,42,0
54,1042,24,42,0
55,1042,24,42,0
56,1042,24,42,0
57,1042,25,42,0
58,1042,24,42,0
59,1042,25,42,0
60,1042,22,42,0
61,1042,24,42,0
62,1042,25,42,0
63,1042,24,42,0
64,1042,24,42,0
65,1042,24,42,0
66,1042,24,42,0
67,1042,25,42,0
68,1042,25,42,0
69,1042,25,42,0
70,1042,24,42,0
71,1042,25,42,0
72,1042,25,42,0
73,1042,25,42,0
74,1042,24,42,0
75,1042,24,42,0
76,1042,24,42,0
77,1042,24,42,0
78,1042,25,42,0
79,1042,25,42,0
80,1042,24,42,0
81,1042,24,42,0
82,1042,22,42,0
83,1042,24,42,0
84,1042,24,42,0
85,1042,24,42,0
86,1042,24,42,0
87,1042,24,42,0
88,1042,25,42,0
89,1042,24,42,0
90,1042,25,42,0
91,1042,25,42,0
92,1042,25,42,0
93,1042,24,42,0
94,1042,24,42,0
95,1042,25,42,0
96,1042,24,42,0
97,1042,25,42,0
98,1042,24,42,0
99,1042,22,42,0
