round,node,idle_ticks,busy_ticks
0,0,1771,107
0,1,1834,44
0,2,1814,64
0,3,1808,70
0,4,1808,70
0,5,1830,48
0,6,1726,152
0,7,1832,46
0,8,1791,87
0,9,1819,59
0,10,1823,55
0,11,1854,24
0,12,1736,142
0,13,1809,69
0,14,1791,87
0,15,1470,408
0,16,1701,177
0,17,1130,748
0,18,1743,135
0,19,739,1139
0,20,1180,698
0,21,1583,295
0,22,1575,303
0,23,1268,610
0,24,1692,186
0,25,1158,720
0,26,1368,510
0,27,1075,803
0,28,6,1872
0,29,700,1178
1,0,1771,107
1,1,1834,44
1,2,1814,64
1,3,1808,70
1,4,1808,70
1,5,1830,48
1,6,1726,152
1,7,1832,46
1,8,1791,87
1,9,1819,59
1,10,1823,55
1,11,1854,24
1,12,1736,142
1,13,1809,69
1,14,1791,87
1,15,1470,408
1,16,1701,177
1,17,1130,748
1,18,1743,135
1,19,739,1139
1,20,1180,698
1,21,1583,295
1,22,1575,303
1,23,1268,610
1,24,1692,186
1,25,1158,720
1,26,1368,510
1,27,1075,803
1,28,6,1872
1,29,700,1178
2,0,1771,107
2,1,1834,44
2,2,1814,64
2,3,1808,70
2,4,1808,70
2,5,1830,48
2,6,1726,152
2,7,1832,46
2,8,1791,87
2,9,1819,59
2,10,1823,55
2,11,1854,24
2,12,1736,142
2,13,1809,69
2,14,1791,87
2,15,1470,408
2,16,1701,177
2,17,1130,748
2,18,1743,135
2,19,739,1139
2,20,1180,698
2,21,1583,295
2,22,1575,303
2,23,1268,610
2,24,1692,186
2,25,1158,720
2,26,1368,510
2,27,1075,803
2,28,6,1872
2,29,700,1178
3,0,1771,107
3,1,1834,44
3,2,1814,64
3,3,1808,70
3,4,1808,70
3,5,1830,48
3,6,1726,152
3,7,1832,46
3,8,1791,87
3,9,1819,59
3,10,1823,55
3,11,1854,24
3,12,1736,142
3,13,1809,69
3,14,1791,87
3,15,1470,408
3,16,1701,177
3,17,1130,748
3,18,1743,135
3,19,739,1139
3,20,1180,698
3,21,1583,295
3,22,1575,303
3,23,1268,610
3,24,1692,186
3,25,1158,720
3,26,1368,510
3,27,1075,803
3,28,6,1872
3,29,700,1178
4,0,1771,107
4,1,1834,44
4,2,1814,64
4,3,1808,70
4,4,1808,70
4,5,1830,48
4,6,1726,152
4,7,1832,46
4,8,1791,87
4,9,1819,59
4,10,1823,55
4,11,1854,24
4,12,1736,142
4,13,1809,69
4,14,1791,87
4,15,1470,408
4,16,1701,177
4,17,1130,748
4,18,1743,135
4,19,739,1139
4,20,1180,698
4,21,1583,295
4,22,1575,303
4,23,1268,610
4,24,1692,186
4,25,1158,720
4,26,1368,510
4,27,1075,803
4,28,6,1872
4,29,700,1178
5,0,1771,107
5,1,1834,44
5,2,1814,64
5,3,1808,70
5,4,1808,70
5,5,1830,48
5,6,1726,152
5,7,1832,46
5,8,1791,87
5,9,1819,59
5,10,1823,55
5,11,1854,24
5,12,1736,142
5,13,1809,69
5,14,1791,87
5,15,1470,408
5,16,1701,177
5,17,1130,748
5,18,1743,135
5,19,739,1139
5,20,1180,698
5,21,1583,295
5,22,1575,303
5,23,1268,610
5,24,1692,186
5,25,1158,720
5,26,1368,510
5,27,1075,803
5,28,6,1872
5,29,700,1178
6,0,1771,107
6,1,1834,44
6,2,1814,64
6,3,1808,70
6,4,1808,70
6,5,1830,48
6,6,1726,152
6,7,1832,46
6,8,1791,87
6,9,1819,59
6,10,1823,55
6,11,1854,24
6,12,1736,142
6,13,1809,69
6,14,1791,87
6,15,1470,408
6,16,1701,177
6,17,1130,748
6,18,1743,135
6,19,739,1139
6,20,1180,698
6,21,1583,295
6,22,1575,303
6,23,1268,610
6,24,1692,186
6,25,1158,720
6,26,1368,510
6,27,1075,803
6,28,6,1872
6,29,700,1178
7,0,1771,107
7,1,1834,44
7,2,1814,64
7,3,1808,70
7,4,1808,70
7,5,1830,48
7,6,1726,152
7,7,1832,46
7,8,1791,87
7,9,1819,59
7,10,1823,55
7,11,1854,24
7,12,1736,142
7,13,1809,69
7,14,1791,87
7,15,1470,408
7,16,1701,177
7,17,1130,748
7,18,1743,135
7,19,739,1139
7,20,1180,698
7,21,1583,295
7,22,1575,303
7,23,1268,610
7,24,1692,186
7,25,1158,720
7,26,1368,510
7,27,1075,803
7,28,6,1872
7,29,700,1178
8,0,1771,107
8,1,1834,44
8,2,1814,64
8,3,1808,70
8,4,1808,70
8,5,1830,48
8,6,1726,152
8,7,1832,46
8,8,1791,87
8,9,1819,59
8,10,1823,55
8,11,1854,24
8,12,1736,142
8,13,1809,69
8,14,1791,87
8,15,1470,408
8,16,1701,177
8,17,1130,748
8,18,1743,135
8,19,739,1139
8,20,1180,698
8,21,1583,295
8,22,1575,303
8,23,1268,610
8,24,1692,186
8,25,1158,720
8,26,1368,510
8,27,1075,803
8,28,6,1872
8,29,700,1178
9,0,1771,107
9,1,1834,44
9,2,1814,64
9,3,1808,70
9,4,1808,70
9,5,1830,48
9,6,1726,152
9,7,1832,46
9,8,1791,87
9,9,1819,59
