round,node,idle_ticks,busy_ticks
0,0,877,165
0,1,844,198
0,2,973,69
0,3,903,139
0,4,1006,36
0,5,962,80
0,6,955,87
0,7,982,60
0,8,988,54
0,9,996,46
0,10,1007,35
0,11,1003,39
0,12,853,189
0,13,961,81
0,14,962,80
0,15,28,1014
0,16,675,367
0,17,16,1026
0,18,732,310
0,19,547,495
0,20,768,274
0,21,188,854
0,22,351,691
0,23,328,714
0,24,567,475
0,25,624,418
0,26,842,200
0,27,429,613
0,28,574,468
0,29,689,353
1,0,877,165
1,1,844,198
1,2,973,69
1,3,903,139
1,4,1006,36
1,5,962,80
1,6,955,87
1,7,982,60
1,8,988,54
1,9,996,46
1,10,1007,35
1,11,1003,39
1,12,853,189
1,13,961,81
1,14,962,80
1,15,28,1014
1,16,675,367
1,17,16,1026
1,18,732,310
1,19,547,495
1,20,768,274
1,21,188,854
1,22,351,691
1,23,328,714
1,24,567,475
1,25,624,418
1,26,842,200
1,27,429,613
1,28,574,468
1,29,689,353
2,0,877,165
2,1,844,198
2,2,973,69
2,3,903,139
2,4,1006,36
2,5,962,80
2,6,955,87
2,7,982,60
2,8,988,54
2,9,996,46
2,10,1007,35
2,11,1003,39
2,12,853,189
2,13,961,81
2,14,962,80
2,15,28,1014
2,16,675,367
2,17,16,1026
2,18,732,310
2,19,547,495
2,20,768,274
2,21,188,854
2,22,351,691
2,23,328,714
2,24,567,475
2,25,624,418
2,26,842,200
2,27,429,613
2,28,574,468
2,29,689,353
3,0,877,165
3,1,844,198
3,2,973,69
3,3,903,139
3,4,1006,36
3,5,962,80
3,6,955,87
3,7,982,60
3,8,988,54
3,9,996,46
3,10,1007,35
3,11,1003,39
3,12,853,189
3,13,961,81
3,14,962,80
3,15,28,1014
3,16,675,367
3,17,16,1026
3,18,732,310
3,19,547,495
3,20,768,274
3,21,188,854
3,22,351,691
3,23,328,714
3,24,567,475
3,25,624,418
3,26,842,200
3,27,429,613
3,28,574,468
3,29,689,353
4,0,877,165
4,1,844,198
4,2,973,69
4,3,903,139
4,4,1006,36
4,5,962,80
4,6,955,87
4,7,982,60
4,8,988,54
4,9,996,46
4,10,1007,35
4,11,1003,39
4,12,853,189
4,13,961,81
4,14,962,80
4,15,28,1014
4,16,675,367
4,17,16,1026
4,18,732,310
4,19,547,495
4,20,768,274
4,21,188,854
4,22,351,691
4,23,328,714
4,24,567,475
4,25,624,418
4,26,842,200
4,27,429,613
4,28,574,468
4,29,689,353
5,0,877,165
5,1,844,198
5,2,973,69
5,3,903,139
5,4,1006,36
5,5,962,80
5,6,955,87
5,7,982,60
5,8,988,54
5,9,996,46
5,10,1007,35
5,11,1003,39
5,12,853,189
5,13,961,81
5,14,962,80
5,15,28,1014
5,16,675,367
5,17,16,1026
5,18,732,310
5,19,547,495
5,20,768,274
5,21,188,854
5,22,351,691
5,23,328,714
5,24,567,475
5,25,624,418
5,26,842,200
5,27,429,613
5,28,574,468
5,29,689,353
6,0,877,165
6,1,844,198
6,2,973,69
6,3,903,139
6,4,1006,36
6,5,962,80
6,6,955,87
6,7,982,60
6,8,988,54
6,9,996,46
6,10,1007,35
6,11,1003,39
6,12,853,189
6,13,961,81
6,14,962,80
6,15,28,1014
6,16,675,367
6,17,16,1026
6,18,732,310
6,19,547,495
6,20,768,274
6,21,188,854
6,22,351,691
6,23,328,714
6,24,567,475
6,25,624,418
6,26,842,200
6,27,429,613
6,28,574,468
6,29,689,353
7,0,877,165
7,1,844,198
7,2,973,69
7,3,903,139
7,4,1006,36
7,5,962,80
7,6,955,87
7,7,982,60
7,8,988,54
7,9,996,46
7,10,1007,35
7,11,1003,39
7,12,853,189
7,13,961,81
7,14,962,80
7,15,28,1014
7,16,675,367
7,17,16,1026
7,18,732,310
7,19,547,495
7,20,768,274
7,21,188,854
7,22,351,691
7,23,328,714
7,24,567,475
7,25,624,418
7,26,842,200
7,27,429,613
7,28,574,468
7,29,689,353
8,0,877,165
8,1,844,198
8,2,973,69
8,3,903,139
8,4,1006,36
8,5,962,80
8,6,955,87
8,7,982,60
8,8,988,54
8,9,996,46
8,10,1007,35
8,11,1003,39
8,12,853,189
8,13,961,81
8,14,962,80
8,15,28,1014
8,16,675,367
8,17,16,1026
8,18,732,310
8,19,547,495
8,20,768,274
8,21,188,854
8,22,351,691
8,23,328,714
8,24,567,475
8,25,624,418
8,26,842,200
8,27,429,613
8,28,574,468
8,29,689,353
9,0,877,165
9,1,844,198
9,2,973,69
9,3,903,139
9,4,1006,36
9,5,962,80
9,6,955,87
9,7,982,60
9,8,988,54
9,9,996,46
9,10,1007,35
9,11,1003,39
9,12,853,189
9,13,961,81
9,14,962,80
9,15,28,1014
9,16,675,367
9,17,16,1026
9,18,732,310
9,19,547,495
9,20,768,274
9,21,188,854
9,22,351,691
9,23,328,714
9,24,567,475
9,25,624,418
9,26,842,200
9,27,429,613
9,28,574,468
9,29,689,353
10,0,877,165
10,1,844,198
10,2,973,69
10,3,903,139
10,4,1006,36
10,5,962,80
10,6,955,87
10,7,982,60
10,8,988,54
10,9,996,46
10,10,1007,35
10,11,1003,39
10,12,853,189
10,13,961,81
10,14,962,80
10,15,28,1014
10,16,675,367
10,17,16,1026
10,18,732,310
10,19,547,495
10,20,768,274
10,21,188,854
10,22,351,691
10,23,328,714
10,24,567,475
10,25,624,418
10,26,842,200
10,27,429,613
10,28,574,468
10,29,689,353
11,0,877,165
11,1,844,198
11,2,973,69
11,3,903,139
11,4,1006,36
11,5,962,80
11,6,955,87
11,7,982,60
11,8,988,54
11,9,996,46
11,10,1007,35
11,11,1003,39
11,12,853,189
11,13,961,81
11,14,962,80
11,15,28,1014
11,16,675,367
11,17,16,1026
11,18,732,310
11,19,547,495
11,20,768,274
11,21,188,854
11,22,351,691
11,23,328,714
11,24,567,475
11,25,624,418
11,26,842,200
11,27,429,613
11,28,574,468
11,29,689,353
12,0,877,165
12,1,844,198
12,2,973,69
12,3,903,139
12,4,1006,36
12,5,962,80
12,6,955,87
12,7,982,60
12,8,988,54
12,9,996,46
12,10,1007,35
12,11,1003,39
12,12,853,189
12,13,961,81
12,14,962,80
12,15,28,1014
12,16,675,367
12,17,16,1026
12,18,732,310
12,19,547,495
12,20,768,274
12,21,188,854
12,22,351,691
12,23,328,714
12,24,567,475
12,25,624,418
12,26,842,200
12,27,429,613
12,28,574,468
12,29,689,353
13,0,877,165
13,1,844,198
13,2,973,69
13,3,903,139
13,4,1006,36
13,5,962,80
13,6,955,87
13,7,982,60
13,8,988,54
13,9,996,46
13,10,1007,35
13,11,1003,39
13,12,853,189
13,13,961,81
13,14,962,80
13,15,28,1014
13,16,675,367
13,17,16,1026
13,18,732,310
13,19,547,495
13,20,768,274
