round,scope,value
0,global,0.834636090
0,inter_cluster,0.833269061
0,consensus,0.573948643
1,global,0.994164934
1,inter_cluster,1.005455233
1,consensus,0.689399340
2,global,1.027538430
2,inter_cluster,1.046345351
2,consensus,0.713426012
3,global,1.105304270
3,inter_cluster,1.120843714
3,consensus,0.763450747
4,global,1.165276233
4,inter_cluster,1.184713285
4,consensus,0.805433814
5,global,1.198508648
5,inter_cluster,1.217343413
5,consensus,0.831566839
6,global,1.199156610
6,inter_cluster,1.214962960
6,consensus,0.830075213
7,global,1.147699000
7,inter_cluster,1.167140989
7,consensus,0.795859419
8,global,1.111971517
8,inter_cluster,1.127066021
8,consensus,0.770175096
9,global,1.069285823
9,inter_cluster,1.082602708
9,consensus,0.742119980
10,global,1.060130880
10,inter_cluster,1.070037483
10,consensus,0.733045819
11,global,0.968978749
11,inter_cluster,0.979382815
11,consensus,0.670424398
12,global,0.932286831
12,inter_cluster,0.939002706
12,consensus,0.643957741
13,global,0.911120216
13,inter_cluster,0.914611373
13,consensus,0.628864675
14,global,0.926076754
14,inter_cluster,0.932271521
14,consensus,0.635002160
15,global,0.884685986
15,inter_cluster,0.893692105
15,consensus,0.611944840
16,global,0.845674419
16,inter_cluster,0.850473958
16,consensus,0.583394046
17,global,0.885246443
17,inter_cluster,0.886051154
17,consensus,0.607078135
18,global,0.882675808
18,inter_cluster,0.884222088
18,consensus,0.607041095
19,global,0.817324577
19,inter_cluster,0.819873991
19,consensus,0.562579144
20,global,0.820660784
20,inter_cluster,0.820832245
20,consensus,0.563738280
21,global,0.800895706
21,inter_cluster,0.804117178
21,consensus,0.552286788
22,global,0.742053451
22,inter_cluster,0.744487149
22,consensus,0.512152419
23,global,0.772677913
23,inter_cluster,0.768515395
23,consensus,0.528791545
24,global,0.706764003
24,inter_cluster,0.706265504
24,consensus,0.487361274
25,global,0.772055368
25,inter_cluster,0.771550707
25,consensus,0.528456206
26,global,0.743183950
26,inter_cluster,0.744994027
