round,node,ul_bytes,dl_bytes,energy_mj
0,0,3455536,3455536,47966.661694
0,1,1480944,1480944,47966.664536
0,2,987296,987296,47966.665246
0,3,1234120,1234120,47966.664891
0,4,740472,740472,47966.665601
0,5,1974592,1974592,47966.663825
0,6,493648,493648,47966.665956
0,7,1480944,1480944,47966.664536
0,8,493648,493648,47966.665956
0,9,987296,987296,47966.665246
0,10,493648,493648,47966.665956
0,11,740472,740472,47966.665601
0,12,493648,493648,47966.665956
0,13,1480944,1480944,47966.664536
0,14,740472,740472,47966.665601
0,15,493648,493648,47966.665956
0,16,987296,987296,47966.665246
0,17,493648,493648,47966.665956
0,18,493648,493648,47966.665956
0,19,493648,493648,47966.665956
0,20,493648,493648,47966.665956
0,21,493648,493648,47966.665956
0,22,493648,493648,47966.665956
0,23,493648,493648,47966.665956
0,24,493648,493648,47966.665956
0,25,493648,493648,47966.665956
0,26,493648,493648,47966.665956
0,27,493648,493648,47966.665956
0,28,493648,493648,47966.665956
0,29,493648,493648,47966.665956
1,0,3702360,3702360,47966.661339
1,1,1234120,1234120,47966.664891
1,2,1234120,1234120,47966.664891
1,3,1480944,1480944,47966.664536
1,4,493648,493648,47966.665956
1,5,1974592,1974592,47966.663825
1,6,493648,493648,47966.665956
1,7,1727768,1727768,47966.664180
1,8,493648,493648,47966.665956
1,9,987296,987296,47966.665246
1,10,493648,493648,47966.665956
1,11,740472,740472,47966.665601
1,12,493648,493648,47966.665956
1,13,1480944,1480944,47966.664536
1,14,740472,740472,47966.665601
1,15,493648,493648,47966.665956
1,16,987296,987296,47966.665246
1,17,493648,493648,47966.665956
1,18,493648,493648,47966.665956
1,19,493648,493648,47966.665956
1,20,493648,493648,47966.665956
1,21,493648,493648,47966.665956
1,22,493648,493648,47966.665956
1,23,493648,493648,47966.665956
1,24,493648,493648,47966.665956
1,25,493648,493648,47966.665956
1,26,493648,493648,47966.665956
1,27,493648,493648,47966.665956
1,28,493648,493648,47966.665956
1,29,493648,493648,47966.665956
2,0,3455536,3455536,47966.661694
