round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,9;14,3455536,3455536,107,70,1878,1771
0,1,5;8,1480944,1480944,44,15,1878,1834
0,2,1;13,987296,987296,64,28,1878,1814
0,3,0;4,1234120,1234120,70,41,1878,1808
0,4,0;13,740472,740472,70,60,1878,1808
0,5,1;9,1974592,1974592,48,18,1878,1830
0,6,0;2,493648,493648,152,141,1878,1726
0,7,1;11,1480944,1480944,46,9,1878,1832
0,8,1;5,493648,493648,87,76,1878,1791
0,9,0;5,987296,987296,59,31,1878,1819
0,10,5;14,493648,493648,55,43,1878,1823
0,11,0;7,740472,740472,24,1,1878,1854
0,12,0;5,493648,493648,142,130,1878,1736
0,13,2;4,1480944,1480944,69,31,1878,1809
0,14,0;10,740472,740472,87,60,1878,1791
0,15,3;7,493648,493648,408,385,1878,1470
0,16,0;3,987296,987296,177,139,1878,1701
0,17,0;1,493648,493648,748,723,1878,1130
0,18,0;3,493648,493648,135,106,1878,1743
0,19,0;11,493648,493648,1139,1115,1878,739
0,20,5;14,493648,493648,698,669,1878,1180
0,21,5;9,493648,493648,295,265,1878,1583
0,22,13;16,493648,493648,303,265,1878,1575
0,23,0;7,493648,493648,610,573,1878,1268
0,24,5;7,493648,493648,186,164,1878,1692
0,25,0;9,493648,493648,720,695,1878,1158
0,26,7;13,493648,493648,510,476,1878,1368
0,27,2;13,493648,493648,803,767,1878,1075
0,28,1;16,493648,493648,1872,1840,1878,6
0,29,0;13,493648,493648,1178,1150,1878,700
1,0,1;5,3702360,3702360,107,70,1878,1771
1,1,0;7,1234120,1234120,44,15,1878,1834
1,2,6;7,1234120,1234120,64,28,1878,1814
1,3,0;2,1480944,1480944,70,41,1878,1808
1,4,3;13,493648,493648,70,60,1878,1808
1,5,0;8,1974592,1974592,48,18,1878,1830
1,6,0;2,493648,493648,152,141,1878,1726
1,7,1;2,1727768,1727768,46,9,1878,1832
1,8,1;5,493648,493648,87,76,1878,1791
1,9,0;5,987296,987296,59,31,1878,1819
1,10,5;14,493648,493648,55,43,1878,1823
1,11,0;7,740472,740472,24,1,1878,1854
1,12,0;5,493648,493648,142,130,1878,1736
1,13,2;4,1480944,1480944,69,31,1878,1809
1,14,0;10,740472,740472,87,60,1878,1791
1,15,3;7,493648,493648,408,385,1878,1470
1,16,0;3,987296,987296,177,139,1878,1701
1,17,0;1,493648,493648,748,723,1878,1130
1,18,0;3,493648,493648,135,106,1878,1743
1,19,0;11,493648,493648,1139,1115,1878,739
1,20,5;14,493648,493648,698,669,1878,1180
1,21,5;9,493648,493648,295,265,1878,1583
1,22,13;16,493648,493648,303,265,1878,1575
1,23,0;7,493648,493648,610,573,1878,1268
1,24,5;7,493648,493648,186,164,1878,1692
1,25,0;9,493648,493648,720,695,1878,1158
1,26,7;13,493648,493648,510,476,1878,1368
1,27,2;13,493648,493648,803,767,1878,1075
1,28,1;16,493648,493648,1872,1840,1878,6
1,29,0;13,493648,493648,1178,1150,1878,700
2,0,5;14,3455536,3455536,107,70,1878,1771
2,1,5;7,1234120,1234120,44,15,1878,1834
2,2,3;6,1234120,1234120,64,28,1878,1814
2,3,0;2,1480944,1480944,70,41,1878,1808
2,4,3;13,493648,493648,70,60,1878,1808
2,5,0;9,2221416,2221416,48,18,1878,1830
2,6,0;2,493648,493648,152,141,1878,1726
2,7,1;2,1727768,1727768,46,9,1878,1832
2,8,1;5,493648,493648,87,76,1878,1791
2,9,0;5,987296,987296,59,31,1878,1819
2,10,5;14,493648,493648,55,43,1878,1823
2,11,0;7,740472,740472,24,1,1878,1854
2,12,0;5,493648,493648,142,130,1878,1736
2,13,2;4,1480944,1480944,69,31,1878,1809
