round,node,ul_bytes,dl_bytes,energy_mj
0,0,1480944,1480944,34033.331821
0,1,1727768,1727768,34033.331569
0,2,1480944,1480944,34033.331821
0,3,1974592,1974592,34033.331317
0,4,1234120,1234120,34033.332073
0,5,493648,493648,34033.332829
0,6,1234120,1234120,34033.332073
0,7,493648,493648,34033.332829
0,8,987296,987296,34033.332325
0,9,1234120,1234120,34033.332073
0,10,740472,740472,34033.332577
0,11,740472,740472,34033.332577
0,12,493648,493648,34033.332829
0,13,493648,493648,34033.332829
0,14,740472,740472,34033.332577
0,15,493648,493648,34033.332829
0,16,493648,493648,34033.332829
0,17,493648,493648,34033.332829
0,18,493648,493648,34033.332829
0,19,493648,493648,34033.332829
0,20,493648,493648,34033.332829
0,21,493648,493648,34033.332829
0,22,493648,493648,34033.332829
0,23,493648,493648,34033.332829
0,24,740472,740472,34033.332577
0,25,493648,493648,34033.332829
0,26,493648,493648,34033.332829
0,27,493648,493648,34033.332829
0,28,493648,493648,34033.332829
0,29,493648,493648,34033.332829
1,0,2221416,2221416,34033.331065
1,1,1727768,1727768,34033.331569
1,2,1234120,1234120,34033.332073
1,3,1234120,1234120,34033.332073
1,4,1234120,1234120,34033.332073
1,5,493648,493648,34033.332829
1,6,1234120,1234120,34033.332073
1,7,493648,493648,34033.332829
1,8,987296,987296,34033.332325
1,9,987296,987296,34033.332325
1,10,493648,493648,34033.332829
1,11,493648,493648,34033.332829
1,12,493648,493648,34033.332829
1,13,493648,493648,34033.332829
1,14,740472,740472,34033.332577
1,15,493648,493648,34033.332829
1,16,493648,493648,34033.332829
1,17,493648,493648,34033.332829
1,18,493648,493648,34033.332829
1,19,493648,493648,34033.332829
1,20,493648,493648,34033.332829
1,21,493648,493648,34033.332829
1,22,493648,493648,34033.332829
1,23,493648,493648,34033.332829
1,24,740472,740472,34033.332577
1,25,493648,493648,34033.332829
1,26,493648,493648,34033.332829
1,27,493648,493648,34033.332829
1,28,493648,493648,34033.332829
1,29,493648,493648,34033.332829
2,0,1234120,1234120,34033.332073
2,1,1974592,1974592,34033.331317
2,2,1480944,1480944,34033.331821
2,3,1234120,1234120,34033.332073
