round,node,idle_ticks,busy_ticks
0,0,893,30
0,1,819,104
0,2,882,41
0,3,868,55
0,4,739,184
0,5,814,109
0,6,865,58
0,7,842,81
0,8,853,70
0,9,770,153
0,10,775,148
0,11,821,102
0,12,819,104
0,13,829,94
0,14,827,96
0,15,516,407
0,16,183,740
0,17,397,526
0,18,14,909
0,19,310,613
0,20,297,626
0,21,251,672
0,22,718,205
0,23,306,617
0,24,488,435
0,25,186,737
0,26,791,132
0,27,565,358
0,28,534,389
0,29,491,432
1,0,893,30
1,1,819,104
1,2,882,41
1,3,868,55
1,4,739,184
1,5,811,112
1,6,865,58
1,7,842,81
1,8,853,70
1,9,771,152
1,10,775,148
1,11,821,102
1,12,819,104
1,13,829,94
1,14,827,96
1,15,516,407
1,16,183,740
1,17,397,526
1,18,14,909
1,19,310,613
1,20,297,626
1,21,251,672
1,22,718,205
1,23,306,617
1,24,488,435
1,25,186,737
1,26,791,132
1,27,565,358
1,28,534,389
1,29,491,432
2,0,893,30
2,1,819,104
2,2,882,41
2,3,868,55
2,4,739,184
2,5,811,112
2,6,865,58
2,7,842,81
2,8,853,70
2,9,770,153
2,10,775,148
2,11,821,102
2,12,819,104
2,13,829,94
2,14,827,96
2,15,516,407
2,16,183,740
2,17,397,526
2,18,14,909
2,19,310,613
2,20,297,626
2,21,251,672
2,22,718,205
2,23,306,617
2,24,488,435
2,25,186,737
2,26,791,132
2,27,565,358
2,28,534,389
2,29,491,432
3,0,893,30
3,1,819,104
3,2,882,41
3,3,868,55
3,4,739,184
3,5,811,112
3,6,865,58
3,7,842,81
3,8,853,70
3,9,770,153
3,10,775,148
3,11,821,102
3,12,819,104
3,13,829,94
3,14,827,96
3,15,516,407
3,16,183,740
3,17,397,526
3,18,14,909
3,19,310,613
3,20,297,626
3,21,251,672
3,22,718,205
3,23,306,617
3,24,488,435
3,25,186,737
3,26,791,132
3,27,565,358
3,28,534,389
3,29,491,432
4,0,893,30
4,1,819,104
4,2,882,41
4,3,868,55
4,4,739,184
4,5,811,112
4,6,865,58
4,7,842,81
4,8,853,70
4,9,770,153
4,10,775,148
4,11,821,102
4,12,819,104
4,13,829,94
4,14,827,96
4,15,516,407
4,16,183,740
4,17,397,526
4,18,14,909
4,19,310,613
4,20,297,626
4,21,251,672
4,22,718,205
4,23,306,617
4,24,488,435
4,25,186,737
4,26,791,132
4,27,565,358
4,28,534,389
4,29,491,432
5,0,893,30
5,1,819,104
5,2,882,41
5,3,868,55
5,4,739,184
5,5,811,112
5,6,865,58
5,7,842,81
5,8,853,70
5,9,770,153
5,10,775,148
5,11,821,102
5,12,819,104
5,13,829,94
5,14,827,96
5,15,516,407
5,16,183,740
5,17,397,526
5,18,14,909
5,19,310,613
5,20,297,626
5,21,251,672
5,22,718,205
5,23,306,617
5,24,488,435
5,25,186,737
5,26,791,132
5,27,565,358
5,28,534,389
5,29,491,432
6,0,893,30
6,1,819,104
6,2,882,41
6,3,868,55
6,4,739,184
6,5,811,112
6,6,865,58
6,7,849,74
6,8,853,70
6,9,770,153
6,10,775,148
6,11,821,102
6,12,819,104
6,13,829,94
6,14,827,96
6,15,516,407
6,16,183,740
6,17,397,526
6,18,14,909
