round,scope,value
0,global,0.760860184
0,inter_cluster,0.760177236
0,consensus,0.513797342
1,global,1.068384777
1,inter_cluster,1.064566755
1,consensus,0.737205943
2,global,1.261532818
2,inter_cluster,1.253645737
2,consensus,0.870893629
3,global,1.459129676
3,inter_cluster,1.466388960
3,consensus,1.009238030
4,global,1.572125836
4,inter_cluster,1.572712087
4,consensus,1.089346640
5,global,1.648519876
5,inter_cluster,1.655712386
5,consensus,1.148208098
6,global,1.681887062
6,inter_cluster,1.692560527
6,consensus,1.166766972
7,global,1.650070901
7,inter_cluster,1.671496920
7,consensus,1.144971269
8,global,1.686420806
8,inter_cluster,1.712623283
8,consensus,1.172088309
9,global,1.664405515
9,inter_cluster,1.682908476
9,consensus,1.159478432
10,global,1.674870523
10,inter_cluster,1.687626545
10,consensus,1.169414046
11,global,1.659570523
11,inter_cluster,1.684987304
11,consensus,1.158377212
12,global,1.652014052
12,inter_cluster,1.672636073
12,consensus,1.156713169
13,global,1.556965488
13,inter_cluster,1.578435160
13,consensus,1.086347150
14,global,1.540046417
14,inter_cluster,1.562739251
14,consensus,1.074354901
15,global,1.494169992
15,inter_cluster,1.529478212
15,consensus,1.041644776
16,global,1.468463248
16,inter_cluster,1.490645238
16,consensus,1.028062567
17,global,1.445704719
17,inter_cluster,1.478406844
17,consensus,1.009974261
18,global,1.440995163
18,inter_cluster,1.476542293
18,consensus,1.008707465
19,global,1.322632133
19,inter_cluster,1.349781402
19,consensus,0.917097116
20,global,1.398281259
20,inter_cluster,1.419849741
20,consensus,0.972227470
21,global,1.385064333
21,inter_cluster,1.410858051
21,consensus,0.965873364
22,global,1.353728201
22,inter_cluster,1.378304596
22,consensus,0.941651849
23,global,1.413885293
23,inter_cluster,1.453444826
23,consensus,0.979615638
24,global,1.284506347
24,inter_cluster,1.305629465
24,consensus,0.901270143
25,global,1.284191384
25,inter_cluster,1.315304657
25,consensus,0.900623415
26,global,1.280481815
26,inter_cluster,1.313899351
26,consensus,0.897686506
27,global,1.234732024
27,inter_cluster,1.258283041
27,consensus,0.867622022
28,global,1.208085862
28,inter_cluster,1.235384403
28,consensus,0.839476154
29,global,1.258434352
29,inter_cluster,1.288246001
29,consensus,0.872932247
30,global,1.252804961
30,inter_cluster,1.277303823
30,consensus,0.869744445
31,global,1.291245337
31,inter_cluster,1.314439064
31,consensus,0.890486277
32,global,1.171840618
32,inter_cluster,1.189886762
32,consensus,0.816063905
33,global,1.135489829
33,inter_cluster,1.146988099
33,consensus,0.788761929
34,global,1.127860269
