round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,1878,23,37,0
1,1878,23,37,0
2,1878,23,37,0
3,1878,23,37,0
4,1878,23,37,0
5,1878,23,37,0
6,1878,23,37,0
7,1878,23,37,0
8,1878,23,37,0
9,1878,23,37,0
10,1878,23,37,0
11,1878,23,37,0
12,1878,23,37,0
13,1878,23,37,0
14,1878,23,37,0
15,1878,23,37,0
16,1878,23,37,0
17,1878,23,37,0
18,1878,23,37,0
19,1878,23,37,0
20,1878,23,37,0
21,1878,23,37,0
22,1878,23,37,0
23,1878,23,37,0
24,1878,23,37,0
25,1878,23,37,0
26,1878,23,37,0
27,1878,23,37,0
28,1878,23,37,0
29,1878,23,37,0
30,1878,23,37,0
31,1878,23,37,0
32,1878,23,37,0
33,1878,23,37,0
34,1878,23,37,0
35,1878,23,37,0
36,1878,23,37,0
37,1878,23,37,0
38,1878,23,37,0
39,1878,23,37,0
40,1878,23,37,0
41,1878,23,37,0
42,1878,23,37,0
43,1878,23,37,0
44,1878,23,37,0
45,1878,23,37,0
46,1878,23,37,0
47,1878,23,37,0
48,1878,23,37,0
49,1878,23,37,0
50,1878,23,37,0
51,1878,23,37,0
52,1878,23,37,0
53,1878,23,37,0
54,1878,23,37,0
55,1878,23,37,0
56,1878,23,37,0
57,1878,23,37,0
58,1878,22,37,0
59,1878,23,37,0
60,1878,23,37,0
61,1878,23,37,0
62,1878,23,37,0
63,1878,23,37,0
64,1878,23,37,0
65,1878,23,37,0
66,1878,23,37,0
67,1878,23,37,0
68,1878,23,37,0
69,1878,23,37,0
70,1878,23,37,0
71,1878,23,37,0
72,1878,23,37,0
73,1878,23,37,0
74,1878,23,37,0
75,1878,23,37,0
76,1878,23,37,0
77,1878,23,37,0
78,1878,23,37,0
79,1878,23,37,0
80,1878,23,37,0
81,1878,23,37,0
82,1878,23,37,0
83,1878,23,37,0
84,1878,23,37,0
85,1878,23,37,0
86,1878,23,37,0
87,1878,23,37,0
88,1878,23,37,0
89,1878,23,37,0
90,1878,23,37,0
91,1878,23,37,0
92,1878,23,37,0
93,1878,23,37,0
94,1878,23,37,0
95,1878,23,37,0
96,1878,23,37,0
97,1878,23,37,0
98,1878,23,37,0
99,1878,23,37,0
