round,scope,value
0,global,0.760860187
0,inter_cluster,0.760177237
0,consensus,0.513797348
1,global,1.037556711
1,inter_cluster,1.034361464
1,consensus,0.710242657
2,global,1.203040419
2,inter_cluster,1.198489406
2,consensus,0.821478599
3,global,1.339321506
3,inter_cluster,1.337755487
3,consensus,0.912827921
4,global,1.442139352
4,inter_cluster,1.440967465
4,consensus,0.987197437
5,global,1.537549245
5,inter_cluster,1.538867950
5,consensus,1.055370545
6,global,1.599080556
6,inter_cluster,1.600687719
6,consensus,1.099659419
7,global,1.654656038
7,inter_cluster,1.662733482
7,consensus,1.141513683
8,global,1.685981987
8,inter_cluster,1.697609594
8,consensus,1.166206337
9,global,1.720070070
9,inter_cluster,1.728741919
9,consensus,1.192654354
10,global,1.745064991
10,inter_cluster,1.753472716
10,consensus,1.209406487
11,global,1.755280595
11,inter_cluster,1.769138593
11,consensus,1.219182241
12,global,1.777662274
12,inter_cluster,1.791290602
12,consensus,1.234833945
13,global,1.729614826
13,inter_cluster,1.740885767
13,consensus,1.203485183
14,global,1.754997468
14,inter_cluster,1.765037021
14,consensus,1.221786965
15,global,1.704121744
15,inter_cluster,1.718448179
15,consensus,1.187139850
16,global,1.698162846
16,inter_cluster,1.712260219
16,consensus,1.184886982
17,global,1.683634694
17,inter_cluster,1.701061228
17,consensus,1.175239393
18,global,1.672072509
18,inter_cluster,1.689153254
18,consensus,1.166145240
19,global,1.625329717
19,inter_cluster,1.642684385
19,consensus,1.135174829
20,global,1.640965337
20,inter_cluster,1.660218656
20,consensus,1.142838892
21,global,1.659157770
21,inter_cluster,1.679931644
21,consensus,1.156324691
22,global,1.608888296
22,inter_cluster,1.627079478
22,consensus,1.124101764
23,global,1.621565319
23,inter_cluster,1.641753086
23,consensus,1.133986677
24,global,1.573296822
24,inter_cluster,1.588462828
24,consensus,1.101837315
25,global,1.536008688
25,inter_cluster,1.555652397
25,consensus,1.076032107
26,global,1.494598547
26,inter_cluster,1.513220320
26,consensus,1.048080674
27,global,1.500899340
27,inter_cluster,1.517576009
27,consensus,1.050152580
28,global,1.471385257
28,inter_cluster,1.490038756
28,consensus,1.030023590
29,global,1.461120526
29,inter_cluster,1.479251240
29,consensus,1.023685192
30,global,1.521553096
30,inter_cluster,1.542774422
30,consensus,1.061466906
31,global,1.502932020
31,inter_cluster,1.523984971
31,consensus,1.045633857
32,global,1.441961447
32,inter_cluster,1.458872103
32,consensus,1.005978744
33,global,1.401241800
33,inter_cluster,1.414343378
33,consensus,0.980829264
34,global,1.376295757
34,inter_cluster,1.389133759
34,consensus,0.963307236
35,global,1.351455878
35,inter_cluster,1.363195679
35,consensus,0.946503328
36,global,1.318113322
36,inter_cluster,1.327312167
36,consensus,0.924729348
37,global,1.314971087
37,inter_cluster,1.324893472
37,consensus,0.921900369
38,global,1.321589143
38,inter_cluster,1.334384644
38,consensus,0.924659896
39,global,1.327962688
39,inter_cluster,1.337202099
39,consensus,0.923879928
40,global,1.263258235
40,inter_cluster,1.271155350
40,consensus,0.883457813
41,global,1.245774001
41,inter_cluster,1.253576135
41,consensus,0.872641208
42,global,1.204003590
42,inter_cluster,1.215369516
42,consensus,0.844716847
43,global,1.206068873
43,inter_cluster,1.220452039
43,consensus,0.844071595
44,global,1.214777145
44,inter_cluster,1.227314082
44,consensus,0.846241200
45,global,1.171907050
45,inter_cluster,1.187139772
45,consensus,0.819245649
46,global,1.153649975
46,inter_cluster,1.172813355
46,consensus,0.806968021
47,global,1.137382482
47,inter_cluster,1.154581570
47,consensus,0.795338215
48,global,1.123752859
48,inter_cluster,1.135329328
48,consensus,0.784470358
49,global,1.122877657
49,inter_cluster,1.138507196
49,consensus,0.785190610
50,global,1.111272076
50,inter_cluster,1.130473119
50,consensus,0.777227347
51,global,1.088904772
51,inter_cluster,1.106211383
51,consensus,0.761035591
52,global,1.097346223
52,inter_cluster,1.116875372
52,consensus,0.764394537
53,global,1.110378001
53,inter_cluster,1.131655967
53,consensus,0.773847385
54,global,1.077989909
54,inter_cluster,1.096032515
54,consensus,0.752133941
55,global,1.057211294
55,inter_cluster,1.073550445
55,consensus,0.739855554
56,global,1.022065472
56,inter_cluster,1.036696957
56,consensus,0.715741635
57,global,1.000298346
57,inter_cluster,1.017637888
57,consensus,0.701302336
58,global,1.054224299
58,inter_cluster,1.072628237
58,consensus,0.734125826
59,global,1.088022161
59,inter_cluster,1.110559491
59,consensus,0.754758578
60,global,1.087202850
60,inter_cluster,1.101098304
60,consensus,0.752417312
61,global,1.031257547
61,inter_cluster,1.043012423
61,consensus,0.717682989
62,global,1.105738650
62,inter_cluster,1.109486717
62,consensus,0.762977138
63,global,1.033688871
63,inter_cluster,1.039964647
63,consensus,0.719278620
64,global,1.004506783
64,inter_cluster,1.010862544
64,consensus,0.701295241
65,global,0.976963187
65,inter_cluster,0.982310251
65,consensus,0.682460194
66,global,0.967942292
66,inter_cluster,0.974602712
66,consensus,0.676323613
67,global,1.010093461
67,inter_cluster,1.015353929
67,consensus,0.698985149
68,global,0.984400143
68,inter_cluster,0.990058318
68,consensus,0.682977441
69,global,0.941912029
69,inter_cluster,0.950464751
69,consensus,0.654901767
70,global,0.954818626
70,inter_cluster,0.961118455
70,consensus,0.661094396
71,global,0.908687130
71,inter_cluster,0.915611399
71,consensus,0.631268935
72,global,0.933302846
72,inter_cluster,0.942216537
72,consensus,0.648016654
73,global,1.029339517
73,inter_cluster,1.042848035
73,consensus,0.706786480
74,global,1.014580345
74,inter_cluster,1.024389731
74,consensus,0.696653731
75,global,0.981284335
75,inter_cluster,0.991618182
75,consensus,0.678045636
76,global,0.939223996
76,inter_cluster,0.950453688
76,consensus,0.653207738
77,global,0.909891961
77,inter_cluster,0.918780616
77,consensus,0.634990954
78,global,0.915680466
78,inter_cluster,0.923870596
78,consensus,0.638072389
79,global,0.912790317
79,inter_cluster,0.919533848
79,consensus,0.635419367
80,global,0.894546310
80,inter_cluster,0.901389264
80,consensus,0.624438807
81,global,0.868783842
81,inter_cluster,0.872746541
81,consensus,0.607134031
82,global,0.858120885
82,inter_cluster,0.860827573
82,consensus,0.600689129
83,global,0.849928941
83,inter_cluster,0.850486497
83,consensus,0.594504210
84,global,0.918464786
84,inter_cluster,0.920272368
84,consensus,0.635017139
85,global,0.869969932
85,inter_cluster,0.872550038
85,consensus,0.605461141
86,global,0.885355910
86,inter_cluster,0.888709648
86,consensus,0.613788493
87,global,0.868808903
87,inter_cluster,0.873715174
87,consensus,0.604824661
88,global,0.834647539
88,inter_cluster,0.841687098
88,consensus,0.582655770
89,global,0.846425557
89,inter_cluster,0.852881445
89,consensus,0.587582358
90,global,0.828179930
90,inter_cluster,0.833396744
90,consensus,0.575835685
91,global,0.830995936
91,inter_cluster,0.833380612
91,consensus,0.576583850
92,global,0.865970669
92,inter_cluster,0.867892424
92,consensus,0.596899183
93,global,0.829150143
93,inter_cluster,0.833110687
93,consensus,0.577016431
94,global,0.789240171
94,inter_cluster,0.794016586
94,consensus,0.551321024
95,global,0.768467131
95,inter_cluster,0.771656111
95,consensus,0.538086442
96,global,0.762348134
96,inter_cluster,0.765685840
96,consensus,0.533693212
97,global,0.764633459
97,inter_cluster,0.768287135
97,consensus,0.533474243
98,global,0.756312453
98,inter_cluster,0.759879391
98,consensus,0.527639898
99,global,0.743095575
99,inter_cluster,0.746969431
99,consensus,0.518283883
