round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,2;8,1974592,1974592,30,1,923,893
0,1,0;3,1974592,1974592,104,64,923,819
0,2,1;21,1234120,1234120,41,16,923,882
0,3,0;1,1974592,1974592,55,21,923,868
0,4,1;3,740472,740472,184,148,923,739
0,5,3;6,493648,493648,109,99,923,814
0,6,5;20,1234120,1234120,58,20,923,865
0,7,17;18,740472,740472,81,40,923,842
0,8,1;28,740472,740472,70,50,923,853
0,9,0;6,740472,740472,153,141,923,770
0,10,2;9,987296,987296,148,121,923,775
0,11,0;26,987296,987296,102,68,923,821
0,12,0;16,493648,493648,104,75,923,819
0,13,14;27,1234120,1234120,94,61,923,829
0,14,1;13,493648,493648,96,84,923,827
0,15,3;13,493648,493648,407,385,923,516
0,16,11;19,740472,740472,740,690,923,183
0,17,3;29,740472,740472,526,491,923,397
0,18,4;7,493648,493648,909,873,923,14
0,19,7;16,740472,740472,613,563,923,310
0,20,3;6,493648,493648,626,591,923,297
0,21,2;13,493648,493648,672,645,923,251
0,22,3;10,493648,493648,205,183,923,718
0,23,1;6,493648,493648,617,577,923,306
0,24,0;6,493648,493648,435,406,923,488
0,25,13;19,493648,493648,737,692,923,186
0,26,10;11,493648,493648,132,103,923,791
0,27,11;13,493648,493648,358,324,923,565
0,28,2;8,493648,493648,389,369,923,534
0,29,1;17,493648,493648,432,397,923,491
1,0,3;11,740472,740472,30,1,923,893
1,1,5;23,1480944,1480944,104,64,923,819
1,2,7;21,740472,740472,41,16,923,882
1,3,17;22,1727768,1727768,55,21,923,868
1,4,1;3,1480944,1480944,184,148,923,739
1,5,1;3,493648,493648,112,99,923,811
1,6,9;20,987296,987296,58,20,923,865
1,7,4;18,1480944,1480944,81,40,923,842
1,8,1;28,493648,493648,70,50,923,853
1,9,6;10,493648,493648,152,141,923,771
1,10,22;26,740472,740472,148,121,923,775
1,11,7;27,1234120,1234120,102,68,923,821
1,12,4;16,493648,493648,104,75,923,819
1,13,4;15,1480944,1480944,94,61,923,829
1,14,1;13,493648,493648,96,84,923,827
1,15,3;13,493648,493648,407,385,923,516
1,16,11;19,740472,740472,740,690,923,183
1,17,7;29,740472,740472,526,491,923,397
1,18,4;7,493648,493648,909,873,923,14
1,19,7;16,740472,740472,613,563,923,310
1,20,3;6,493648,493648,626,591,923,297
1,21,2;13,493648,493648,672,645,923,251
1,22,3;10,493648,493648,205,183,923,718
1,23,1;6,493648,493648,617,577,923,306
1,24,0;6,493648,493648,435,406,923,488
1,25,13;19,493648,493648,737,692,923,186
1,26,10;11,493648,493648,132,103,923,791
1,27,11;13,493648,493648,358,324,923,565
1,28,2;8,493648,493648,389,369,923,534
1,29,1;17,493648,493648,432,397,923,491
2,0,3;9,1480944,1480944,30,1,923,893
2,1,23;29,1727768,1727768,104,64,923,819
2,2,0;21,987296,987296,41,16,923,882
2,3,1;5,1974592,1974592,55,21,923,868
2,4,1;3,1480944,1480944,184,148,923,739
2,5,1;6,740472,740472,112,99,923,811
2,6,20;24,1234120,1234120,58,20,923,865
2,7,4;19,1234120,1234120,81,40,923,842
2,8,0;1,740472,740472,70,50,923,853
2,9,6;10,740472,740472,153,141,923,770
2,10,2;26,987296,987296,148,121,923,775
2,11,0;7,987296,987296,102,68,923,821
2,12,4;16,493648,493648,104,75,923,819
2,13,4;27,1480944,1480944,94,61,923,829
2,14,1;13,493648,493648,96,84,923,827
2,15,3;13,493648,493648,407,385,923,516
2,16,12;19,493648,493648,740,690,923,183
2,17,3;7,740472,740472,526,491,923,397
2,18,4;7,493648,493648,909,873,923,14
2,19,7;25,740472,740472,613,563,923,310
2,20,3;6,493648,493648,626,591,923,297
2,21,2;13,493648,493648,672,645,923,251
2,22,3;10,493648,493648,205,183,923,718
2,23,1;6,493648,493648,617,577,923,306
2,24,0;6,493648,493648,435,406,923,488
2,25,13;19,493648,493648,737,692,923,186
2,26,10;11,493648,493648,132,103,923,791
2,27,11;13,493648,493648,358,324,923,565
2,28,2;8,493648,493648,389,369,923,534
2,29,1;17,493648,493648,432,397,923,491
3,0,2;3,1480944,1480944,30,1,923,893
3,1,2;4,1480944,1480944,104,64,923,819
3,2,7;28,1234120,1234120,41,16,923,882
3,3,0;5,1234120,1234120,55,21,923,868
3,4,7;18,740472,740472,184,148,923,739
3,5,1;3,493648,493648,112,99,923,811
