round,scope,value
0,global,0.834636071
0,inter_cluster,0.833269041
0,consensus,0.573948629
1,global,1.051045578
1,inter_cluster,1.055940091
1,consensus,0.729930510
2,global,1.162445575
2,inter_cluster,1.182732701
2,consensus,0.807354221
3,global,1.265987656
3,inter_cluster,1.276087929
3,consensus,0.874605917
4,global,1.363421114
4,inter_cluster,1.387820427
4,consensus,0.944680291
5,global,1.459243715
5,inter_cluster,1.482184301
5,consensus,1.020471338
6,global,1.462432434
6,inter_cluster,1.492612204
6,consensus,1.023685004
7,global,1.426076412
7,inter_cluster,1.450375368
7,consensus,0.992755518
8,global,1.439946074
8,inter_cluster,1.445293022
8,consensus,1.004479414
9,global,1.381639174
9,inter_cluster,1.382899244
9,consensus,0.960266944
10,global,1.348295073
10,inter_cluster,1.348370380
10,consensus,0.939001982
11,global,1.336895271
11,inter_cluster,1.332969543
11,consensus,0.925895061
12,global,1.347654856
12,inter_cluster,1.341204413
12,consensus,0.938197227
13,global,1.293525025
13,inter_cluster,1.287067052
13,consensus,0.900336526
14,global,1.263494703
14,inter_cluster,1.251378353
14,consensus,0.873448680
15,global,1.274905667
15,inter_cluster,1.267384791
15,consensus,0.888849855
16,global,1.343961188
16,inter_cluster,1.336069531
16,consensus,0.931613061
17,global,1.243957010
17,inter_cluster,1.232079283
17,consensus,0.862370232
18,global,1.253487249
18,inter_cluster,1.246802841
18,consensus,0.874792230
19,global,1.176560038
19,inter_cluster,1.169992489
19,consensus,0.815415619
20,global,1.233028355
20,inter_cluster,1.220464264
20,consensus,0.852671413
21,global,1.184941373
21,inter_cluster,1.175050932
21,consensus,0.827890102
22,global,1.127676697
22,inter_cluster,1.122023966
22,consensus,0.785383324
23,global,1.175634018
23,inter_cluster,1.166954036
23,consensus,0.819897931
24,global,1.098069569
24,inter_cluster,1.089267397
24,consensus,0.763630963
25,global,1.069088395
25,inter_cluster,1.058114616
25,consensus,0.741315289
26,global,1.102159296
26,inter_cluster,1.096500555
26,consensus,0.771734338
27,global,1.111330190
27,inter_cluster,1.102692462
27,consensus,0.779580588
28,global,1.114443709
28,inter_cluster,1.099873739
28,consensus,0.779378971
29,global,1.085157368
29,inter_cluster,1.072608156
29,consensus,0.748664567
30,global,1.081349992
30,inter_cluster,1.076267626
30,consensus,0.749549167
31,global,1.093820169
31,inter_cluster,1.085102802
31,consensus,0.761948014
32,global,1.057882062
32,inter_cluster,1.047599340
32,consensus,0.735203977
33,global,1.055480291
33,inter_cluster,1.045902519
33,consensus,0.724815639
34,global,1.026777549
34,inter_cluster,1.015353285
34,consensus,0.703249799
35,global,1.045519800
35,inter_cluster,1.039467281
35,consensus,0.726410486
36,global,1.056738318
36,inter_cluster,1.050095459
36,consensus,0.735113728
37,global,0.979719765
37,inter_cluster,0.970899643
37,consensus,0.675988725
38,global,0.990087010
38,inter_cluster,0.985394379
38,consensus,0.688908582
39,global,0.977800349
39,inter_cluster,0.965994801
39,consensus,0.675120342
40,global,1.055882917
40,inter_cluster,1.048518344
40,consensus,0.726164766
41,global,0.995160640
41,inter_cluster,0.989995618
41,consensus,0.693165539
42,global,0.987335180
42,inter_cluster,0.983256846
42,consensus,0.688610423
43,global,0.931699027
43,inter_cluster,0.924148349
43,consensus,0.646143086
44,global,0.905089769
44,inter_cluster,0.896401741
44,consensus,0.628607512
45,global,0.981004015
45,inter_cluster,0.984974894
45,consensus,0.690080523
46,global,0.951374415
46,inter_cluster,0.944073199
46,consensus,0.656221580
47,global,0.995706242
47,inter_cluster,0.993505453
47,consensus,0.691942864
48,global,0.946792628
48,inter_cluster,0.935035574
48,consensus,0.642917816
49,global,0.870658333
49,inter_cluster,0.861542991
49,consensus,0.599181150
50,global,0.894510540
50,inter_cluster,0.886501275
50,consensus,0.611878223
51,global,0.903573098
51,inter_cluster,0.900087694
51,consensus,0.626525854
52,global,0.808798609
52,inter_cluster,0.803592691
52,consensus,0.559508907
53,global,0.869075279
53,inter_cluster,0.859469029
53,consensus,0.598070548
54,global,0.870114113
54,inter_cluster,0.864885192
54,consensus,0.603804193
55,global,0.895895751
55,inter_cluster,0.891979837
55,consensus,0.612446903
56,global,1.078599361
56,inter_cluster,1.070667914
56,consensus,0.728261433
57,global,1.087964705
57,inter_cluster,1.082913843
57,consensus,0.750037878
58,global,1.042284228
58,inter_cluster,1.033112966
58,consensus,0.727206678
59,global,0.931400599
59,inter_cluster,0.926508032
59,consensus,0.648238491
60,global,0.943985929
60,inter_cluster,0.933936660
60,consensus,0.643528132
61,global,0.912077760
61,inter_cluster,0.904250983
61,consensus,0.626981975
62,global,0.862139684
62,inter_cluster,0.857715394
62,consensus,0.595349335
63,global,0.886267376
63,inter_cluster,0.880837107
63,consensus,0.610667185
64,global,0.885732271
64,inter_cluster,0.887470422
64,consensus,0.599735858
65,global,0.819812626
65,inter_cluster,0.816821916
65,consensus,0.568756956
66,global,0.794444606
66,inter_cluster,0.788733501
66,consensus,0.548377444
67,global,0.808605145
67,inter_cluster,0.801983566
67,consensus,0.559504918
68,global,0.949804813
68,inter_cluster,0.942435632
68,consensus,0.643082630
69,global,0.917935114
69,inter_cluster,0.917086733
69,consensus,0.632604718
70,global,0.944674194
70,inter_cluster,0.948263483
70,consensus,0.657092756
71,global,0.842145204
71,inter_cluster,0.840383032
71,consensus,0.588886936
72,global,0.839488575
72,inter_cluster,0.837182780
72,consensus,0.578328378
73,global,0.822384337
73,inter_cluster,0.822067392
73,consensus,0.570231042
74,global,0.806143697
74,inter_cluster,0.802612720
74,consensus,0.556114874
75,global,0.739281855
75,inter_cluster,0.730173301
75,consensus,0.517777192
76,global,0.796005487
76,inter_cluster,0.792082656
76,consensus,0.552738687
77,global,0.743497279
