round,node,ul_bytes,dl_bytes,energy_mj
0,0,1480944,1480944,44649.998016
0,1,2221416,2221416,44649.997024
0,2,1480944,1480944,44649.998016
0,3,1480944,1480944,44649.998016
0,4,740472,740472,44649.999008
0,5,740472,740472,44649.999008
0,6,987296,987296,44649.998678
0,7,493648,493648,44649.999339
0,8,493648,493648,44649.999339
0,9,740472,740472,44649.999008
0,10,1480944,1480944,44649.998016
0,11,987296,987296,44649.998678
0,12,987296,987296,44649.998678
0,13,493648,493648,44649.999339
0,14,740472,740472,44649.999008
0,15,987296,987296,44649.998678
0,16,740472,740472,44649.999008
0,17,493648,493648,44649.999339
0,18,493648,493648,44649.999339
0,19,493648,493648,44649.999339
0,20,493648,493648,44649.999339
0,21,493648,493648,44649.999339
0,22,493648,493648,44649.999339
0,23,493648,493648,44649.999339
0,24,493648,493648,44649.999339
0,25,493648,493648,44649.999339
0,26,493648,493648,44649.999339
0,27,493648,493648,44649.999339
0,28,493648,493648,44649.999339
0,29,493648,493648,44649.999339
1,0,1480944,1480944,44649.998016
1,1,2468240,2468240,44649.996694
1,2,1727768,1727768,44649.997686
1,3,987296,987296,44649.998678
1,4,493648,493648,44649.999339
1,5,493648,493648,44649.999339
1,6,987296,987296,44649.998678
1,7,493648,493648,44649.999339
1,8,493648,493648,44649.999339
1,9,740472,740472,44649.999008
1,10,1480944,1480944,44649.998016
1,11,987296,987296,44649.998678
1,12,740472,740472,44649.999008
1,13,493648,493648,44649.999339
1,14,740472,740472,44649.999008
1,15,1234120,1234120,44649.998347
1,16,740472,740472,44649.999008
1,17,493648,493648,44649.999339
1,18,493648,493648,44649.999339
1,19,493648,493648,44649.999339
1,20,493648,493648,44649.999339
1,21,493648,493648,44649.999339
1,22,493648,493648,44649.999339
1,23,493648,493648,44649.999339
1,24,493648,493648,44649.999339
1,25,493648,493648,44649.999339
1,26,493648,493648,44649.999339
1,27,493648,493648,44649.999339
1,28,493648,493648,44649.999339
1,29,493648,493648,44649.999339
2,0,1234120,1234120,44649.998347
2,1,2468240,2468240,44649.996694
2,2,1727768,1727768,44649.997686
2,3,740472,740472,44649.999008
2,4,740472,740472,44649.999008
2,5,493648,493648,44649.999339
2,6,987296,987296,44649.998678
2,7,493648,493648,44649.999339
2,8,493648,493648,44649.999339
2,9,987296,987296,44649.998678
2,10,1234120,1234120,44649.998347
2,11,740472,740472,44649.999008
2,12,740472,740472,44649.999008
2,13,493648,493648,44649.999339
2,14,740472,740472,44649.999008
2,15,987296,987296,44649.998678
2,16,493648,493648,44649.999339
2,17,493648,493648,44649.999339
2,18,493648,493648,44649.999339
2,19,493648,493648,44649.999339
2,20,493648,493648,44649.999339
2,21,493648,493648,44649.999339
2,22,493648,493648,44649.999339
2,23,493648,493648,44649.999339
2,24,493648,493648,44649.999339
2,25,493648,493648,44649.999339
2,26,493648,493648,44649.999339
2,27,493648,493648,44649.999339
2,28,493648,493648,44649.999339
2,29,493648,493648,44649.999339
3,0,1480944,1480944,44649.998016
3,1,2961888,2961888,44649.996033
3,2,1480944,1480944,44649.998016
3,3,1234120,1234120,44649.998347
3,4,740472,740472,44649.999008
3,5,740472,740472,44649.999008
3,6,1234120,1234120,44649.998347
3,7,493648,493648,44649.999339
3,8,493648,493648,44649.999339
3,9,493648,493648,44649.999339
3,10,1234120,1234120,44649.998347
3,11,740472,740472,44649.999008
3,12,987296,987296,44649.998678
3,13,493648,493648,44649.999339
3,14,493648,493648,44649.999339
3,15,987296,987296,44649.998678
3,16,493648,493648,44649.999339
3,17,493648,493648,44649.999339
3,18,493648,493648,44649.999339
3,19,493648,493648,44649.999339
3,20,493648,493648,44649.999339
3,21,493648,493648,44649.999339
3,22,493648,493648,44649.999339
3,23,493648,493648,44649.999339
3,24,493648,493648,44649.999339
