round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,5;25,1480944,1480944,165,123,1042,877
0,1,7;12,1727768,1727768,196,156,1042,846
0,2,14;26,1480944,1480944,69,41,1042,973
0,3,2;9,1974592,1974592,139,104,1042,903
0,4,0;10,1234120,1234120,36,5,1042,1006
0,5,0;2,493648,493648,80,68,1042,962
0,6,2;15,1234120,1234120,87,53,1042,955
0,7,1;4,493648,493648,60,47,1042,982
0,8,3;15,987296,987296,54,27,1042,988
0,9,18;20,1234120,1234120,46,9,1042,996
0,10,1;27,740472,740472,35,4,1042,1007
0,11,1;3,740472,740472,39,27,1042,1003
0,12,1;11,493648,493648,189,176,1042,853
0,13,4;6,493648,493648,81,68,1042,961
0,14,0;22,740472,740472,80,45,1042,962
0,15,6;8,493648,493648,1014,986,1042,28
0,16,0;23,493648,493648,367,315,1042,675
0,17,1;29,493648,493648,1026,990,1042,16
0,18,1;9,493648,493648,310,270,1042,732
0,19,2;3,493648,493648,495,467,1042,547
0,20,3;9,493648,493648,274,247,1042,768
0,21,0;6,493648,493648,854,819,1042,188
0,22,1;14,493648,493648,691,655,1042,351
0,23,9;16,493648,493648,714,662,1042,328
0,24,8;9,740472,740472,475,437,1042,567
0,25,0;3,493648,493648,418,387,1042,624
0,26,2;4,493648,493648,200,169,1042,842
0,27,6;10,493648,493648,613,582,1042,429
0,28,3;24,493648,493648,468,430,1042,574
0,29,8;17,493648,493648,353,317,1042,689
1,0,4;5,2221416,2221416,165,123,1042,877
1,1,11;18,1727768,1727768,196,156,1042,846
1,2,0;26,1234120,1234120,69,41,1042,973
1,3,19;28,1234120,1234120,139,104,1042,903
1,4,1;7,1234120,1234120,36,5,1042,1006
1,5,0;2,493648,493648,80,68,1042,962
1,6,0;27,1234120,1234120,87,53,1042,955
1,7,1;4,493648,493648,60,47,1042,982
1,8,3;24,987296,987296,54,27,1042,988
1,9,20;24,987296,987296,46,9,1042,996
1,10,1;27,493648,493648,35,4,1042,1007
1,11,1;12,493648,493648,39,27,1042,1003
1,12,1;11,493648,493648,189,176,1042,853
1,13,4;6,493648,493648,81,68,1042,961
1,14,0;2,740472,740472,80,45,1042,962
1,15,6;8,493648,493648,1014,986,1042,28
1,16,0;23,493648,493648,367,315,1042,675
1,17,0;29,493648,493648,1026,990,1042,16
1,18,1;9,493648,493648,310,270,1042,732
1,19,2;3,493648,493648,495,467,1042,547
1,20,3;9,493648,493648,274,247,1042,768
1,21,0;6,493648,493648,854,819,1042,188
1,22,1;14,493648,493648,691,655,1042,351
1,23,9;16,493648,493648,714,662,1042,328
1,24,8;28,740472,740472,475,437,1042,567
1,25,0;3,493648,493648,418,387,1042,624
1,26,2;4,493648,493648,200,169,1042,842
1,27,6;10,493648,493648,613,582,1042,429
1,28,3;24,493648,493648,468,430,1042,574
1,29,8;17,493648,493648,353,317,1042,689
2,0,2;25,1234120,1234120,158,123,1042,884
2,1,11;16,1974592,1974592,198,156,1042,844
2,2,5;6,1480944,1480944,69,41,1042,973
2,3,9;20,1234120,1234120,139,104,1042,903
2,4,10;26,987296,987296,36,5,1042,1006
2,5,0;2,493648,493648,80,68,1042,962
2,6,0;2,1480944,1480944,87,53,1042,955
2,7,1;4,493648,493648,60,47,1042,982
2,8,15;29,493648,493648,54,27,1042,988
2,9,1;24,1480944,1480944,46,9,1042,996
2,10,4;27,493648,493648,35,4,1042,1007
2,11,1;12,493648,493648,39,27,1042,1003
2,12,1;11,493648,493648,189,176,1042,853
2,13,4;6,493648,493648,81,68,1042,961
2,14,2;22,493648,493648,80,45,1042,962
2,15,6;8,493648,493648,1014,986,1042,28
2,16,1;23,493648,493648,367,315,1042,675
2,17,1;29,493648,493648,1026,990,1042,16
2,18,1;9,493648,493648,310,270,1042,732
2,19,2;3,493648,493648,495,467,1042,547
2,20,3;9,493648,493648,274,247,1042,768
2,21,0;6,493648,493648,854,819,1042,188
2,22,1;14,493648,493648,691,655,1042,351
2,23,9;16,493648,493648,714,662,1042,328
2,24,9;28,493648,493648,475,437,1042,567
2,25,0;3,493648,493648,418,387,1042,624
2,26,2;4,493648,493648,200,169,1042,842
2,27,6;10,493648,493648,613,582,1042,429
2,28,3;24,493648,493648,468,430,1042,574
2,29,8;17,493648,493648,353,317,1042,689
3,0,14;16,1727768,1727768,165,123,1042,877
3,1,10;22,2221416,2221416,198,156,1042,844
3,2,0;1,1480944,1480944,69,41,1042,973
3,3,1;11,1727768,1727768,139,104,1042,903
3,4,7;26,987296,987296,36,5,1042,1006
3,5,0;2,493648,493648,80,68,1042,962
3,6,15;21,987296,987296,87,53,1042,955
3,7,1;4,493648,493648,60,47,1042,982
3,8,15;24,740472,740472,54,27,1042,988
3,9,3;23,987296,987296,46,9,1042,996
3,10,1;4,740472,740472,35,4,1042,1007
3,11,1;12,740472,740472,39,27,1042,1003
3,12,1;11,493648,493648,189,176,1042,853
3,13,4;6,493648,493648,81,68,1042,961
3,14,0;2,740472,740472,80,45,1042,962
3,15,6;8,493648,493648,1014,986,1042,28
3,16,1;23,740472,740472,367,315,1042,675
3,17,0;29,493648,493648,1026,990,1042,16
3,18,1;9,493648,493648,310,270,1042,732
3,19,2;3,493648,493648,495,467,1042,547
3,20,3;9,493648,493648,274,247,1042,768
3,21,0;6,493648,493648,854,819,1042,188
3,22,1;14,493648,493648,691,655,1042,351
3,23,9;16,493648,493648,714,662,1042,328
3,24,8;28,493648,493648,475,437,1042,567
3,25,0;3,493648,493648,418,387,1042,624
3,26,2;4,493648,493648,200,169,1042,842
3,27,6;10,493648,493648,613,582,1042,429
3,28,3;24,493648,493648,468,430,1042,574
3,29,8;17,493648,493648,353,317,1042,689
4,0,4;25,1974592,1974592,165,123,1042,877
4,1,10;16,1974592,1974592,198,156,1042,844
4,2,1;19,1234120,1234120,69,41,1042,973
4,3,9;19,1480944,1480944,139,104,1042,903
4,4,7;10,1234120,1234120,36,5,1042,1006
4,5,0;2,493648,493648,80,68,1042,962
4,6,0;15,1234120,1234120,87,53,1042,955
4,7,1;4,493648,493648,60,47,1042,982
4,8,2;15,740472,740472,54,27,1042,988
4,9,23;24,1234120,1234120,46,9,1042,996
4,10,4;27,740472,740472,35,4,1042,1007
4,11,3;12,493648,493648,39,27,1042,1003
4,12,1;11,493648,493648,189,176,1042,853
4,13,4;6,493648,493648,81,68,1042,961
4,14,0;22,493648,493648,80,45,1042,962
4,15,6;8,493648,493648,1014,986,1042,28
4,16,0;1,740472,740472,367,315,1042,675
4,17,0;1,740472,740472,1026,990,1042,16
4,18,1;9,493648,493648,310,270,1042,732
4,19,2;3,493648,493648,495,467,1042,547
4,20,3;9,493648,493648,274,247,1042,768
4,21,0;6,493648,493648,854,819,1042,188
4,22,1;14,493648,493648,691,655,1042,351
4,23,9;16,493648,493648,714,662,1042,328
4,24,9;28,493648,493648,475,437,1042,567
4,25,0;3,493648,493648,418,387,1042,624
4,26,2;4,493648,493648,200,169,1042,842
4,27,6;10,493648,493648,613,582,1042,429
4,28,3;24,493648,493648,468,430,1042,574
4,29,8;17,493648,493648,353,317,1042,689
5,0,6;25,1727768,1727768,165,123,1042,877
5,1,9;18,1727768,1727768,196,156,1042,846
5,2,6;19,1234120,1234120,69,41,1042,973
5,3,2;28,1480944,1480944,139,104,1042,903
5,4,7;26,740472,740472,36,5,1042,1006
5,5,0;2,493648,493648,80,68,1042,962
5,6,13;15,1480944,1480944,87,53,1042,955
5,7,1;4,493648,493648,60,47,1042,982
5,8,24;29,740472,740472,54,27,1042,988
5,9,3;18,1480944,1480944,46,9,1042,996
5,10,1;27,493648,493648,35,4,1042,1007
5,11,1;12,493648,493648,39,27,1042,1003
5,12,1;11,493648,493648,189,176,1042,853
5,13,4;6,493648,493648,81,68,1042,961
5,14,0;22,493648,493648,80,45,1042,962
5,15,6;8,493648,493648,1014,986,1042,28
5,16,0;23,493648,493648,367,315,1042,675
5,17,0;29,493648,493648,1026,990,1042,16
5,18,1;9,493648,493648,310,270,1042,732
5,19,2;3,493648,493648,495,467,1042,547
5,20,3;9,493648,493648,274,247,1042,768
5,21,0;6,493648,493648,854,819,1042,188
5,22,1;14,493648,493648,691,655,1042,351
5,23,9;16,493648,493648,714,662,1042,328
5,24,8;9,740472,740472,475,437,1042,567
5,25,0;3,493648,493648,418,387,1042,624
5,26,2;4,493648,493648,200,169,1042,842
5,27,6;10,493648,493648,613,582,1042,429
5,28,3;24,493648,493648,468,430,1042,574
5,29,8;17,493648,493648,353,317,1042,689
6,0,1;14,1234120,1234120,158,123,1042,884
