round,scope,value
0,global,0.808751408
0,inter_cluster,0.803226379
0,consensus,0.552320931
1,global,0.916710026
1,inter_cluster,0.912269780
1,consensus,0.628233776
2,global,0.954558527
2,inter_cluster,0.951130284
2,consensus,0.655116785
3,global,1.001379281
3,inter_cluster,0.995894234
3,consensus,0.685424026
4,global,1.090751467
4,inter_cluster,1.080827075
4,consensus,0.745680290
5,global,1.129485976
5,inter_cluster,1.119268179
5,consensus,0.775721727
6,global,1.144176620
6,inter_cluster,1.137722503
6,consensus,0.784577969
7,global,1.168166588
7,inter_cluster,1.156046711
7,consensus,0.804413191
8,global,1.160366724
8,inter_cluster,1.155450953
8,consensus,0.800729669
9,global,1.183727111
9,inter_cluster,1.177578708
9,consensus,0.819124728
10,global,1.162447501
10,inter_cluster,1.160539967
10,consensus,0.803868795
11,global,1.139328578
11,inter_cluster,1.138891186
11,consensus,0.787029892
12,global,1.140432137
12,inter_cluster,1.134538094
12,consensus,0.788716661
13,global,1.092635307
13,inter_cluster,1.091626090
13,consensus,0.755200697
14,global,1.073637627
14,inter_cluster,1.072250202
14,consensus,0.741787878
15,global,1.038241892
15,inter_cluster,1.036487065
15,consensus,0.720308560
16,global,1.094978905
16,inter_cluster,1.100341022
16,consensus,0.754421803
17,global,1.013966226
17,inter_cluster,1.012870599
17,consensus,0.702534930
18,global,0.963371105
18,inter_cluster,0.964336045
18,consensus,0.669184275
19,global,0.966641527
19,inter_cluster,0.965304701
19,consensus,0.670378768
20,global,0.966638610
20,inter_cluster,0.964631825
20,consensus,0.668473735
21,global,0.905763601
21,inter_cluster,0.905542619
21,consensus,0.624516177
22,global,0.871507316
22,inter_cluster,0.867944882
22,consensus,0.601610733
23,global,0.902549401
23,inter_cluster,0.898819561
23,consensus,0.620541579
24,global,0.870356116
24,inter_cluster,0.869997001
24,consensus,0.601120731
25,global,0.845544265
25,inter_cluster,0.840746078
25,consensus,0.582009890
26,global,0.823884219
26,inter_cluster,0.822288644
26,consensus,0.565146994
27,global,0.797234213
27,inter_cluster,0.793954329
27,consensus,0.549392065
28,global,0.837839884
28,inter_cluster,0.834378699
28,consensus,0.573535559
29,global,0.868453392
29,inter_cluster,0.866863805
29,consensus,0.591273698
30,global,0.873803966
30,inter_cluster,0.867470560
30,consensus,0.600213893
31,global,0.794308281
31,inter_cluster,0.789951282
31,consensus,0.549197432
32,global,0.753314173
32,inter_cluster,0.752061036
32,consensus,0.520662578
33,global,0.761910482
33,inter_cluster,0.759605393
33,consensus,0.524271599
34,global,0.725786547
34,inter_cluster,0.721738798
34,consensus,0.500242246
35,global,0.711289027
35,inter_cluster,0.707413203
35,consensus,0.488346153
36,global,0.712763394
36,inter_cluster,0.709763581
36,consensus,0.490563317
37,global,0.682947416
37,inter_cluster,0.679331125
37,consensus,0.472404391
38,global,0.737025025
38,inter_cluster,0.733323382
38,consensus,0.505425158
39,global,0.740867521
39,inter_cluster,0.739633294
39,consensus,0.509972170
40,global,0.734964869
40,inter_cluster,0.729934226
40,consensus,0.504559909
41,global,0.646207640
41,inter_cluster,0.641251762
41,consensus,0.445455476
42,global,0.696829933
42,inter_cluster,0.689934558
42,consensus,0.475740717
43,global,0.666732989
43,inter_cluster,0.662055716
43,consensus,0.461809563
44,global,0.632053461
44,inter_cluster,0.627904787
44,consensus,0.436796785
45,global,0.702348941
45,inter_cluster,0.697950550
45,consensus,0.478921209
46,global,0.672192687
46,inter_cluster,0.670289197
46,consensus,0.464753117
47,global,0.677192584
47,inter_cluster,0.675533033
47,consensus,0.463349562
48,global,0.651775796
48,inter_cluster,0.646823517
48,consensus,0.447119475
49,global,0.628004315
49,inter_cluster,0.625097208
49,consensus,0.430149953
50,global,0.695317688
50,inter_cluster,0.692773909
50,consensus,0.474823490
51,global,0.660289405
51,inter_cluster,0.655868668
51,consensus,0.456986836
52,global,0.712180919
52,inter_cluster,0.708638929
52,consensus,0.483101160
53,global,0.698839867
53,inter_cluster,0.699056440
53,consensus,0.472392212
54,global,0.641696327
54,inter_cluster,0.637614791
54,consensus,0.439792022
55,global,0.615120338
55,inter_cluster,0.609968479
55,consensus,0.424253895
56,global,0.570806770
56,inter_cluster,0.568247194
56,consensus,0.391629953
57,global,0.594750574
57,inter_cluster,0.597215654
57,consensus,0.407088730
58,global,0.563047421
58,inter_cluster,0.563157760
58,consensus,0.387680328
59,global,0.611858257
59,inter_cluster,0.610118737
59,consensus,0.416302765
60,global,0.608556905
60,inter_cluster,0.606079877
60,consensus,0.415929409
61,global,0.616767106
61,inter_cluster,0.614614965
61,consensus,0.421290710
62,global,0.592412474
62,inter_cluster,0.589568128
62,consensus,0.407057467
63,global,0.564674533
63,inter_cluster,0.560783491
63,consensus,0.387860967
64,global,0.573150076
64,inter_cluster,0.569546831
64,consensus,0.390980460
65,global,0.603801135
65,inter_cluster,0.601218491
65,consensus,0.409017642
66,global,0.629586429
66,inter_cluster,0.628086323
66,consensus,0.424126174
67,global,0.593551009
67,inter_cluster,0.590882050
67,consensus,0.407355486
68,global,0.580796013
68,inter_cluster,0.575933245
68,consensus,0.397362263
69,global,0.568417331
69,inter_cluster,0.564034166
69,consensus,0.387450170
70,global,0.536971624
70,inter_cluster,0.532157552
70,consensus,0.368143919
71,global,0.614804135
71,inter_cluster,0.613428095
71,consensus,0.413833038
72,global,0.580277309
72,inter_cluster,0.577146958
72,consensus,0.397981255
73,global,0.575677339
73,inter_cluster,0.572659648
73,consensus,0.390610258
74,global,0.524356496
74,inter_cluster,0.520155044
74,consensus,0.359833366
75,global,0.524604574
75,inter_cluster,0.522496047
75,consensus,0.358173650
76,global,0.519259295
76,inter_cluster,0.515500560
76,consensus,0.354768457
77,global,0.559062582
77,inter_cluster,0.555187184
77,consensus,0.379096785
78,global,0.523964884
78,inter_cluster,0.522106676
78,consensus,0.358799120
79,global,0.521018923
79,inter_cluster,0.518302050
79,consensus,0.354646698
80,global,0.546344092
80,inter_cluster,0.542698775
80,consensus,0.369324112
81,global,0.492963171
81,inter_cluster,0.491412009
81,consensus,0.335170479
82,global,0.506816176
82,inter_cluster,0.504648401
82,consensus,0.342005273
83,global,0.610625068
83,inter_cluster,0.607277603
83,consensus,0.409712829
84,global,0.528974733
84,inter_cluster,0.525410066
84,consensus,0.362233785
85,global,0.510056012
85,inter_cluster,0.507294708
85,consensus,0.348079716
86,global,0.519284506
86,inter_cluster,0.517043134
86,consensus,0.353588548
87,global,0.503522075
87,inter_cluster,0.501603246
87,consensus,0.342446015
88,global,0.528095784
88,inter_cluster,0.525167137
88,consensus,0.357839202
89,global,0.538790604
89,inter_cluster,0.536287824
89,consensus,0.365795028
90,global,0.501689303
90,inter_cluster,0.499445628
90,consensus,0.339997952
91,global,0.554974796
91,inter_cluster,0.552469372
91,consensus,0.373831989
92,global,0.502167740
92,inter_cluster,0.499173478
92,consensus,0.343769025
93,global,0.512588112
93,inter_cluster,0.508909663
93,consensus,0.345357805
94,global,0.510557535
94,inter_cluster,0.508350210
94,consensus,0.344737715
95,global,0.529626039
95,inter_cluster,0.528907839
95,consensus,0.356865278
96,global,0.624081636
96,inter_cluster,0.623916327
96,consensus,0.416394902
97,global,0.562874517
97,inter_cluster,0.562426550
97,consensus,0.381271583
98,global,0.526802187
98,inter_cluster,0.523882144
98,consensus,0.358965850
99,global,0.520604260
99,inter_cluster,0.518307835
99,consensus,0.355332309
