round,scope,value
0,global,0.512623193
0,inter_cluster,0.516736799
0,consensus,0.349524591
1,global,0.787073252
1,inter_cluster,0.791769299
1,consensus,0.546383421
2,global,0.873672352
2,inter_cluster,0.878784952
2,consensus,0.607587625
3,global,0.966685515
3,inter_cluster,0.969354009
3,consensus,0.670995360
4,global,1.088730432
4,inter_cluster,1.092599811
4,consensus,0.755376510
5,global,1.215464258
5,inter_cluster,1.219587109
5,consensus,0.841070285
6,global,1.321504668
6,inter_cluster,1.325019799
6,consensus,0.919639256
7,global,1.389612716
7,inter_cluster,1.391912675
7,consensus,0.968201770
8,global,1.414177563
8,inter_cluster,1.416119073
8,consensus,0.985119629
9,global,1.379251344
9,inter_cluster,1.383260863
9,consensus,0.960368647
10,global,1.367989357
10,inter_cluster,1.367813716
10,consensus,0.948160849
11,global,1.321139802
11,inter_cluster,1.322542472
11,consensus,0.921455767
12,global,1.260763773
12,inter_cluster,1.261138167
12,consensus,0.876756070
13,global,1.249688989
13,inter_cluster,1.251788852
13,consensus,0.871394212
14,global,1.234529319
14,inter_cluster,1.236145315
14,consensus,0.855763301
15,global,1.197317795
15,inter_cluster,1.198100097
15,consensus,0.830040353
16,global,1.124726306
16,inter_cluster,1.124441187
16,consensus,0.780706660
17,global,1.148743694
17,inter_cluster,1.150620222
17,consensus,0.795989295
18,global,1.122921898
18,inter_cluster,1.123795901
18,consensus,0.777600404
19,global,1.110260259
19,inter_cluster,1.113303508
19,consensus,0.770924986
20,global,1.047345671
20,inter_cluster,1.054259487
20,consensus,0.728207742
21,global,1.006571711
21,inter_cluster,1.011134921
21,consensus,0.699538540
22,global,1.030683968
22,inter_cluster,1.034783234
22,consensus,0.717221694
23,global,1.030332046
23,inter_cluster,1.034858763
23,consensus,0.715844772
24,global,1.001507917
24,inter_cluster,1.005170443
24,consensus,0.695893296
25,global,0.947091029
25,inter_cluster,0.954335402
25,consensus,0.658108613
26,global,0.911525612
26,inter_cluster,0.915332480
26,consensus,0.634294105
27,global,0.950804478
27,inter_cluster,0.959970282
27,consensus,0.657124096
28,global,0.907226775
28,inter_cluster,0.911317627
28,consensus,0.630289368
29,global,0.874198456
29,inter_cluster,0.881626989
29,consensus,0.607518477
30,global,0.979180073
30,inter_cluster,0.987722869
30,consensus,0.668969213
31,global,0.926237989
31,inter_cluster,0.932393434
31,consensus,0.640288536
32,global,0.908356118
32,inter_cluster,0.914049062
32,consensus,0.626110644
33,global,0.902007501
33,inter_cluster,0.907268059
33,consensus,0.621872577
34,global,0.851057863
34,inter_cluster,0.856883806
34,consensus,0.591038029
35,global,0.838898649
35,inter_cluster,0.845794388
35,consensus,0.582533090
36,global,0.827689589
36,inter_cluster,0.832646711
36,consensus,0.573175879
37,global,0.850903914
37,inter_cluster,0.856272859
37,consensus,0.588106302
38,global,0.889574664
38,inter_cluster,0.898143254
38,consensus,0.605955268
39,global,0.977489118
39,inter_cluster,0.981581585
39,consensus,0.661131634
40,global,0.951655102
40,inter_cluster,0.952364137
40,consensus,0.649491981
41,global,0.951936598
41,inter_cluster,0.955078004
41,consensus,0.653675262
42,global,0.928467486
42,inter_cluster,0.928572400
42,consensus,0.641884708
43,global,0.899251795
43,inter_cluster,0.898893827
43,consensus,0.621912336
44,global,0.839612596
44,inter_cluster,0.846497485
44,consensus,0.581147910
45,global,0.801546409
45,inter_cluster,0.806210120
45,consensus,0.556555769
46,global,0.799475166
46,inter_cluster,0.806831789
46,consensus,0.549978640
47,global,0.850136011
47,inter_cluster,0.858548156
47,consensus,0.583848592
48,global,0.817760784
48,inter_cluster,0.825979831
48,consensus,0.561990873
49,global,0.799193854
49,inter_cluster,0.806856132
49,consensus,0.550840057
50,global,0.770733336
50,inter_cluster,0.778496043
50,consensus,0.532793267
51,global,0.783614923
51,inter_cluster,0.791114785
51,consensus,0.541024788
52,global,0.786543099
52,inter_cluster,0.796818014
52,consensus,0.545293734
53,global,0.788516547
53,inter_cluster,0.799795334
53,consensus,0.547972044
54,global,0.814311707
54,inter_cluster,0.829748402
54,consensus,0.564966994
55,global,0.849483786
55,inter_cluster,0.863945712
55,consensus,0.588592554
56,global,0.797480238
56,inter_cluster,0.809739619
56,consensus,0.555824637
57,global,0.915726579
57,inter_cluster,0.924522802
57,consensus,0.627682505
58,global,0.838303916
58,inter_cluster,0.850446266
58,consensus,0.582254966
59,global,0.819832886
59,inter_cluster,0.834208631
59,consensus,0.570999199
60,global,0.860957120
60,inter_cluster,0.881041852
60,consensus,0.595554055
61,global,0.825855448
61,inter_cluster,0.840739797
61,consensus,0.572025792
62,global,0.919033542
62,inter_cluster,0.931144261
62,consensus,0.628890505
63,global,0.852013719
63,inter_cluster,0.864830041
63,consensus,0.589918659
64,global,1.039975905
64,inter_cluster,1.052995382
64,consensus,0.704771590
65,global,0.962130655
65,inter_cluster,0.976036968
65,consensus,0.659922770
66,global,0.837490355
66,inter_cluster,0.856655086
66,consensus,0.583490468
67,global,0.841178864
67,inter_cluster,0.860115985
67,consensus,0.582899478
68,global,0.827571436
68,inter_cluster,0.843214571
68,consensus,0.576093430
69,global,1.035940872
69,inter_cluster,1.048964548
69,consensus,0.699857183
70,global,0.932552541
70,inter_cluster,0.946297131
70,consensus,0.641789941
71,global,0.834198141
71,inter_cluster,0.847287076
71,consensus,0.577000701
72,global,0.872621194
72,inter_cluster,0.888011441
72,consensus,0.600716940
73,global,0.803726262
73,inter_cluster,0.819224301
73,consensus,0.558250659
74,global,0.903251901
74,inter_cluster,0.921384087
74,consensus,0.622285742
75,global,0.778722730
75,inter_cluster,0.796818611
75,consensus,0.540115514
76,global,0.805611623
76,inter_cluster,0.815062987
76,consensus,0.556067048
77,global,0.813725824
77,inter_cluster,0.827773656
77,consensus,0.562118250
78,global,0.777071441
78,inter_cluster,0.792295281
78,consensus,0.538373321
79,global,0.891531931
79,inter_cluster,0.910180550
79,consensus,0.610460281
80,global,0.871164175
80,inter_cluster,0.890948612
80,consensus,0.601953414
81,global,0.851627123
81,inter_cluster,0.870082288
81,consensus,0.587167254
82,global,1.095923674
82,inter_cluster,1.114264144
82,consensus,0.734416750
83,global,1.081177015
83,inter_cluster,1.091711189
83,consensus,0.725625218
84,global,0.976161412
84,inter_cluster,0.985374199
84,consensus,0.663047962
85,global,0.874724560
85,inter_cluster,0.890112571
85,consensus,0.602955628
86,global,0.797459028
86,inter_cluster,0.815098430
86,consensus,0.555370421
87,global,0.822190676
87,inter_cluster,0.836160200
87,consensus,0.569568630
88,global,0.915038465
88,inter_cluster,0.935152465
88,consensus,0.623356465
89,global,0.945937099
89,inter_cluster,0.962052199
89,consensus,0.645090334
90,global,0.824659499
90,inter_cluster,0.839413764
90,consensus,0.569617200
91,global,0.985758672
91,inter_cluster,0.997264849
91,consensus,0.665235657
92,global,0.949723377
92,inter_cluster,0.965718475
92,consensus,0.645004012
93,global,0.889315413
93,inter_cluster,0.900952149
93,consensus,0.611472195
94,global,0.821676255
94,inter_cluster,0.838695764
94,consensus,0.572305384
95,global,0.946446715
95,inter_cluster,0.958399383
95,consensus,0.644027541
96,global,0.909120961
96,inter_cluster,0.924973928
96,consensus,0.622126995
97,global,0.843370964
97,inter_cluster,0.859329527
97,consensus,0.584988191
98,global,0.805339966
98,inter_cluster,0.821699693
98,consensus,0.558839867
99,global,0.962261483
99,inter_cluster,0.976400972
99,consensus,0.655441155
