round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,920,20,39,0
1,920,20,39,0
2,920,20,39,0
3,920,20,39,0
4,920,20,39,0
5,920,20,39,0
6,920,20,39,0
7,920,20,39,0
8,920,20,39,0
9,920,20,39,0
10,920,20,39,0
11,920,20,39,0
12,920,20,39,0
13,920,20,39,0
14,920,20,39,0
15,920,20,39,0
16,920,20,39,0
17,920,20,39,0
18,920,20,39,0
19,920,20,39,0
20,920,20,39,0
21,920,20,39,0
22,920,20,39,0
23,920,20,39,0
24,920,20,39,0
25,920,20,39,0
26,920,20,39,0
27,920,20,39,0
28,920,20,39,0
29,920,20,39,0
30,920,20,39,0
31,920,20,39,0
32,920,20,39,0
33,920,20,39,0
34,920,20,39,0
35,920,20,39,0
36,920,20,39,0
37,920,20,39,0
38,920,20,39,0
39,920,20,39,0
40,920,20,39,0
41,920,20,39,0
42,920,20,39,0
43,920,20,39,0
44,920,20,39,0
45,920,20,39,0
46,920,20,39,0
47,920,20,39,0
48,920,20,39,0
49,920,20,39,0
50,920,20,39,0
51,920,20,39,0
52,920,20,39,0
53,920,20,39,0
54,920,20,39,0
55,920,20,39,0
56,920,20,39,0
57,920,20,39,0
58,920,20,39,0
59,920,20,39,0
60,920,20,39,0
61,920,20,39,0
62,920,20,39,0
63,920,20,39,0
64,920,20,39,0
65,920,20,39,0
66,920,20,39,0
67,920,20,39,0
68,920,20,39,0
69,920,20,39,0
70,920,20,39,0
71,920,20,39,0
72,920,20,39,0
73,920,20,39,0
74,920,20,39,0
75,920,20,39,0
76,920,20,39,0
77,920,20,39,0
78,920,20,39,0
79,920,20,39,0
80,920,20,39,0
81,920,20,39,0
82,920,20,39,0
83,920,20,39,0
84,920,20,39,0
85,920,20,39,0
86,920,20,39,0
87,920,20,39,0
88,920,20,39,0
89,920,20,39,0
90,920,20,39,0
91,920,20,39,0
92,920,20,39,0
93,920,20,39,0
94,920,20,39,0
95,920,20,39,0
96,920,20,39,0
97,920,20,39,0
98,920,20,39,0
99,920,20,39,0
