round,scope,value
0,global,0.458418720
0,inter_cluster,0.460130681
0,consensus,0.314775112
1,global,0.713788616
1,inter_cluster,0.713846763
1,consensus,0.493636445
2,global,0.815307601
2,inter_cluster,0.817041835
2,consensus,0.565667018
3,global,0.889487201
3,inter_cluster,0.891376554
3,consensus,0.615737058
4,global,0.997871312
4,inter_cluster,1.001831778
4,consensus,0.687615209
5,global,1.100377897
5,inter_cluster,1.106880675
5,consensus,0.757879937
6,global,1.165927148
6,inter_cluster,1.174183221
6,consensus,0.805012641
7,global,1.207263505
7,inter_cluster,1.213376863
7,consensus,0.834349105
8,global,1.233988781
8,inter_cluster,1.243180639
8,consensus,0.848415299
9,global,1.159811583
9,inter_cluster,1.169758048
9,consensus,0.798737168
10,global,1.116744757
10,inter_cluster,1.127293130
10,consensus,0.771203615
11,global,1.067000002
11,inter_cluster,1.077677511
11,consensus,0.736962560
12,global,0.986840809
12,inter_cluster,0.994540573
12,consensus,0.681745342
13,global,0.988971928
13,inter_cluster,0.994259373
13,consensus,0.684676596
14,global,0.907715708
14,inter_cluster,0.911027129
14,consensus,0.628472429
15,global,0.979996386
15,inter_cluster,0.985781360
15,consensus,0.677468575
16,global,0.889160620
16,inter_cluster,0.896553587
16,consensus,0.615388498
17,global,0.896108031
17,inter_cluster,0.900907158
17,consensus,0.618276858
18,global,0.892718712
18,inter_cluster,0.897972913
18,consensus,0.614334796
19,global,0.850451345
19,inter_cluster,0.855650062
19,consensus,0.585845236
20,global,0.819328940
20,inter_cluster,0.825553743
20,consensus,0.565626429
21,global,0.814856172
21,inter_cluster,0.818149657
21,consensus,0.562714964
22,global,0.779345300
22,inter_cluster,0.785458721
22,consensus,0.538955800
23,global,0.777494496
23,inter_cluster,0.780669047
23,consensus,0.537818437
24,global,0.900321319
24,inter_cluster,0.905885950
24,consensus,0.617273209
25,global,0.777559269
25,inter_cluster,0.782267455
25,consensus,0.537703022
26,global,0.930350025
26,inter_cluster,0.936193706
26,consensus,0.626320053
27,global,0.978288974
27,inter_cluster,0.981554794
27,consensus,0.656077757
28,global,0.879395898
28,inter_cluster,0.886870371
28,consensus,0.596275641
29,global,0.858676173
29,inter_cluster,0.860773506
29,consensus,0.589506959
30,global,0.850214980
30,inter_cluster,0.858605699
30,consensus,0.582531732
31,global,0.808262295
31,inter_cluster,0.814960962
31,consensus,0.558830635
32,global,0.837332965
32,inter_cluster,0.845898718
32,consensus,0.576087276
33,global,0.916580616
33,inter_cluster,0.922089208
33,consensus,0.629166106
34,global,0.826378708
34,inter_cluster,0.833171580
34,consensus,0.571375853
35,global,0.817888982
35,inter_cluster,0.824245439
35,consensus,0.557998825
36,global,0.843516579
36,inter_cluster,0.851937093
36,consensus,0.579025075
37,global,0.823795546
37,inter_cluster,0.827513564
37,consensus,0.565616680
38,global,0.978872942
38,inter_cluster,0.986011149
38,consensus,0.667296621
39,global,0.859988456
39,inter_cluster,0.868082904
39,consensus,0.590093765
40,global,0.867405810
40,inter_cluster,0.875067231
40,consensus,0.594764568
41,global,1.073657499
41,inter_cluster,1.073772835
41,consensus,0.725111174
42,global,0.977854555
42,inter_cluster,0.979349540
42,consensus,0.664527509
43,global,0.857468543
43,inter_cluster,0.859636126
43,consensus,0.589857772
44,global,0.886514196
44,inter_cluster,0.886223991
44,consensus,0.610084274
45,global,0.891848638
45,inter_cluster,0.895508593
45,consensus,0.613929533
46,global,0.882108258
46,inter_cluster,0.885680934
46,consensus,0.604776506
47,global,0.886955921
47,inter_cluster,0.895892288
47,consensus,0.607837128
48,global,0.938189183
48,inter_cluster,0.946181066
48,consensus,0.641350576
49,global,0.890762894
49,inter_cluster,0.895581260
49,consensus,0.613042775
50,global,0.917812263
50,inter_cluster,0.921689563
50,consensus,0.631388134
51,global,0.875311947
51,inter_cluster,0.880945442
51,consensus,0.602955587
52,global,0.817368771
52,inter_cluster,0.825502298
52,consensus,0.564327516
53,global,0.974526881
53,inter_cluster,0.980811444
53,consensus,0.668119905
54,global,0.913512426
54,inter_cluster,0.917420474
54,consensus,0.628019955
55,global,0.935369037
55,inter_cluster,0.937233823
55,consensus,0.645006919
56,global,0.924948942
56,inter_cluster,0.931763271
56,consensus,0.634739774
57,global,1.029339393
57,inter_cluster,1.028152515
57,consensus,0.703592754
58,global,0.928813824
58,inter_cluster,0.940215440
58,consensus,0.641039508
59,global,0.896507813
59,inter_cluster,0.900393212
59,consensus,0.619622280
60,global,0.962394300
60,inter_cluster,0.970514718
60,consensus,0.661739897
61,global,1.011362525
61,inter_cluster,1.016312871
61,consensus,0.693341208
62,global,0.928001085
62,inter_cluster,0.935963864
62,consensus,0.640618636
63,global,0.983903500
63,inter_cluster,0.987832917
63,consensus,0.676115380
64,global,0.899071326
64,inter_cluster,0.905502305
64,consensus,0.621754899
65,global,0.901744404
65,inter_cluster,0.909702424
65,consensus,0.624003849
66,global,0.896008460
66,inter_cluster,0.901096233
66,consensus,0.618958525
67,global,0.941273850
67,inter_cluster,0.951253073
67,consensus,0.649915352
68,global,0.884084254
68,inter_cluster,0.892116799
68,consensus,0.612307476
69,global,1.046832656
69,inter_cluster,1.046768995
69,consensus,0.713251774
70,global,0.961173265
70,inter_cluster,0.967737086
70,consensus,0.662481585
71,global,0.994452071
71,inter_cluster,0.998967419
71,consensus,0.681164213
72,global,0.945523036
72,inter_cluster,0.952649145
72,consensus,0.652876607
73,global,1.029249829
73,inter_cluster,1.038711109
73,consensus,0.704971675
74,global,1.009718298
74,inter_cluster,1.021844752
74,consensus,0.694463671
75,global,1.035902633
75,inter_cluster,1.041895128
75,consensus,0.712419570
76,global,1.087614597
76,inter_cluster,1.091217046
76,consensus,0.747551048
77,global,1.108443047
77,inter_cluster,1.112842009
77,consensus,0.753176745
78,global,0.987097861
78,inter_cluster,0.994372044
78,consensus,0.679318469
79,global,0.969816408
79,inter_cluster,0.973058894
79,consensus,0.668087179
80,global,0.935865509
80,inter_cluster,0.945288542
80,consensus,0.644502946
81,global,0.975366543
81,inter_cluster,0.982872684
81,consensus,0.673890704
82,global,1.027389164
82,inter_cluster,1.035054460
82,consensus,0.698718044
83,global,1.125202743
83,inter_cluster,1.125996249
83,consensus,0.762702035
84,global,0.952101597
84,inter_cluster,0.956331209
84,consensus,0.653823998
85,global,0.958633864
85,inter_cluster,0.966963766
85,consensus,0.659485220
86,global,1.099904827
86,inter_cluster,1.105319107
86,consensus,0.749430020
87,global,1.050884947
87,inter_cluster,1.053252693
87,consensus,0.718861962
88,global,0.989688887
88,inter_cluster,0.992843144
88,consensus,0.679048611
89,global,1.029029902
89,inter_cluster,1.032389913
89,consensus,0.705067879
90,global,1.005475062
90,inter_cluster,1.014216588
90,consensus,0.684975466
91,global,1.002942254
91,inter_cluster,1.007463057
91,consensus,0.691299756
92,global,1.074888908
92,inter_cluster,1.083745444
92,consensus,0.730767714
93,global,1.048611508
93,inter_cluster,1.057857547
93,consensus,0.716354825
94,global,0.990546944
94,inter_cluster,0.996174468
94,consensus,0.682682937
95,global,0.931143336
95,inter_cluster,0.939467116
95,consensus,0.644047571
96,global,1.109993327
96,inter_cluster,1.113728263
96,consensus,0.755577004
97,global,1.001889623
97,inter_cluster,1.005869915
97,consensus,0.689866012
98,global,1.044274397
98,inter_cluster,1.051665592
98,consensus,0.715849206
99,global,1.056433417
99,inter_cluster,1.062006623
99,consensus,0.725251812
