round,node,idle_ticks,busy_ticks
0,0,1215,48
0,1,1201,62
0,2,1169,94
0,3,1175,88
0,4,1189,74
0,5,1206,57
0,6,1194,69
0,7,1173,90
0,8,1213,50
0,9,1169,94
0,10,1208,55
0,11,1142,121
0,12,1185,78
0,13,1187,76
0,14,1177,86
0,15,621,642
0,16,40,1223
0,17,547,716
0,18,614,649
0,19,861,402
0,20,536,727
0,21,790,473
0,22,488,775
0,23,962,301
0,24,415,848
0,25,810,453
0,26,854,409
0,27,832,431
0,28,623,640
0,29,15,1248
1,0,1215,48
1,1,1201,62
1,2,1169,94
1,3,1175,88
1,4,1189,74
1,5,1206,57
1,6,1194,69
1,7,1173,90
1,8,1213,50
1,9,1169,94
1,10,1208,55
1,11,1142,121
1,12,1185,78
1,13,1187,76
1,14,1177,86
1,15,621,642
1,16,40,1223
1,17,547,716
1,18,614,649
1,19,861,402
1,20,536,727
1,21,790,473
1,22,488,775
1,23,962,301
1,24,415,848
1,25,810,453
1,26,854,409
1,27,832,431
1,28,623,640
1,29,15,1248
2,0,1215,48
2,1,1201,62
2,2,1169,94
2,3,1175,88
2,4,1189,74
2,5,1206,57
2,6,1194,69
2,7,1173,90
2,8,1213,50
2,9,1169,94
2,10,1208,55
2,11,1142,121
2,12,1166,97
2,13,1187,76
2,14,1177,86
2,15,621,642
2,16,40,1223
2,17,547,716
2,18,614,649
2,19,861,402
2,20,536,727
2,21,790,473
2,22,488,775
2,23,962,301
2,24,415,848
2,25,810,453
2,26,854,409
2,27,832,431
2,28,623,640
2,29,15,1248
3,0,1215,48
3,1,1201,62
3,2,1169,94
3,3,1175,88
3,4,1189,74
3,5,1206,57
3,6,1194,69
3,7,1173,90
3,8,1213,50
3,9,1169,94
3,10,1208,55
3,11,1142,121
3,12,1185,78
3,13,1187,76
3,14,1177,86
3,15,621,642
3,16,40,1223
3,17,547,716
3,18,614,649
3,19,861,402
3,20,536,727
3,21,790,473
3,22,488,775
3,23,962,301
3,24,415,848
3,25,810,453
3,26,854,409
3,27,832,431
3,28,623,640
3,29,15,1248
4,0,1215,48
4,1,1201,62
4,2,1169,94
4,3,1175,88
4,4,1189,74
4,5,1206,57
4,6,1194,69
4,7,1173,90
4,8,1213,50
4,9,1169,94
4,10,1208,55
4,11,1142,121
4,12,1166,97
4,13,1187,76
4,14,1177,86
4,15,621,642
4,16,40,1223
4,17,547,716
4,18,614,649
4,19,861,402
4,20,536,727
4,21,790,473
4,22,488,775
4,23,962,301
4,24,415,848
4,25,810,453
4,26,854,409
4,27,832,431
4,28,623,640
4,29,15,1248
5,0,1215,48
5,1,1201,62
5,2,1169,94
5,3,1175,88
5,4,1189,74
5,5,1206,57
5,6,1194,69
5,7,1173,90
5,8,1213,50
5,9,1169,94
5,10,1208,55
5,11,1142,121
5,12,1166,97
5,13,1187,76
5,14,1177,86
5,15,621,642
5,16,40,1223
5,17,547,716
5,18,614,649
5,19,861,402
5,20,536,727
5,21,790,473
5,22,488,775
5,23,962,301
5,24,415,848
5,25,810,453
5,26,854,409
5,27,832,431
5,28,623,640
5,29,15,1248
6,0,1215,48
6,1,1201,62
6,2,1169,94
6,3,1175,88
6,4,1189,74
6,5,1206,57
6,6,1194,69
6,7,1173,90
6,8,1213,50
6,9,1169,94
6,10,1208,55
6,11,1142,121
6,12,1185,78
6,13,1187,76
6,14,1177,86
6,15,621,642
6,16,40,1223
6,17,547,716
6,18,614,649
6,19,861,402
6,20,536,727
