round,scope,value
0,global,0.481065524
0,inter_cluster,0.486988227
0,consensus,0.327330998
1,global,0.738539993
1,inter_cluster,0.741804114
1,consensus,0.508863135
2,global,0.884687208
2,inter_cluster,0.886054840
2,consensus,0.614245054
3,global,1.008006235
3,inter_cluster,1.013661756
3,consensus,0.695164164
4,global,1.136102397
4,inter_cluster,1.142668047
4,consensus,0.781934778
5,global,1.297112914
5,inter_cluster,1.309346721
5,consensus,0.894590323
6,global,1.383563325
6,inter_cluster,1.395067623
6,consensus,0.953009309
7,global,1.440398777
7,inter_cluster,1.454324931
7,consensus,0.995668945
8,global,1.450390095
8,inter_cluster,1.449191725
8,consensus,1.000882646
9,global,1.424789153
9,inter_cluster,1.418537690
9,consensus,0.982681017
10,global,1.436592156
10,inter_cluster,1.434015269
10,consensus,0.995054925
11,global,1.413803775
11,inter_cluster,1.419567365
11,consensus,0.977563920
12,global,1.410021165
12,inter_cluster,1.412279075
12,consensus,0.971081154
13,global,1.364943541
13,inter_cluster,1.375194003
13,consensus,0.944685606
14,global,1.397384844
14,inter_cluster,1.400967966
14,consensus,0.965899414
15,global,1.339449137
15,inter_cluster,1.335913070
15,consensus,0.929739499
16,global,1.328477653
16,inter_cluster,1.329896125
16,consensus,0.922634795
17,global,1.299727478
17,inter_cluster,1.299280265
17,consensus,0.903337015
18,global,1.295632516
18,inter_cluster,1.300973344
18,consensus,0.901172679
19,global,1.229740211
19,inter_cluster,1.238202621
19,consensus,0.851605553
20,global,1.215932329
20,inter_cluster,1.211571666
20,consensus,0.841244340
21,global,1.195541629
21,inter_cluster,1.197535481
21,consensus,0.823889972
22,global,1.250623329
22,inter_cluster,1.253576096
22,consensus,0.853033711
23,global,1.191813550
23,inter_cluster,1.193939064
23,consensus,0.825357247
24,global,1.152492501
24,inter_cluster,1.157874625
24,consensus,0.797174901
25,global,1.110843039
25,inter_cluster,1.115035362
25,consensus,0.767135692
26,global,1.079019833
26,inter_cluster,1.079423197
26,consensus,0.743296357
27,global,1.124710369
27,inter_cluster,1.124118150
27,consensus,0.775298970
28,global,1.148227473
28,inter_cluster,1.143655729
28,consensus,0.796233496
29,global,1.114891968
29,inter_cluster,1.114290139
29,consensus,0.769190814
30,global,1.058167979
30,inter_cluster,1.058439769
30,consensus,0.729790635
31,global,1.035397394
31,inter_cluster,1.029920043
31,consensus,0.713553517
32,global,1.053271649
32,inter_cluster,1.049465307
32,consensus,0.724860096
33,global,0.980439339
33,inter_cluster,0.978565773
33,consensus,0.675086540
34,global,0.990576682
34,inter_cluster,0.989344549
34,consensus,0.684581483
35,global,0.987614955
35,inter_cluster,0.992324045
35,consensus,0.679799360
36,global,0.961899198
36,inter_cluster,0.965164724
36,consensus,0.663548925
37,global,1.000025357
37,inter_cluster,0.994742133
37,consensus,0.689100803
38,global,0.949016293
38,inter_cluster,0.951987483
38,consensus,0.651572457
39,global,0.963788639
39,inter_cluster,0.964150245
39,consensus,0.660399918
40,global,0.914691126
40,inter_cluster,0.913823918
40,consensus,0.629757396
41,global,0.917886238
41,inter_cluster,0.918673931
41,consensus,0.631347302
42,global,0.914774607
42,inter_cluster,0.910605911
42,consensus,0.626533107
43,global,0.877412339
43,inter_cluster,0.871110117
43,consensus,0.603727254
44,global,1.089467622
44,inter_cluster,1.089334751
44,consensus,0.736312357
45,global,0.943688910
45,inter_cluster,0.944176892
45,consensus,0.648171951
46,global,0.915231161
46,inter_cluster,0.918861683
46,consensus,0.628517724
47,global,0.922773378
47,inter_cluster,0.922882557
47,consensus,0.631665012
48,global,0.906111186
48,inter_cluster,0.904390169
48,consensus,0.619342411
49,global,0.909757931
49,inter_cluster,0.902983172
49,consensus,0.626606162
50,global,0.835988507
50,inter_cluster,0.835264053
50,consensus,0.573628754
51,global,0.825286973
51,inter_cluster,0.820805026
51,consensus,0.569462161
52,global,0.802002997
52,inter_cluster,0.805577003
52,consensus,0.553075897
53,global,0.765713432
53,inter_cluster,0.768246850
53,consensus,0.526655161
54,global,0.849448026
54,inter_cluster,0.848972902
54,consensus,0.581307602
55,global,0.801618964
55,inter_cluster,0.800200227
