round,node,ul_bytes,dl_bytes,energy_mj
0,0,1480944,1480944,32249.998567
0,1,2221416,2221416,32249.997851
0,2,1480944,1480944,32249.998567
0,3,1480944,1480944,32249.998567
0,4,740472,740472,32249.999284
0,5,740472,740472,32249.999284
0,6,987296,987296,32249.999045
0,7,493648,493648,32249.999522
0,8,493648,493648,32249.999522
0,9,740472,740472,32249.999284
0,10,1480944,1480944,32249.998567
0,11,987296,987296,32249.999045
0,12,987296,987296,32249.999045
0,13,493648,493648,32249.999522
0,14,740472,740472,32249.999284
0,15,987296,987296,32249.999045
0,16,740472,740472,32249.999284
0,17,493648,493648,32249.999522
0,18,493648,493648,32249.999522
0,19,493648,493648,32249.999522
0,20,493648,493648,32249.999522
0,21,493648,493648,32249.999522
0,22,493648,493648,32249.999522
0,23,493648,493648,32249.999522
0,24,493648,493648,32249.999522
0,25,493648,493648,32249.999522
0,26,493648,493648,32249.999522
0,27,493648,493648,32249.999522
0,28,493648,493648,32249.999522
0,29,493648,493648,32249.999522
1,0,1480944,1480944,32249.998567
1,1,2468240,2468240,32249.997612
1,2,1727768,1727768,32249.998328
1,3,987296,987296,32249.999045
1,4,493648,493648,32249.999522
1,5,493648,493648,32249.999522
1,6,987296,987296,32249.999045
1,7,493648,493648,32249.999522
1,8,493648,493648,32249.999522
1,9,740472,740472,32249.999284
1,10,1480944,1480944,32249.998567
1,11,987296,987296,32249.999045
1,12,740472,740472,32249.999284
1,13,493648,493648,32249.999522
1,14,740472,740472,32249.999284
1,15,1234120,1234120,32249.998806
1,16,740472,740472,32249.999284
1,17,493648,493648,32249.999522
1,18,493648,493648,32249.999522
1,19,493648,493648,32249.999522
1,20,493648,493648,32249.999522
1,21,493648,493648,32249.999522
1,22,493648,493648,32249.999522
1,23,493648,493648,32249.999522
1,24,493648,493648,32249.999522
1,25,493648,493648,32249.999522
1,26,493648,493648,32249.999522
1,27,493648,493648,32249.999522
1,28,493648,493648,32249.999522
1,29,493648,493648,32249.999522
2,0,1234120,1234120,32249.998806
2,1,2468240,2468240,32249.997612
2,2,1727768,1727768,32249.998328
2,3,740472,740472,32249.999284
2,4,740472,740472,32249.999284
2,5,493648,493648,32249.999522
2,6,987296,987296,32249.999045
2,7,493648,493648,32249.999522
2,8,493648,493648,32249.999522
2,9,987296,987296,32249.999045
2,10,1234120,1234120,32249.998806
2,11,740472,740472,32249.999284
2,12,740472,740472,32249.999284
2,13,493648,493648,32249.999522
2,14,740472,740472,32249.999284
2,15,987296,987296,32249.999045
2,16,493648,493648,32249.999522
2,17,493648,493648,32249.999522
2,18,493648,493648,32249.999522
2,19,493648,493648,32249.999522
2,20,493648,493648,32249.999522
2,21,493648,493648,32249.999522
2,22,493648,493648,32249.999522
2,23,493648,493648,32249.999522
2,24,493648,493648,32249.999522
2,25,493648,493648,32249.999522
2,26,493648,493648,32249.999522
2,27,493648,493648,32249.999522
2,28,493648,493648,32249.999522
2,29,493648,493648,32249.999522
3,0,1480944,1480944,32249.998567
3,1,2961888,2961888,32249.997134
3,2,1480944,1480944,32249.998567
3,3,1234120,1234120,32249.998806
3,4,740472,740472,32249.999284
3,5,740472,740472,32249.999284
3,6,1234120,1234120,32249.998806
3,7,493648,493648,32249.999522
3,8,493648,493648,32249.999522
3,9,493648,493648,32249.999522
3,10,1234120,1234120,32249.998806
3,11,740472,740472,32249.999284
3,12,987296,987296,32249.999045
3,13,493648,493648,32249.999522
3,14,493648,493648,32249.999522
3,15,987296,987296,32249.999045
3,16,493648,493648,32249.999522
3,17,493648,493648,32249.999522
3,18,493648,493648,32249.999522
3,19,493648,493648,32249.999522
3,20,493648,493648,32249.999522
3,21,493648,493648,32249.999522
3,22,493648,493648,32249.999522
3,23,493648,493648,32249.999522
3,24,493648,493648,32249.999522
3,25,493648,493648,32249.999522
3,26,493648,493648,32249.999522
3,27,493648,493648,32249.999522
3,28,493648,493648,32249.999522
3,29,493648,493648,32249.999522
4,0,1480944,1480944,32249.998567
4,1,2221416,2221416,32249.997851
4,2,1480944,1480944,32249.998567
4,3,1234120,1234120,32249.998806
4,4,493648,493648,32249.999522
4,5,493648,493648,32249.999522
4,6,987296,987296,32249.999045
4,7,493648,493648,32249.999522
4,8,493648,493648,32249.999522
4,9,740472,740472,32249.999284
4,10,1480944,1480944,32249.998567
4,11,740472,740472,32249.999284
4,12,987296,987296,32249.999045
4,13,493648,493648,32249.999522
4,14,493648,493648,32249.999522
4,15,987296,987296,32249.999045
