round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,1;9,4196008,4196008,106,69,902,796
0,1,7;28,1480944,1480944,133,104,902,769
0,2,1;27,1234120,1234120,60,24,902,842
0,3,0;2,1480944,1480944,92,63,902,810
0,4,0;3,493648,493648,55,45,902,847
0,5,0;9,1727768,1727768,65,35,902,837
0,6,0;2,493648,493648,49,38,902,853
0,7,1;23,1234120,1234120,63,26,902,839
0,8,1;5,493648,493648,76,65,902,826
0,9,21;25,987296,987296,85,57,902,817
0,10,0;14,493648,493648,74,62,902,828
0,11,0;19,493648,493648,77,54,902,825
0,12,0;5,493648,493648,110,98,902,792
0,13,2;22,1234120,1234120,90,52,902,812
0,14,0;20,740472,740472,83,56,902,819
0,15,3;7,493648,493648,427,404,902,475
0,16,0;3,987296,987296,723,685,902,179
0,17,0;1,493648,493648,694,669,902,208
0,18,0;3,493648,493648,667,638,902,235
0,19,0;11,493648,493648,604,580,902,298
0,20,5;14,493648,493648,515,486,902,387
0,21,5;9,493648,493648,621,591,902,281
0,22,13;16,493648,493648,615,577,902,287
0,23,0;7,493648,493648,901,864,902,1
0,24,5;7,493648,493648,416,394,902,486
0,25,0;9,493648,493648,422,397,902,480
0,26,7;13,493648,493648,637,603,902,265
0,27,2;13,493648,493648,606,570,902,296
0,28,1;16,493648,493648,591,559,902,311
0,29,0;13,493648,493648,582,554,902,320
1,0,10;29,3455536,3455536,106,69,902,796
1,1,0;5,1480944,1480944,133,104,902,769
1,2,0;6,740472,740472,60,24,902,842
1,3,4;18,740472,740472,92,63,902,810
1,4,3;13,493648,493648,55,45,902,847
1,5,1;10,1727768,1727768,65,35,902,837
1,6,0;2,493648,493648,49,38,902,853
1,7,1;24,1480944,1480944,63,26,902,839
1,8,1;5,493648,493648,76,65,902,826
1,9,0;21,740472,740472,85,57,902,817
1,10,0;14,740472,740472,74,62,902,828
1,11,7;19,493648,493648,77,54,902,825
1,12,0;5,493648,493648,110,98,902,792
1,13,22;27,1234120,1234120,90,52,902,812
1,14,0;10,740472,740472,83,56,902,819
1,15,3;7,493648,493648,427,404,902,475
1,16,0;22,740472,740472,723,685,902,179
1,17,0;1,493648,493648,694,669,902,208
1,18,0;3,493648,493648,667,638,902,235
1,19,0;11,493648,493648,604,580,902,298
1,20,5;14,493648,493648,515,486,902,387
1,21,5;9,493648,493648,621,591,902,281
1,22,13;16,493648,493648,615,577,902,287
1,23,0;7,493648,493648,901,864,902,1
1,24,5;7,493648,493648,416,394,902,486
1,25,0;9,493648,493648,422,397,902,480
1,26,7;13,493648,493648,637,603,902,265
1,27,2;13,493648,493648,606,570,902,296
1,28,1;16,493648,493648,591,559,902,311
1,29,0;13,493648,493648,582,554,902,320
2,0,9;25,3208712,3208712,106,69,902,796
2,1,5;8,1234120,1234120,133,104,902,769
2,2,6;7,987296,987296,60,24,902,842
2,3,0;16,1234120,1234120,92,63,902,810
2,4,0;3,493648,493648,55,45,902,847
2,5,0;12,1974592,1974592,65,35,902,837
2,6,0;2,493648,493648,49,38,902,853
2,7,1;26,1480944,1480944,63,26,902,839
2,8,1;5,493648,493648,76,65,902,826
2,9,21;25,740472,740472,85,57,902,817
2,10,5;14,493648,493648,74,62,902,828
2,11,0;19,493648,493648,77,54,902,825
2,12,0;5,493648,493648,110,98,902,792
2,13,2;22,1234120,1234120,90,52,902,812
2,14,10;20,493648,493648,83,56,902,819
2,15,3;7,493648,493648,427,404,902,475
2,16,3;22,740472,740472,723,685,902,179
2,17,0;1,493648,493648,694,669,902,208
2,18,0;3,493648,493648,667,638,902,235
2,19,0;11,493648,493648,604,580,902,298
2,20,5;14,493648,493648,515,486,902,387
2,21,5;9,493648,493648,621,591,902,281
2,22,13;16,493648,493648,615,577,902,287
2,23,0;7,493648,493648,901,864,902,1
2,24,5;7,493648,493648,416,394,902,486
2,25,0;9,493648,493648,422,397,902,480
2,26,7;13,493648,493648,637,603,902,265
2,27,2;13,493648,493648,606,570,902,296
2,28,1;16,493648,493648,591,559,902,311
2,29,0;13,493648,493648,582,554,902,320
3,0,4;14,3702360,3702360,106,69,902,796
3,1,2;28,987296,987296,133,104,902,769
3,2,1;7,1480944,1480944,60,24,902,842
3,3,2;15,987296,987296,92,63,902,810
3,4,0;13,493648,493648,55,45,902,847
3,5,0;20,1727768,1727768,65,35,902,837
3,6,0;2,493648,493648,49,38,902,853
3,7,11;23,1480944,1480944,63,26,902,839
3,8,1;5,493648,493648,76,65,902,826
3,9,0;25,740472,740472,85,57,902,817
3,10,0;5,493648,493648,74,62,902,828
3,11,0;19,740472,740472,77,54,902,825
3,12,0;5,493648,493648,110,98,902,792
3,13,2;26,1480944,1480944,90,52,902,812
3,14,0;20,493648,493648,83,56,902,819
3,15,3;7,493648,493648,427,404,902,475
3,16,0;3,987296,987296,723,685,902,179
3,17,0;1,493648,493648,694,669,902,208
3,18,0;3,493648,493648,667,638,902,235
3,19,0;11,493648,493648,604,580,902,298
3,20,5;14,493648,493648,515,486,902,387
3,21,5;9,493648,493648,621,591,902,281
3,22,13;16,493648,493648,615,577,902,287
3,23,0;7,493648,493648,901,864,902,1
3,24,5;7,493648,493648,416,394,902,486
3,25,0;9,493648,493648,422,397,902,480
3,26,7;13,493648,493648,637,603,902,265
3,27,2;13,493648,493648,606,570,902,296
3,28,1;16,493648,493648,591,559,902,311
3,29,0;13,493648,493648,582,554,902,320
4,0,5;23,3208712,3208712,106,69,902,796
4,1,17;28,740472,740472,133,104,902,769
4,2,13;27,987296,987296,60,24,902,842
4,3,16;18,987296,987296,92,63,902,810
4,4,0;3,740472,740472,55,45,902,847
4,5,9;20,1974592,1974592,65,35,902,837
4,6,0;2,493648,493648,49,38,902,853
4,7,2;11,1480944,1480944,63,26,902,839
4,8,1;5,493648,493648,76,65,902,826
4,9,21;25,740472,740472,85,57,902,817
4,10,0;5,493648,493648,74,62,902,828
4,11,0;19,740472,740472,77,54,902,825
4,12,0;5,493648,493648,110,98,902,792
4,13,4;29,1480944,1480944,90,52,902,812
4,14,0;20,493648,493648,83,56,902,819
4,15,3;7,493648,493648,427,404,902,475
4,16,22;28,740472,740472,723,685,902,179
4,17,0;1,493648,493648,694,669,902,208
4,18,0;3,493648,493648,667,638,902,235
4,19,0;11,493648,493648,604,580,902,298
4,20,5;14,493648,493648,515,486,902,387
4,21,5;9,493648,493648,621,591,902,281
4,22,13;16,493648,493648,615,577,902,287
4,23,0;7,493648,493648,901,864,902,1
4,24,5;7,493648,493648,416,394,902,486
4,25,0;9,493648,493648,422,397,902,480
4,26,7;13,493648,493648,637,603,902,265
4,27,2;13,493648,493648,606,570,902,296
4,28,1;16,493648,493648,591,559,902,311
4,29,0;13,493648,493648,582,554,902,320
5,0,17;19,3208712,3208712,106,69,902,796
5,1,2;8,987296,987296,133,104,902,769
5,2,6;27,987296,987296,60,24,902,842
5,3,0;2,1234120,1234120,92,63,902,810
5,4,0;3,493648,493648,55,45,902,847
5,5,9;21,1480944,1480944,65,35,902,837
5,6,0;2,493648,493648,49,38,902,853
5,7,23;26,1234120,1234120,63,26,902,839
5,8,1;5,493648,493648,76,65,902,826
5,9,21;25,740472,740472,85,57,902,817
5,10,0;14,493648,493648,74,62,902,828
5,11,0;7,740472,740472,77,54,902,825
5,12,0;5,493648,493648,110,98,902,792
5,13,22;26,987296,987296,90,52,902,812
5,14,10;20,493648,493648,83,56,902,819
5,15,3;7,493648,493648,427,404,902,475
5,16,0;28,740472,740472,723,685,902,179
5,17,0;1,493648,493648,694,669,902,208
5,18,0;3,493648,493648,667,638,902,235
5,19,0;11,493648,493648,604,580,902,298
5,20,5;14,493648,493648,515,486,902,387
5,21,5;9,493648,493648,621,591,902,281
5,22,13;16,493648,493648,615,577,902,287
5,23,0;7,493648,493648,901,864,902,1
5,24,5;7,493648,493648,416,394,902,486
5,25,0;9,493648,493648,422,397,902,480
5,26,7;13,493648,493648,637,603,902,265
5,27,2;13,493648,493648,606,570,902,296
5,28,1;16,493648,493648,591,559,902,311
5,29,0;13,493648,493648,582,554,902,320
6,0,2;23,3455536,3455536,106,69,902,796
6,1,2;8,987296,987296,133,104,902,769
6,2,6;7,1727768,1727768,60,24,902,842
6,3,2;15,987296,987296,92,63,902,810
6,4,0;3,493648,493648,55,45,902,847
6,5,10;24,1727768,1727768,65,35,902,837
6,6,0;2,493648,493648,49,38,902,853
6,7,2;23,1480944,1480944,63,26,902,839
6,8,1;5,493648,493648,76,65,902,826
6,9,5;25,740472,740472,85,57,902,817
6,10,0;14,740472,740472,74,62,902,828
6,11,0;7,740472,740472,77,54,902,825
6,12,0;5,493648,493648,110,98,902,792
6,13,2;29,1234120,1234120,90,52,902,812
6,14,0;10,740472,740472,83,56,902,819
6,15,3;7,493648,493648,427,404,902,475
6,16,0;22,740472,740472,723,685,902,179
6,17,0;1,493648,493648,694,669,902,208
6,18,0;3,493648,493648,667,638,902,235
6,19,0;11,493648,493648,604,580,902,298
6,20,5;14,493648,493648,515,486,902,387
6,21,5;9,493648,493648,621,591,902,281
6,22,13;16,493648,493648,615,577,902,287
6,23,0;7,493648,493648,901,864,902,1
6,24,5;7,493648,493648,416,394,902,486
6,25,0;9,493648,493648,422,397,902,480
6,26,7;13,493648,493648,637,603,902,265
6,27,2;13,493648,493648,606,570,902,296
6,28,1;16,493648,493648,591,559,902,311
6,29,0;13,493648,493648,582,554,902,320
7,0,6;9,2961888,2961888,106,69,902,796
7,1,2;8,987296,987296,133,104,902,769
7,2,6;7,987296,987296,60,24,902,842
7,3,15;18,740472,740472,92,63,902,810
7,4,3;13,493648,493648,55,45,902,847
7,5,20;24,1480944,1480944,65,35,902,837
7,6,0;2,493648,493648,49,38,902,853
7,7,23;26,1480944,1480944,63,26,902,839
7,8,1;5,493648,493648,76,65,902,826
7,9,21;25,740472,740472,85,57,902,817
7,10,0;5,740472,740472,74,62,902,828
7,11,0;7,740472,740472,77,54,902,825
7,12,0;5,493648,493648,110,98,902,792
7,13,26;29,1234120,1234120,90,52,902,812
7,14,10;20,493648,493648,83,56,902,819
7,15,3;7,493648,493648,427,404,902,475
7,16,0;22,740472,740472,723,685,902,179
7,17,0;1,493648,493648,694,669,902,208
