round,src,dst,bytes,delay_ticks,src_mj,dst_mj,failed
0,0,1,246824,9,932.352824,2641.666549,0
0,1,0,246824,9,2641.666549,932.352824,0
0,0,3,246824,11,932.352824,2641.666549,0
0,3,0,246824,11,2641.666549,932.352824,0
0,0,4,246824,10,932.352824,7924.999883,0
0,4,0,246824,10,7924.999883,932.352824,0
0,0,5,246824,11,932.352824,2264.285597,0
0,5,0,246824,11,2264.285597,932.352824,0
0,0,6,246824,10,932.352824,7924.999883,0
0,6,0,246824,10,7924.999883,932.352824,0
0,0,9,246824,9,932.352824,3962.499883,0
0,9,0,246824,9,3962.499883,932.352824,0
0,0,10,246824,12,932.352824,7924.999883,0
0,10,0,246824,12,7924.999883,932.352824,0
0,0,11,246824,10,932.352824,7924.999883,0
0,11,0,246824,10,7924.999883,932.352824,0
0,0,12,246824,12,932.352824,7924.999883,0
0,12,0,246824,12,7924.999883,932.352824,0
0,0,14,246824,10,932.352824,5283.333216,0
0,14,0,246824,10,5283.333216,932.352824,0
0,0,16,246824,21,932.352824,3962.499883,0
0,16,0,246824,21,3962.499883,932.352824,0
0,0,17,246824,25,932.352824,7924.999883,0
0,17,0,246824,25,7924.999883,932.352824,0
0,0,18,246824,29,932.352824,7924.999883,0
0,18,0,246824,29,7924.999883,932.352824,0
0,0,19,246824,24,932.352824,7924.999883,0
0,19,0,246824,24,7924.999883,932.352824,0
0,0,23,246824,37,932.352824,7924.999883,0
0,23,0,246824,37,7924.999883,932.352824,0
0,0,25,246824,25,932.352824,7924.999883,0
0,25,0,246824,25,7924.999883,932.352824,0
0,0,29,246824,27,932.352824,7924.999883,0
0,29,0,246824,27,7924.999883,932.352824,0
0,1,2,246824,10,2641.666549,3169.999883,0
0,2,1,246824,10,3169.999883,2641.666549,0
0,1,7,246824,9,2641.666549,3169.999883,0
0,7,1,246824,9,3169.999883,2641.666549,0
0,1,8,246824,9,2641.666549,7924.999883,0
0,8,1,246824,9,7924.999883,2641.666549,0
0,1,17,246824,23,2641.666549,7924.999883,0
0,17,1,246824,23,7924.999883,2641.666549,0
0,1,28,246824,29,2641.666549,7924.999883,0
0,28,1,246824,29,7924.999883,2641.666549,0
0,2,3,246824,12,3169.999883,2641.666549,0
0,3,2,246824,12,2641.666549,3169.999883,0
0,2,6,246824,11,3169.999883,7924.999883,0
0,6,2,246824,11,7924.999883,3169.999883,0
0,2,13,246824,12,3169.999883,3169.999883,0
0,13,2,246824,12,3169.999883,3169.999883,0
0,2,27,246824,36,3169.999883,7924.999883,0
0,27,2,246824,36,7924.999883,3169.999883,0
0,3,4,246824,10,2641.666549,7924.999883,0
0,4,3,246824,10,7924.999883,2641.666549,0
0,3,15,246824,23,2641.666549,7924.999883,0
0,15,3,246824,23,7924.999883,2641.666549,0
0,3,16,246824,21,2641.666549,3962.499883,0
0,16,3,246824,21,3962.499883,2641.666549,0
0,3,18,246824,29,2641.666549,7924.999883,0
0,18,3,246824,29,7924.999883,2641.666549,0
0,5,8,246824,11,2264.285597,7924.999883,0
0,8,5,246824,11,7924.999883,2264.285597,0
0,5,9,246824,9,2264.285597,3962.499883,0
0,9,5,246824,9,3962.499883,2264.285597,0
0,5,12,246824,12,2264.285597,7924.999883,0
0,12,5,246824,12,7924.999883,2264.285597,0
0,5,20,246824,29,2264.285597,7924.999883,0
0,20,5,246824,29,7924.999883,2264.285597,0
0,5,21,246824,30,2264.285597,7924.999883,0
0,21,5,246824,30,7924.999883,2264.285597,0
0,5,24,246824,22,2264.285597,7924.999883,0
0,24,5,246824,22,7924.999883,2264.285597,0
0,7,15,246824,23,3169.999883,7924.999883,0
0,15,7,246824,23,7924.999883,3169.999883,0
0,7,23,246824,37,3169.999883,7924.999883,0
0,23,7,246824,37,7924.999883,3169.999883,0
0,7,24,246824,22,3169.999883,7924.999883,0
0,24,7,246824,22,7924.999883,3169.999883,0
0,7,26,246824,33,3169.999883,7924.999883,0
0,26,7,246824,33,7924.999883,3169.999883,0
0,9,21,246824,28,3962.499883,7924.999883,0
0,21,9,246824,28,7924.999883,3962.499883,0
0,9,25,246824,23,3962.499883,7924.999883,0
0,25,9,246824,23,7924.999883,3962.499883,0
0,10,14,246824,10,7924.999883,5283.333216,0
0,14,10,246824,10,5283.333216,7924.999883,0
0,11,19,246824,23,7924.999883,7924.999883,0
0,19,11,246824,23,7924.999883,7924.999883,0
0,13,22,246824,38,3169.999883,7924.999883,0
0,22,13,246824,38,7924.999883,3169.999883,0
0,13,26,246824,34,3169.999883,7924.999883,0
0,26,13,246824,34,7924.999883,3169.999883,0
0,13,27,246824,36,3169.999883,7924.999883,0
0,27,13,246824,36,7924.999883,3169.999883,0
0,13,29,246824,28,3169.999883,7924.999883,0
0,29,13,246824,28,7924.999883,3169.999883,0
0,14,20,246824,27,5283.333216,7924.999883,0
0,20,14,246824,27,7924.999883,5283.333216,0
0,16,22,246824,38,3962.499883,7924.999883,0
0,22,16,246824,38,7924.999883,3962.499883,0
0,16,28,246824,32,3962.499883,7924.999883,0
0,28,16,246824,32,7924.999883,3962.499883,0
1,0,1,246824,9,1132.142740,2641.666549,0
1,1,0,246824,9,2641.666549,1132.142740,0
1,0,2,246824,12,1132.142740,5283.333216,0
1,2,0,246824,12,5283.333216,1132.142740,0
1,0,6,246824,10,1132.142740,7924.999883,0
1,6,0,246824,10,7924.999883,1132.142740,0
