round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,12;13,1974592,1974592,48,19,1258,1210
0,1,0;5,1727768,1727768,62,22,1258,1196
0,2,0;7,1234120,1234120,94,69,1258,1164
0,3,1;4,1480944,1480944,88,54,1258,1170
0,4,12;13,1480944,1480944,74,38,1258,1184
0,5,1;6,493648,493648,57,44,1258,1201
0,6,4;5,1234120,1234120,69,31,1258,1189
0,7,2;4,1480944,1480944,90,49,1258,1168
0,8,0;1,740472,740472,50,30,1258,1208
0,9,0;10,493648,493648,94,82,1258,1164
0,10,2;9,987296,987296,55,28,1258,1203
0,11,0;7,1234120,1234120,121,87,1258,1137
0,12,0;4,740472,740472,97,68,1258,1161
0,13,0;4,1727768,1727768,76,43,1258,1182
0,14,1;13,493648,493648,86,74,1258,1172
0,15,3;13,493648,493648,642,620,1258,616
0,16,11;12,493648,493648,1204,1173,1258,54
0,17,3;7,740472,740472,716,681,1258,542
0,18,4;7,493648,493648,649,613,1258,609
0,19,7;25,493648,493648,397,352,1258,861
0,20,3;6,493648,493648,727,692,1258,531
0,21,2;13,493648,493648,473,446,1258,785
0,22,3;10,493648,493648,775,753,1258,483
0,23,1;6,493648,493648,301,261,1258,957
0,24,0;6,493648,493648,848,819,1258,410
0,25,13;19,493648,493648,453,408,1258,805
0,26,10;11,493648,493648,409,380,1258,849
0,27,11;13,493648,493648,431,397,1258,827
0,28,2;8,493648,493648,640,620,1258,618
0,29,1;17,493648,493648,1248,1213,1258,10
1,0,12;13,1974592,1974592,48,19,1263,1215
1,1,8;14,1480944,1480944,62,22,1263,1201
1,2,0;7,1234120,1234120,94,69,1263,1169
1,3,0;1,1480944,1480944,88,54,1263,1175
1,4,12;13,987296,987296,74,38,1263,1189
1,5,1;6,493648,493648,57,44,1263,1206
1,6,5;9,1234120,1234120,69,31,1263,1194
1,7,2;4,1480944,1480944,90,49,1263,1173
1,8,0;1,740472,740472,50,30,1263,1213
1,9,0;10,740472,740472,94,82,1263,1169
1,10,2;9,987296,987296,55,28,1263,1208
1,11,0;7,1234120,1234120,121,87,1263,1142
1,12,0;4,740472,740472,97,68,1263,1166
1,13,0;4,1727768,1727768,76,43,1263,1187
1,14,1;13,493648,493648,86,74,1263,1177
1,15,3;13,493648,493648,642,620,1263,621
1,16,11;12,740472,740472,1223,1173,1263,40
1,17,3;7,740472,740472,716,681,1263,547
1,18,4;7,493648,493648,649,613,1263,614
1,19,7;16,740472,740472,402,352,1263,861
1,20,3;6,493648,493648,727,692,1263,536
1,21,2;13,493648,493648,473,446,1263,790
1,22,3;10,493648,493648,775,753,1263,488
1,23,1;6,493648,493648,301,261,1263,962
1,24,0;6,493648,493648,848,819,1263,415
1,25,13;19,493648,493648,453,408,1263,810
1,26,10;11,493648,493648,409,380,1263,854
1,27,11;13,493648,493648,431,397,1263,832
1,28,2;8,493648,493648,640,620,1263,623
1,29,1;17,493648,493648,1248,1213,1263,15
2,0,12;13,2221416,2221416,48,19,1263,1215
2,1,0;14,1480944,1480944,62,22,1263,1201
2,2,0;7,1234120,1234120,94,69,1263,1169
2,3,0;4,1480944,1480944,88,54,1263,1175
2,4,12;13,1234120,1234120,74,38,1263,1189
2,5,1;6,493648,493648,57,44,1263,1206
2,6,5;9,1234120,1234120,69,31,1263,1194
2,7,2;4,1234120,1234120,83,49,1263,1180
2,8,0;1,740472,740472,50,30,1263,1213
2,9,0;10,740472,740472,94,82,1263,1169
2,10,2;9,987296,987296,55,28,1263,1208
2,11,0;7,1234120,1234120,121,87,1263,1142
2,12,0;4,740472,740472,97,68,1263,1166
2,13,0;4,1727768,1727768,76,43,1263,1187
2,14,1;13,493648,493648,86,74,1263,1177
2,15,3;13,493648,493648,642,620,1263,621
2,16,11;12,740472,740472,1223,1173,1263,40
2,17,3;7,740472,740472,716,681,1263,547
2,18,4;7,493648,493648,649,613,1263,614
2,19,16;25,493648,493648,402,352,1263,861
2,20,3;6,493648,493648,727,692,1263,536
2,21,2;13,493648,493648,473,446,1263,790
2,22,3;10,493648,493648,775,753,1263,488
2,23,1;6,493648,493648,301,261,1263,962
2,24,0;6,493648,493648,848,819,1263,415
2,25,13;19,493648,493648,453,408,1263,810
2,26,10;11,493648,493648,409,380,1263,854
2,27,11;13,493648,493648,431,397,1263,832
2,28,2;8,493648,493648,640,620,1263,623
2,29,1;17,493648,493648,1248,1213,1263,15
3,0,12;13,1974592,1974592,48,19,1263,1215
3,1,2;14,1480944,1480944,62,22,1263,1201
3,2,0;7,1480944,1480944,94,69,1263,1169
3,3,0;4,1480944,1480944,88,54,1263,1175
3,4,12;13,1480944,1480944,74,38,1263,1189
3,5,1;6,493648,493648,57,44,1263,1206
3,6,4;5,1234120,1234120,69,31,1263,1194
3,7,2;4,1234120,1234120,90,49,1263,1173
3,8,0;1,740472,740472,50,30,1263,1213
3,9,0;10,493648,493648,94,82,1263,1169
3,10,2;9,987296,987296,55,28,1263,1208
3,11,0;7,1234120,1234120,121,87,1263,1142
3,12,0;4,740472,740472,97,68,1263,1166
3,13,0;4,1727768,1727768,76,43,1263,1187
3,14,1;13,493648,493648,86,74,1263,1177
3,15,3;13,493648,493648,642,620,1263,621
